Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10007096,R B KINGSTON UPON THAMES,544095,HZ LOANS LOCAL AUTHORITIES,5109186720,20000000.00,2017-11-08,Housing,Capital
10016524,Transport for London,544093,NLE - Grant pmt to TfL,CHAPS 522,14025935.89,2017-11-06,Resources,Z_CAPITAL
10016524,Transport for London,544093,NLE - Grant pmt to TfL,CHAPS 447,10249586.00,2017-10-19,Resources,Z_CAPITAL
10028094,BIG CREATIVE EDUCATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109173469,1266475.85,2017-10-16,"Development, Enterprise & Environment",Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040966,1145000.00,2017-10-30,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040992,1145000.00,2017-11-08,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040978,920000.00,2017-11-02,Housing,Capital
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109168011,828000.02,2017-10-23,Housing,Housing services
10020169,LONDON BOROUGH OF NEWHAM,542355,OTHER PROFESSIONAL FEES,5109191462,500000.00,2017-11-09,Housing & Land,Housing & Land Services
13003052,HARROW COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109182846,410964.63,2017-10-31,"Development, Enterprise & Environment",Capital
10016397,WALTHAM FOREST COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109182855,401682.91,2017-11-06,"Development, Enterprise & Environment",Capital
10017217,Museum of London,544075,Grants to External Organisations,CHAPS 477,316000.00,2017-10-23,Communities and Intelligence,Cultural & related services
10017217,Museum of London,544075,Grants to External Organisations,CHAPS 505,316000.00,2017-11-06,Communities and Intelligence,Cultural & related services
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109167963,256472.84,2017-10-23,Housing,Housing services
10019301,THAMES REACH,542800,HSG-ROUGH SLEEPING,5109167342,254934.55,2017-11-08,Housing,Housing services
10001119,INSIGHT DIRECT UK LIMITED,536510,SOFTWARE MAINTENANCE,5109173070,204086.62,2017-10-25,Resources,Support Costs
18000011,HANOVER HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040961,200857.00,2017-10-27,Housing,Capital
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040951,181860.00,2017-10-23,Housing,Capital
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040950,180601.00,2017-10-23,Housing,Capital
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040955,157165.00,2017-10-25,Housing,Capital
10019301,THAMES REACH,542800,HSG-ROUGH SLEEPING,5109179360,143719.87,2017-10-24,Housing,Housing services
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109167960,134866.35,2017-10-23,Housing,Housing services
10027911,ADA NCDS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109173046,126060.92,2017-10-16,"Development, Enterprise & Environment",Capital
10020692,THE LONDON DESIGN FESTIVAL LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109190062,125000.00,2017-11-07,Communities and Intelligence,Cultural & related services
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900040949,122728.00,2017-10-23,Housing,Capital
13003052,HARROW COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109182847,121591.50,2017-10-31,"Development, Enterprise & Environment",Capital
10026057,DRON & WRIGHT PROP CONS,510400,COMMERCIAL PROPERTY RENT,5109177638,111562.50,2017-10-20,Resources,Support Costs
10021880,RODMA,542355,OTHER PROFESSIONAL FEES,5109177050,104263.17,2017-10-20,Housing & Land,Housing & Land Services
