Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
18000326,NOTTING HILL GENESIS,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042697,2352550.00,2018-08-14,HOUSING & REGENERATN,CAPITAL
18000326,NOTTING HILL GENESIS,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042691,1131658.00,2018-08-14,HOUSING & REGENERATN,CAPITAL
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042634,1036000.00,2018-08-08,HOUSING & REGENERATN,CAPITAL
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042690,692000.00,2018-08-14,HOUSING & REGENERATN,CAPITAL
10016524,TRANSPORT FOR LONDON,542300,LEGAL FEES,5109354614,553850.00,2018-08-01,RESOURCES,SUPPORT COSTS
10006811,ENERGY SAVING TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109359986,500000.00,2018-08-08,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",CAPITAL
10006393,L B BEXLEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109346413,499625.10,2018-08-10,TRANSPORT & ENVIRONM,CAPITAL
10021748,PEABODY TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109270595,445391.17,2018-07-25,TRANSPORT & ENVIRONM,CAPITAL
18000326,NOTTING HILL GENESIS,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042653,420000.00,2018-08-14,HOUSING & REGENERATN,CAPITAL
18000326,NOTTING HILL GENESIS,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042648,390000.00,2018-08-09,HOUSING & REGENERATN,CAPITAL
18000326,NOTTING HILL GENESIS,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042654,390000.00,2018-08-14,HOUSING & REGENERATN,CAPITAL
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900042592,344678.00,2018-08-02,HOUSING & REGENERATN,CAPITAL
