Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10013136,DCMS,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS705,61000000.00,2016-03-24,RESOURCES,Highways and transport services
10012743,DCLG,544073,BUSINESS RATE RETENTION-CLG,CHAPS694,17913998.00,2016-03-21,RESOURCES,Highways and transport services
15500097,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108685310,8261971.00,2016-03-07,Housing,Capital
10016524,TRANSPORT FOR LONDON,544093,NLE - GRANT PMT TO TFL,CHAPS682,5354605.00,2016-03-14,RESOURCES,Highways and transport services
15500355,LONDON BOROUGH OF LAMBETH,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108718296,5001660.00,2016-03-24,Housing,Capital
10000772,DENTONS UKMEA LLP,550200,PURCHASE OF LAND & BUILDINGS,1900001651,2716712.00,2016-03-31,Housing & Land,Housing & Land Services
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS681,2253750.00,2016-03-14,RESOURCES,Highways and transport services
10016643,AMAS LTD,510400,COMMERCIAL PROPERTY RENT,1900035101,2008689.00,2016-03-22,Resources,Support Costs
18000161,LONDON BOROUGH OF ENFIELD,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900035634,1697500.00,2016-03-17,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035669,1650000.00,2016-03-21,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035912,1650000.00,2016-03-22,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035929,1425000.00,2016-03-23,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035945,1425000.00,2016-03-24,Housing,Capital
18000236,THE GUINNESS PARTNERSHIP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900035640,1402500.00,2016-03-18,Housing,Capital
10026494,BARNET AND SOUTHGATE COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108705060,1353491.98,2016-03-07,Development & Environment,Capital
18000066,EAST THAMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900036097,1226616.00,2016-03-31,Housing,Capital
18000009,PEABODY TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900036068,1211308.00,2016-03-31,Housing,Capital
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS699,1200000.00,2016-03-23,RESOURCES,Highways and transport services
18000103,LB HOUNSLOW,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900035677,1110000.00,2016-03-21,Housing,Capital
