Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
15050001,HMRC VAT,544070,MISCELLANEOUS FINANCE EXPENSES,1900001257,5365939.70,2014-07-30,5365939.7,,,
15500097,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108209221,4758595.00,2014-08-04,4758595,,,
15500142,LONDON BOROUGH OF SUTTON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108199351,4400000.00,2014-07-22,4400000,,,
10007104,LONDON BOROUGH OF ENFIELD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108214085,3500000.00,2014-08-08,3500000,,,
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020617,3034250.00,2014-07-25,3034250,,,
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020678,1941814.00,2014-08-06,1941814,,,
CPO,EVERSHEDS LLP (CARDIFF),542420,CLAIM SETTLEMENTS,1900020654,1928080.47,2014-08-01,1928080.47,,,
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108208753,1382571.00,2014-08-01,1382571,,,
10006080,LONDON BOROUGH OF HAVERING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108219357,1145846.00,2014-08-15,1145846,,,
18000050,ONE HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020651,1128750.00,2014-07-31,1128750,,,
10006059,L B OF HARINGEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108202247,1000782.00,2014-07-31,1000782,,,
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020621,882000.00,2014-07-25,882000,,,
CPO,LONDON BOROUGH OF HOUNSLOW,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108218240,867035.68,2014-08-13,867035.68,,,
18000101,LONDON BOROUGH OF BARKING AND DAGEN,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900020680,804435.00,2014-08-06,804435,,,
10016904,GREENWICH LEISURE LTD,510010,PROPERTY MANAGEMENT FEES,5108214182,687491.85,2014-08-08,687491.85,,,
10021284,LONDON BOROUGH OF BARNET,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108197749,622402.00,2014-08-06,622402,,,
10021284,LONDON BOROUGH OF BARNET,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108197750,572449.77,2014-08-06,572449.77,,,
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020620,449625.00,2014-07-25,449625,,,
10007096,R B KINGSTON UPON THAMES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108208947,392076.06,2014-08-04,392076.06,,,
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020638,384000.00,2014-07-28,384000,,,
10020628,LOOK AHEAD HOUSING AND CARE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108195767,353062.50,2014-07-28,353062.5,,,
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108214068,342775.67,2014-08-12,342775.67,,,
10022120,ONE HOUSING GROUP LIMITED,542800,HSG-ROUGH SLEEPING,5108193608,330614.75,2014-07-28,330614.75,,,
10006571,LONDON BOROUGH OF  WALTHAM FOREST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108215639,321231.86,2014-08-12,321231.86,,,
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020779,312183.00,2014-08-15,312183,,,
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020748,311250.00,2014-08-13,311250,,,
10014169,LONDON BOROUGH OF HILLINGDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108196095,301278.05,2014-08-06,301278.05,,,
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108209478,280000.00,2014-08-07,280000,,,
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020679,258752.00,2014-08-06,258752,,,
18000104,LB CAMDEN,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900020596,256271.00,2014-07-24,256271,,,
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900020749,253125.00,2014-08-13,253125,,,
10022138,HARINGEY COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108182567,252005.00,2014-07-21,252005,,,
