Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10016524,TRANSPORT FOR LONDON,544071,Functional Bodies Grant Payments,CHAPS 644,12337939.00,2017-12-07,RESOURCES,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041223,9084000.00,2018-01-05,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041183,6804000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041187,6460000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041186,6048000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041184,5760000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041194,3756000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041195,3360000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041182,3060000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041189,2780000.00,2017-12-22,HOUSING,CAPITAL
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041185,2764000.00,2017-12-22,HOUSING,CAPITAL
10016643,AMAS LTD,510400,COMMERCIAL PROPERTY RENT,1900041086,2385715.16,2017-12-19,RESOURCES,SUPPORT COSTS
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900041188,2340000.00,2017-12-22,HOUSING,CAPITAL
