Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
15500235,LONDON BOROUGH OF TOWER HAMLETS,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108287231,14388000.00,2014-11-26,Housing,Capital
15500142,LONDON BOROUGH OF SUTTON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108304909,7279033.00,2014-12-02,Housing,Capital
15500077,LONDON BOROUGH OF BARKING,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108250636,4761952.00,2014-11-14,Housing,Capital
15500097,LONDON BOROUGH OF CAMDEN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108304911,3989013.00,2014-11-28,Housing,Capital
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021979,1307258.00,2014-11-26,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021977,1020000.00,2014-11-26,Housing,Capital
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900022067,1017722.00,2014-12-01,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021978,1014353.00,2014-11-26,Housing,Capital
10016524,TRANSPORT FOR LONDON,542320,SHARED SERVICES FEES,5108263590,1000000.00,2014-11-17,Resources,Support Costs
10016904,GREENWICH LEISURE LTD,510010,PROPERTY MANAGEMENT FEES,5108269647,843480.85,2014-11-10,GLA Land & Property,Housing & Land Services
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021975,811484.00,2014-11-26,Housing,Capital
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021920,712725.00,2014-11-24,Housing,Capital
18000052,ST MUNGO COMMUNITY HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900022006,625000.00,2014-11-28,Housing,Capital
CPO,Eversheds,542420,CLAIM SETTLEMENTS,1900021849,558994.83,2014-11-14,Housing,Capital
18000094,ISLINGTON COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900021913,519000.00,2014-11-21,Housing,Capital
10014157,LONDON BOROUGH OF BROMLEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108291941,512337.84,2014-12-03,Development & Environment,Capital
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108309731,493373.00,2014-12-03,Housing,Capital
10023412,POCKET LIVING 2013 LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108287092,451059.23,2014-11-11,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021976,435440.00,2014-11-26,Housing,Capital
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021919,419625.00,2014-11-24,Housing,Capital
18000010,NOTTING HILL HOUSING TRUST,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021974,360000.00,2014-11-26,Housing,Capital
15500125,LONDON BOROUGH OF CROYDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108291726,332933.34,2014-12-01,Housing,Capital
10022120,ONE HOUSING GROUP LIMITED,542800,HSG-ROUGH SLEEPING,5108269388,330614.75,2014-11-10,Housing,Housing services
18000119,CATALYST COMMUNITIES HOUSING,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900021718,330511.00,2014-12-01,Housing,Capital
13000399,VOLKER FITZPATRICK LTD,550010,CONTRACTED SERVICES BUILDINGS,5108276217,330109.13,2014-11-19,GLA Land & Property,Housing & Land Services
18000041,NETWORK HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900022004,327978.00,2014-11-28,Housing,Capital
