Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis,ref
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS334,71226538.00,2015-09-23,RESOURCES,Highways and transport services,
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS355,37073793.00,2015-09-29,RESOURCES,Highways and transport services,
15500089,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,544075,MISCELLANEOUS COSTS,CHAPS324,17926157.00,2015-09-21,RESOURCES,Highways and transport services,
10020937,LONDON & PARTNERS,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS371,4347000.00,2015-10-08,COMMUNITIES & INTELLIGENCE,Cultural & related services,
10021513,SME FINANCE,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS383,1708754.00,2015-10-15,RESOURCES,Highways and transport services,
10016643,AMAS LTD,510400,COMMERCIAL PROPERTY RENT,1900030524,1673907.50,2015-09-30,Resources,Support Costs,
10016524,TRANSPORT FOR LONDON,542320,SHARED SERVICES FEES,5108552869,990000.00,2015-10-14,Resources,Support Costs,
CPO,WRAGGE LAWRENCE GRAHAM & CO LLP,542420,CLAIM SETTLEMENTS,1900031392,743352.25,2015-09-30,Housing,Capital,
10025276,THE SILVERTOWN PARTNERSHIP LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108553572,723865.59,2015-09-22,Housing,Capital,
10025276,THE SILVERTOWN PARTNERSHIP LLP,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108574248,646954.84,2015-10-16,Housing,Capital,
10007096,R B KINGSTON UPON THAMES,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108553491,618540.00,2015-09-22,Housing,Capital,
18000047,PADDINGTON CHURCHES HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031375,570000.00,2015-09-24,Housing,Capital,
10020101,DRS DATA SERVICES LIMITED,542355,OTHER PROFESSIONAL FEES,5108565697,367985.00,2015-10-08,Assembly & Secretariat,Central services,
18000019,ISLINGTON AND SHOREDITCH HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900031404,350000.00,2015-10-01,Housing,Capital,
