Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10015652,2CL COMMUNICATIONS LIMITED,530000,FURNITURE & EQUIPMENT,5108780534,1205.00,2016-05-18,Corporate Management,Corporate and democratic core,Corporate and democratic core
10015652,2CL COMMUNICATIONS LIMITED,536300,COMPUTER HARDWARE,5108767259,1097.00,2016-05-04,"Development, Enterprise & Environment",Economic Development,Planning services
13002176,ABM GROUP UK LTD,510700,OFFICE CLEANING,5108775815,41937.29,2016-05-25,External Affairs,Cultural & related services,Cultural & related services
10011777,ACTICA CONSULTING LIMITED,542100,IT CONSULTANCY,5108769616,54000.00,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10000221,AECOM INFRASTRUCTURE & ENVIRONMENT,542000,MANAGEMENT & SUPPORT CONSULTANCY,5108748732,12746.49,2016-05-04,External Affairs,Community Development,Planning services
10026919,AGUDAS ISRAEL HOUSING ASSOC LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,5108763750,120000.00,2016-05-03,Housing,Capital,Y_CAPITAL
12002301,AIR PRODUCTS PLC,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108755960,7263.36,2016-05-16,Resources,Support Costs,Z_SUPPORT COSTS
10019864,ALEXANDRA PALACE TRADING LTD,537100,EXTERNAL MEETING ROOM HIRE & EXPENSES,5108787922,58300.00,2016-05-27,Resources,Support Costs,Z_SUPPORT COSTS
10019864,ALEXANDRA PALACE TRADING LTD,510025,SECURITY SERVICES (GUARDS),5108787936,10700.60,2016-05-27,External Affairs,Cultural & related services,Cultural & related services
10016640,ALL CLEAN GROUP,510700,OFFICE CLEANING,5108735018,13942.60,2016-05-03,Resources,Support Costs,Z_SUPPORT COSTS
10018194,AMATEUR SWIMMING ASSOCIATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108768700,30000.00,2016-05-06,"Development, Enterprise & Environment",Economic Development,Planning services
10026258,ANNAMAL PRODUCTIONS,542002,CONSULTANCY-PROJECT MANAGEMENT,5108772971,5000.00,2016-05-12,Housing,Capital,Y_CAPITAL
10020781,ARC SEVEN COMMUNICATIONS,540030,PR COST PRODUCT COST & PR FEES,5108769241,1000.00,2016-05-09,Communities and Intelligence,Cultural & related services,Cultural & related services
10001965,ARCADIS UK LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108757815,18962.50,2016-05-18,External Affairs,Cultural & related services,Cultural & related services
10002966,ARCO,530000,FURNITURE & EQUIPMENT,5108775945,439.92,2016-05-13,Resources,Support Costs,Z_SUPPORT COSTS
10026055,ARCUS GLOBAL LIMITED,536000,MANAGE IT SERVICES,5108785342,2363.15,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10026055,ARCUS GLOBAL LIMITED,536000,MANAGE IT SERVICES,5108755987,1671.64,2016-05-03,Communities and Intelligence,Childrens and education services,Childrens and education services
10021760,ASHFORDS LLP,542300,LEGAL FEES,5108782889,2400.00,2016-05-25,Housing & Land,Housing & Land Services,Other
10016668,ATIYA HASSAN,542330,EVENT MANAGEMENT FEE,5108767215,10150.00,2016-05-09,Resources,Support Costs,Z_SUPPORT COSTS
13002265,ATKINS LTD,542355,OTHER PROFESSIONAL FEES,5108768730,8319.57,2016-05-25,Housing & Land,Housing & Land Services,Other
13002544,BALFOUR BEATTY CIVILS LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108763494,28285.98,2016-05-03,Housing & Land,Housing & Land Services,Other
10014666,BARTON WILLMORE,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108781518,26600.00,2016-05-25,Resources,Support Costs,Z_SUPPORT COSTS
10014666,BARTON WILLMORE,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108781526,20250.00,2016-05-19,Resources,Support Costs,Z_SUPPORT COSTS
10014666,BARTON WILLMORE,542002,CONSULTANCY-PROJECT MANAGEMENT,5108768832,20278.13,2016-05-25,Housing & Land,Housing & Land Services,Other
10023108,BENCHWORKS LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5108775859,3475.00,2016-05-13,"Development, Enterprise & Environment",Environmental Initiatives,Planning services
10023108,BENCHWORKS LTD,535400,COURIERS,5108775862,910.00,2016-05-13,Communities and Intelligence,Childrens and education services,Childrens and education services
10026304,BERKELEY CATERING LIMITED,531010,CATERERS SERVICE CHARGES,5108740979,1164.60,2016-05-03,Assembly & Secretariat,Corporate and democratic core,Corporate and democratic core
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108776344,57347.14,2016-05-25,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108767318,29636.00,2016-05-12,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108776312,7950.50,2016-05-24,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108776297,7621.00,2016-05-16,Housing & Land,Housing & Land Services,Other
10004455,BERWIN LEIGHTON PAISNER,542300,LEGAL FEES,5108776290,5893.00,2016-05-16,Housing & Land,Housing & Land Services,Other
