Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
10006450,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107909045,5690768.00,2013-07-08
15050016,EVERSHEDS CLIENT ACCOUNT,542420,Claim Settlements,1900018279,3695000.00,2013-07-18
15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5107914214,2121439.00,2013-07-15
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018216,1402500.00,2013-07-04
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018215,1400000.00,2013-07-04
10006216,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5107836981,535660.00,2013-07-16
15050016,SQUIRE SANDERS (UK) LLP,542420,Claim Settlements,1900018292,429385.14,2013-07-19
10020764,BROADWAY HOMELESSNESS AND SUPPORT,544075,Grants to External Organisations,5107896944,362699.00,2013-06-24
13002583,OSBORNE ENERGY LTD,550010,Contracted Services Buildings,5107907915,352494.67,2013-07-09
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107908437,330854.23,2013-07-08
15500142,LONDON BOROUGH OF SUTTON,544075,Grants to External Organisations,5107902422,288610.00,2013-06-28
13002584,WILLMOTT DIXON ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107897811,280016.48,2013-06-24
10006137,L B HILLINGDON,544075,Grants to External Organisations,5107897691,250782.12,2013-07-05
10022339,TFL GROUP PROPERTY,510051,Land/Ground Rents,5107858880,250712.00,2013-07-09
18000031,ORBIT HOUSING GROUP LTD,544076,HSG Grants to Registered Providers,1900018227,204075.00,2013-07-05
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107908437,148987.84,2013-07-08
10006137,L B HILLINGDON,544075,Grants to External Organisations,5107897753,131113.53,2013-07-05
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018285,128815.00,2013-07-17
10021642,LONDON ACADEMIES ENTERPRISE TRUST,544075,Grants to External Organisations,5107918465,120907.00,2013-07-17
15500097,LONDON BOROUGH OF CAMDEN,544075,Grants to External Organisations,5107892907,110000.00,2013-07-10
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018284,105428.00,2013-07-17
10002085,DRIVERS JONAS DELOITTE,542002,Consultancy-Project Management,5107912746,103696.06,2013-07-18
10020632,ST MUNGOS,544075,Grants to External Organisations,5107903826,100000.00,2013-07-02
10020764,BROADWAY HOMELESSNESS AND SUPPORT,542800,Hsg-Rough Sleeping,5107906704,99491.00,2013-07-04
10019301,THAMES REACH,542800,Hsg-Rough Sleeping,5107906814,95100.00,2013-07-12
18000024,METROPOLITAN HOUSING TRUST LIMITED,544076,HSG Grants to Registered Providers,1900018287,92399.00,2013-07-18
15050016,SQUIRE SANDERS (UK) LLP,542420,Claim Settlements,1900018201,90667.00,2013-07-01
10020632,ST MUNGOS,544075,Grants to External Organisations,5107903831,88800.00,2013-07-02
10006783,LONDON BOROUGH OF CROYDON,544075,Grants to External Organisations,5107900480,80029.08,2013-06-26
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107890201,73362.06,2013-06-26
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107874798,70692.94,2013-06-26
10022795,3SC,544075,Grants to External Organisations,5107908449,55000.00,2013-07-05
15500396,BARNET,544075,Grants to External Organisations,5107890396,54512.97,2013-07-03
10006879,OVE ARUP & PARTNERS LTD,542000,Management & Support Consultancy,5107907076,51637.50,2013-07-17
18000064,AFFINITY HOMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018213,49050.00,2013-07-04
10022889,RATHBONE TRAINING,544075,Grants to External Organisations,5107886975,48554.37,2013-06-26
15500144,LONDON BOROUGH OF WALTHAM FOREST,544075,Grants to External Organisations,5107897283,47500.00,2013-06-28
10006036,LONDON BOROUGH OF HACKNEY,544075,Grants to External Organisations,5107907039,47500.00,2013-07-17
