Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10016524,TRANSPORT FOR LONDON,544093,NLE - GRANT PMT TO TFL,CHAPS 523,17246329.00,2018-11-09,RESOURCES,HIGHWAYS AND TRANSPORT SERVICES
18000052,ST MUNGO COMMUNITY HA LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043146,4433774.00,2018-10-16,HOUSING & REGENERATN,CAPITAL
10018835,RICHMOND UPON THAMES COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109401482,1127941.62,2018-10-29,TRANSPORT & ENVIRONM,CAPITAL
18000103,LB HOUNSLOW,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043252,870000.00,2018-10-31,HOUSING & REGENERATN,CAPITAL
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109409940,828000.02,2018-10-23,HOUSING & REGENERATN,HOUSING SERVICES
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109409941,828000.02,2018-10-16,HOUSING & REGENERATN,HOUSING SERVICES
10022975,POPLAR HARCA,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109361385,561499.32,2018-10-23,TRANSPORT & ENVIRONM,CAPITAL
10006811,ENERGY SAVING TRUST,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109396066,500000.00,2018-10-17,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",CAPITAL
10004347,HM TREASURY,542500,MISCELLANEOUS COSTS,CHAPS 483,345485.95,2018-10-17,RESOURCES,HIGHWAYS AND TRANSPORT SERVICES
18000277,CITY OF LONDON CORPORATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043113,270000.00,2018-10-15,HOUSING & REGENERATN,CAPITAL
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043270,269748.00,2018-10-31,HOUSING & REGENERATN,CAPITAL
10011455,LONDON TRAVEL WATCH,542500,MISCELLANEOUS COSTS,CHAPS 529,259000.00,2018-10-30,ASSEMBLY & SECRETARIAT,HIGHWAYS AND TRANSPORT SERVICES
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109407375,256472.84,2018-10-23,HOUSING & REGENERATN,HOUSING SERVICES
18000023,OCTAVIA HOUSING AND CARE,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043251,255000.00,2018-10-31,HOUSING & REGENERATN,CAPITAL
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109416440,250000.00,2018-10-25,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10016904,GREENWICH LEISURE LTD,510100,ELECTRICITY,5109421363,200000.00,2018-11-08,Housing & Land,Housing & Land Services
18000341,OPTIVO,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043189,189000.00,2018-10-23,HOUSING & REGENERATN,CAPITAL
10023591,HOUSING JUSTICE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109409943,169150.00,2018-10-16,HOUSING & REGENERATN,HOUSING SERVICES
10028642,GROUNDWORK UK,542355,OTHER PROFESSIONAL FEES,5109411562,150000.00,2018-10-29,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10021284,LONDON BOROUGH OF BARNET,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109421211,140348.45,2018-11-05,TRANSPORT & ENVIRONM,CAPITAL
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109407413,134866.35,2018-10-23,HOUSING & REGENERATN,HOUSING SERVICES
10020692,THE LONDON DESIGN FESTIVAL LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109415707,125000.00,2018-10-24,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10023591,HOUSING JUSTICE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109409942,123050.00,2018-10-16,HOUSING & REGENERATN,HOUSING SERVICES
10028841,LONDON TREASURY LTD,542355,OTHER PROFESSIONAL FEES,5109423379,120000.00,2018-11-07,RESOURCES,CORPORATE AND DEMOCRATIC CORE
10026057,DRON & WRIGHT PROP CONS,510400,COMMERCIAL PROPERTY RENT,5109412762,111562.50,2018-10-23,RESOURCES,SUPPORT COSTS
10019301,THAMES REACH,542800,HSG-ROUGH SLEEPING,5109407259,101100.00,2018-10-31,HOUSING & REGENERATN,HOUSING SERVICES
12001269,PRINGLE RICHARDS SHARRATT LTD,540015,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,5109417756,80000.00,2018-10-30,EXTERNAL AFFAIRS,ARTS DEVELOPMENT & SUPPORT
10016689,BLISS EVENTS MANAGEMENT LIMITED,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109416692,75000.00,2018-10-25,EXTERNAL AFFAIRS,CULTURAL & RELATED SERVICES
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,MANAGEMENT & SUPPORT CONSULTANCY,5109396985,74908.70,2018-10-17,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
10023680,FREE THE CHILDREN,544075,GRANTS TO EXTERNAL ORGANISATIONS,5109416196,72000.00,2018-10-25,COMMUNITIES AND INTELLIGENCE,PLANNING SERVICES
18000025,HEXAGON HOUSING ASSOCIATION LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043269,69947.00,2018-10-31,HOUSING & REGENERATN,CAPITAL
10028694,MAE ARCHITECTS LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5109420629,61015.00,2018-11-02,"DEVELOPMENT, ENTERPRISE & ENVIRONMENT",PLANNING SERVICES
18000031,ORBIT HOUSING GROUP LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043199,60000.00,2018-10-24,HOUSING & REGENERATN,CAPITAL
18000031,ORBIT HOUSING GROUP LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900043200,60000.00,2018-10-24,HOUSING & REGENERATN,CAPITAL
10016524,TRANSPORT FOR LONDON,542320,SHARED SERVICES FEES,5109396625,59097.00,2018-10-17,RESOURCES,SUPPORT COSTS
18000331,LONDON SOUTH EAST COLLEGES,544075,GRANTS TO EXTERNAL ORGANISATIONS,1900043135,57595.00,2018-10-15,TRANSPORT & ENVIRONM,CAPITAL
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5109407529,52498.00,2018-10-23,HOUSING & REGENERATN,HOUSING SERVICES
10017232,NORLAND MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5109403004,51606.00,2018-10-24,RESOURCES,SUPPORT COSTS
10016694,BOW TIE,540100,PHOTOGRAPHY & VIDEO,5109417260,51162.50,2018-10-31,RESOURCES,SUPPORT COSTS
10015554,PROBRAND LTD,533101,DATA PURCHASE,5109410154,50699.00,2018-11-09,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10016689,BLISS EVENTS MANAGEMENT LIMITED,540019,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,5109417351,50000.00,2018-10-31,EXTERNAL AFFAIRS,CULTURAL & RELATED SERVICES
10028986,BUILD HOLLYWOOD T/AS JACK ARTS,542002,CONSULTANCY-PROJECT MANAGEMENT,5109412202,50000.00,2018-10-19,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10028986,BUILD HOLLYWOOD T/AS JACK ARTS,542002,CONSULTANCY-PROJECT MANAGEMENT,5109412667,50000.00,2018-10-24,COMMUNITIES AND INTELLIGENCE,CULTURAL & RELATED SERVICES
10006953,LONDON BOROUGH OF REDBRIDGE,544063,INCOME MAXIMISATION EXPENSES,5109404537,49081.00,2018-10-15,RESOURCES,CORPORATE AND DEMOCRATIC CORE
10007641,HERBERT SMITH LLP,542300,LEGAL FEES,5109408335,47766.81,2018-10-17,Housing & Land,Housing & Land Services
