Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
15500077,LONDON BOROUGH OF BARKING,544075,Grants to External Organisations,5108009303,5185127.00,2013-12-03
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018889,2806335.00,2013-11-26
15500400,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5107995770,2578652.00,2013-11-20
10006080,LONDON BOROUGH OF HAVERING,544075,Grants to External Organisations,5108001035,2254562.00,2013-11-11
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018888,1777345.00,2013-11-26
18000050,ONE HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018909,1705000.00,2013-12-02
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018805,758004.00,2013-11-11
10020764,BROADWAY HOMELESSNESS AND SUPPORT,542800,Hsg-Rough Sleeping,5108014290,720000.00,2013-11-27
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018853,675000.00,2013-11-18
10016524,TRANSPORT FOR LONDON,542320,Shared Services Fees,5108001652,500000.00,2013-12-02
10022044,QUINTAIN MERIDIAN LIMITED,550010,Contracted Services Buildings,5108011728,478060.00,2013-12-03
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018804,432000.00,2013-11-11
18000084,TRIATHLON HOMES,544078,HSG Grants to Non-Registered Providers,1900018917,422049.00,2013-12-02
15050001,HM REVENUE AND CUSTOMS,544070,Miscellaneous Finance Expenses,1900001123,392287.00,2013-11-25
18000023,OCTAVIA HOUSING AND CARE,544076,HSG Grants to Registered Providers,1900018854,352500.00,2013-11-18
18000084,TRIATHLON HOMES,544078,HSG Grants to Non-Registered Providers,1900018912,345536.00,2013-12-02
10022339,TFL GROUP PROPERTY,510051,Land/Ground Rents,5107988350,344729.00,2013-11-20
10020714,BRITISH FASHION COUNCIL,544075,Grants to External Organisations,5108011327,276178.00,2013-11-28
18000084,TRIATHLON HOMES,544078,HSG Grants to Non-Registered Providers,1900018911,236939.00,2013-12-02
18000084,TRIATHLON HOMES,544078,HSG Grants to Non-Registered Providers,1900018918,206485.00,2013-12-02
18000066,EAST THAMES GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018886,197426.00,2013-11-26
10016524,TRANSPORT FOR LONDON,542320,Shared Services Fees,5107997360,186375.75,2013-11-14
15500120,LONDON BOROUGH OF BARKING & DAGENHA,542000,Management & Support Consultancy,5108005887,178160.00,2013-11-20
10023412,POCKET LIVING 2013 LLP,544075,Grants to External Organisations,5108006603,168381.30,2013-11-13
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018908,150000.00,2013-12-02
