Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,Directorate,Service Expenditure Analysis
10016524,TRANSPORT FOR LONDON,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS545,14454531.00,2016-11-30,RESOURCES,Highways and transport services
10016524,TRANSPORT FOR LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108921899,4000000.00,2016-12-01,"Development, Enterprise & Environment",Capital
18000050,ONE HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039188,1558700.00,2016-12-01,Housing,Capital
18000050,ONE HOUSING GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039189,1500000.00,2016-12-01,Housing,Capital
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039231,1372737.00,2016-12-09,Housing,Capital
10020997,LLDC,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS509,1300000.00,2016-11-14,RESOURCES,Highways and transport services
12002611,CITY OF WESTMINSTER COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108931533,1125167.49,2016-11-28,"Development, Enterprise & Environment",Capital
10020997,LLDC,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS528,651000.00,2016-11-21,RESOURCES,Highways and transport services
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900038896,629348.00,2016-11-18,Housing,Capital
10020997,LLDC,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS534,465000.00,2016-11-28,RESOURCES,Highways and transport services
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900037502,397596.00,2016-11-18,Housing,Capital
10026897,SENECA ENVIRONMENTAL SOLUTIONS LTD,510710,NON RECYCLABLE WASTE DISPOSAL/REFUSE COLLECTION,5108929001,354917.20,2016-11-18,Housing & Land,Housing & Land
18000079,TELFORD HOMES PLC,544078,HSG GRANTS TO NON-REGISTERED PROVIDERS,1900039206,350000.00,2016-12-07,Housing,Capital
10017217,MUSEUM OF LONDON,544075,GRANTS TO EXTERNAL ORGANISATIONS,CHAPS527,316000.00,2016-11-21,COMMUNITIES & INTELLIGENCE,Cultural & related services
10006811,ENERGY SAVING TRUST LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108926832,300000.00,2016-12-05,"Development, Enterprise & Environment",Capital
18000017,LHA-ASRA GROUP LIMITED,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900038895,272179.00,2016-11-18,Housing,Capital
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039235,259707.00,2016-12-09,Housing,Capital
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108925891,240000.00,2016-11-14,Communities and Intelligence,Cultural & related services
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039234,240000.00,2016-12-09,Housing,Capital
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039233,236250.00,2016-12-09,Housing,Capital
10018835,RICHMOND UPON THAMES COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108921475,218780.69,2016-11-28,"Development, Enterprise & Environment",Capital
18000013,SANCTUARY HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039178,210000.00,2016-11-30,Housing,Capital
18000013,SANCTUARY HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039177,157500.00,2016-11-30,Housing,Capital
10016397,WALTHAM FOREST COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108944168,140587.14,2016-12-02,"Development, Enterprise & Environment",Capital
10026799,LAMBETH COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108943145,139174.07,2016-11-30,"Development, Enterprise & Environment",Capital
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5108950507,134866.35,2016-12-09,Housing,Housing services
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5108950510,134866.35,2016-12-09,Housing,Housing services
10020714,BRITISH FASHION COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108931600,130527.87,2016-11-16,Communities and Intelligence,Cultural & related services
15500148,WESTMINSTER CITY COUNCIL,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108925889,123568.29,2016-11-25,"Development, Enterprise & Environment",Economic Development
10021880,RODMA,510010,PROPERTY MANAGEMENT FEES,5108914024,105457.18,2016-11-28,Housing & Land,Housing & Land
10024554,MEDCITY LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108939286,100000.00,2016-12-02,"Development, Enterprise & Environment",Economic Development
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,CONSULTANCY-PROJECT MANAGEMENT,5108925947,84410.29,2016-11-14,Housing,Environmental & regulatory services
10004347,HM TREASURY,542500,MISCELLANEOUS COSTS,CHAPS518,81823.00,2016-11-17,RESOURCES,Highways and transport services
10017009,MORE LONDON,510050,PROPERTY SERVICE CHARGES,1900038899,79076.75,2016-11-21,Resources,Support Costs
10027458,AJ GALLAGHER,542400,GENERAL INSURANCE,CHAPS546,77355.94,2016-11-29,RESOURCES,Support Costs
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,CONSULTANCY-PROJECT MANAGEMENT,5108931206,76987.76,2016-11-28,Housing,Environmental & regulatory services
10001119,INSIGHT DIRECT UK LIMITED,536300,COMPUTER HARDWARE,5108931861,74741.93,2016-12-05,Resources,Support Costs
10007641,HERBERT SMITH FREEHILLS LLP,542300,LEGAL FEES,5108933091,73129.17,2016-11-18,Housing & Land,Housing & Land
10006393,LB BEXLEY,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108932273,71929.52,2016-11-25,"Development, Enterprise & Environment",Capital
18000013,SANCTUARY HOUSING ASSOCIATION,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039186,66000.00,2016-12-01,Housing,Capital
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108932254,65254.00,2016-11-17,Housing,Capital
10025921,LONDON SPORT LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108945416,63568.05,2016-12-05,Communities and Intelligence,Cultural & related services
10009307,FILM LONDON LTD,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108938060,60000.00,2016-11-29,"Development, Enterprise & Environment",Economic Development
18000079,TELFORD HOMES PLC,544078,HSG GRANTS TO NON-REGISTERED PROVIDERS,1900039236,58500.00,2016-12-09,Housing,Capital
18000053,A2 DOMINION LONDON LTD,544076,HSG GRANTS TO REGISTERED PROVIDERS,1900039232,56000.00,2016-12-09,Housing,Capital
10025567,REED IN PARTNERSHIP LIMITED,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108919120,55462.17,2016-11-16,"Development, Enterprise & Environment",Economic Development
10022165,KEYTREE LTD,542002,CONSULTANCY-PROJECT MANAGEMENT,5108945414,55450.50,2016-12-06,Housing,Capital
10026057,DRON & WRIGHT PROP CONS,510400,COMMERCIAL PROPERTY RENT,5108927571,53125.00,2016-11-14,Resources,Support Costs
18000094,ISLINGTON COUNCIL,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900039172,52500.00,2016-11-29,Housing,Capital
10020632,ST MUNGOS,542800,HSG-ROUGH SLEEPING,5108936735,52498.00,2016-11-22,Housing,Housing services
10018793,FOOTBALL FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108950518,51673.00,2016-12-09,Communities and Intelligence,Capital
10017232,CBRE MANAGED SERVICES LIMITED,510000,BUILDING MAINTENANCE & REPAIRS,5108920141,49263.25,2016-11-23,Resources,Support Costs
10018793,FOOTBALL FOUNDATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108938685,47317.00,2016-12-02,Communities and Intelligence,Capital
10011455,LONDON TRAVELWATCH,544071,FUNCTIONAL BODY GRANT PAYMENT,CHAPS526,43000.00,2016-11-21,RESOURCES,Highways and transport services
13002176,ABM GROUP UK LTD,510700,OFFICE CLEANING,5108925045,42955.94,2016-11-28,Resources,Support Costs
10026824,PROJECT ORACLE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108937437,42000.00,2016-12-05,Communities and Intelligence,Childrens and education services
10014168,LONDON BOROUGH OF HARROW,544063,INCOME MAX EXPENSES,5108909008,40000.00,2016-12-06,Resources,Corporate and democratic core
18000147,LONDON BOROUGH OF HAVERING,544077,HSG GRANTS TO LOCAL AUTHORITIES,1900039190,40000.00,2016-12-01,Housing,Capital
10016904,GREENWICH LEISURE LTD,510010,PROPERTY MANAGEMENT FEES,5108925945,40000.00,2016-11-30,Housing & Land,Housing & Land
10025340,MOUNT PLEASANT ASSOCIATION,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108936985,39350.60,2016-12-02,Housing,Housing services
10025238,AOS SECURITY LTD,510025,SECURITY SERVICES (GUARDS),5108943418,35119.14,2016-12-06,Resources,Cultural & related services
13003052,HARROW COLLEGE,544075,GRANTS TO EXTERNAL ORGANISATIONS,5108927456,35049.57,2016-11-14,"Development, Enterprise & Environment",Capital
13000367,VEOLIA ES (UK) PLC,510010,PROPERTY MANAGEMENT FEES,5108927574,31474.10,2016-11-24,Resources,Cultural & related services
10007901,OVE ARUP & PARTNERS LTD,542060,PLANNING & DEVELOPMENT CONSULTANCY,5108914389,31344.75,2016-11-16,Housing,Capital
10017276,RAMIDUS,542051,CONSULTANCY-COMMISSIONED REPORT,5108925906,30725.00,2016-11-14,"Development, Enterprise & Environment",Planning Policy
