Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
10007104,LONDON BOROUGH OF ENFIELD,544075,Grants to External Organisations,5107865888,10500000.00,2013-05-13
18000078,BERKELEY PARTNERSHIP HOMES LIMITED,544078,HSG Grants to Non-Registered Providers,1900018019,10030000.00,2013-05-17
10007104,LONDON BOROUGH OF ENFIELD,544075,Grants to External Organisations,5107865890,7000000.00,2013-05-13
15500142,LONDON BOROUGH OF SUTTON,544075,Grants to External Organisations,5107853594,4071045.00,2013-05-13
10014165,LONDON BOROUGH HACKNEY,544075,Grants to External Organisations,5107862677,1149962.85,2013-05-22
18000045,LONDON AND QUADRANT HOUSING TRUST,544076,HSG Grants to Registered Providers,1900017989,1010000.00,2013-05-07
18000078,BERKELEY PARTNERSHIP HOMES LIMITED,544078,HSG Grants to Non-Registered Providers,1900018018,570000.00,2013-05-17
10007104,LONDON BOROUGH OF ENFIELD,544075,Grants to External Organisations,5107865892,500000.00,2013-05-13
18000024,METROPOLITAN HOUSING TRUST LIMITED,544076,HSG Grants to Registered Providers,1900017992,382500.00,2013-05-08
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107874242,304018.84,2013-05-22
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107874248,292092.44,2013-05-22
13002584,WILLMOTT DIXON ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107865889,227757.68,2013-05-22
18000050,ONE HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900017999,212000.00,2013-05-09
10017866,JACK MORTON WORLDWIDE,542330,Event Management Fee,5107866162,205624.44,2013-05-16
10016524,TRANSPORT FOR LONDON,542320,Shared Services Fees,5107855015,191873.60,2013-05-21
10009468,TRUSTMARQUE SOLUTIONS,536510,Software Maintenance,5107869310,168371.69,2013-05-22
10022324,CLIMATE ENERGY SERVICES LTD,542000,Management & Support Consultancy,5107849032,164421.00,2013-05-01
15500402,LONDON BOROUGH OF HAVERING,544075,Grants to External Organisations,5107851476,164000.00,2013-05-14
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107844026,141424.65,2013-05-01
15500400,LONDON BOROUGH OF SOUTHWARK,544075,Grants to External Organisations,5107855788,115353.34,2013-05-08
10002703,LONDON METROPOLITAN UNIVERSITY,544075,Grants to External Organisations,5107859662,93680.06,2013-05-01
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107849032,85819.18,2013-05-01
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107844026,72562.11,2013-05-01
10017470,COMPUTACENTER,536510,Software Maintenance,5107844923,72520.29,2013-05-03
18000050,ONE HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900018000,65000.00,2013-05-09
10017690,MEDIAEDGE:CIA UK LTD,540600,Marketing & Economic Research,5107875399,58180.96,2013-05-24
10014168,HARROW COUNCIL,544075,Grants to External Organisations,5107844699,55379.64,2013-04-30
10017095,SUSTAIN,544075,Grants to External Organisations,5107859325,54164.00,2013-05-22
10022994,CONCORD MOBILITY LTD,544075,Grants to External Organisations,5107864703,49940.00,2013-05-09
10023093,BRIXTON GREEN LIMITED,544078,HSG Grants to Non-Registered Providers,5107864244,49000.00,2013-05-09
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107874248,46921.00,2013-05-22
10014168,HARROW COUNCIL,544075,Grants to External Organisations,5107841731,45149.36,2013-04-30
10009468,TRUSTMARQUE SOLUTIONS,542100,IT Consultancy,5107860070,40499.32,2013-05-07
10006059,L B OF HARINGEY,544075,Grants to External Organisations,5107862639,40000.00,2013-05-07
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107862450,38206.17,2013-05-07
10021972,ROOFF LIMITED,550010,Contracted Services Buildings,5107863590,37808.80,2013-05-08
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107843976,36553.68,2013-05-01
12000643,UCL CONSULTANTS LIMITED,542050,Research & Study Fees,5107840683,36100.00,2013-05-01
10000063,VODAFONE CORPORATE LTD,535020,"Mobile Phone Line Rent, Calls & Equipment",1900017985,34701.88,2013-05-02
10014157,LONDON BOROUGH OF BROMLEY,544075,Grants to External Organisations,5107853922,33730.00,2013-05-13
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107843976,33072.50,2013-05-01
14000685,CUK SECURITY SERVICES,510025,Security Services (Guards),5107868719,32286.21,2013-05-15
12000113,ANALYSYS MASON,542000,Management & Support Consultancy,5107863362,30331.88,2013-05-09
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107860066,29000.00,2013-05-15
10016907,GROUNDWORK LONDON,542000,Management & Support Consultancy,5107841587,28943.50,2013-04-29
10021983,THE ARCHITECTURE FOUNDATION,542002,Consultancy-Project Management,5107839382,28450.00,2013-05-01
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107874242,27299.75,2013-05-22
10016689,BLISS EVENTS MANAGEMENT LIMITED,540110,Marketing Exhibitions & Events,5107859303,26862.90,2013-05-01
15500125,CROYDON COUNCIL,544075,Grants to External Organisations,5107849603,25349.16,2013-05-07
10017690,MEDIAEDGE:CIA UK LTD,542000,Management & Support Consultancy,5107874233,25000.00,2013-05-22
10008945,WHITECHAPEL GALLERY,544075,Grants to External Organisations,5107874020,24548.39,2013-05-22
10020764,BROADWAY HOMELESSNESS AND SUPPORT,542800,Hsg-Rough Sleeping,5107868770,24526.00,2013-05-15
10016694,BOW TIE,530010,Equipment Repairs & Maintenance,5107870845,23629.92,2013-05-21
10018153,BURO HAPPOLD,542000,Management & Support Consultancy,5107859040,21002.00,2013-05-21
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107862560,20593.69,2013-05-15
10016689,BLISS EVENTS MANAGEMENT LIMITED,540110,Marketing Exhibitions & Events,5107859449,20000.00,2013-05-01
10022207,ECORYS UK LIMITED,542001,Consultancy  Evaluation Assessment,5107873646,20000.00,2013-05-23
10022429,QUOD (2010) LIMITED,542000,Management & Support Consultancy,5107865219,19914.19,2013-05-13
10022683,RSPH,544075,Grants to External Organisations,5107864433,19807.00,2013-05-09
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107862504,19765.33,2013-05-15
10023154,FLUID,542002,Consultancy-Project Management,5107875358,19000.00,2013-05-24
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107849032,18410.27,2013-05-01
10017322,SERVOCA SECURE SOLUTIONS,502000,Agency Staff,5107874214,18403.45,2013-05-22
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107859897,17584.53,2013-05-15
10006588,LONDON BOROUGH OF CAMDEN,502010,Seconded Staff - Non Group,5107864274,16363.33,2013-05-20
10001016,URS INFRASTRUCTURE & ENVIRONMENT,542050,Research & Study Fees,5107849590,16000.00,2013-05-08
10017322,SERVOCA SECURE SOLUTIONS,510025,Security Services (Guards),5107859060,15772.73,2013-05-01
10009831,EDWARD SYMMONS LLP,542355,Other Professional Fees,5107865857,15000.00,2013-05-20
13000367,VEOLIA ES (UK) PLC,510010,Property Management Fees,5107870645,14279.50,2013-05-22
18000059,AGUDAS ISRAEL HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900017995,13500.00,2013-05-08
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,Consultancy-Project Management,5107838338,13443.32,2013-05-03
