Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",2017-11-01,5100945626,1934.29,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",2017-11-01,5100945624,1778.10,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",2017-11-01,5100945625,840.00,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,General Office expenses,2017-11-01,1905799388,600.00,txtlocal Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2017-11-01,5100945598,7850.00,4CT Limited
Manchester City Council,Adult Social Care,Supported Accommodation,2017-11-01,1905807847,6350.00,Revolve Therapy
Manchester City Council,Adult Social Care,Supported Accommodation,2017-11-01,1700075476,6350.00,Revolve Therapy
Manchester City Council,Adult Social Care,Personal needs of client,2017-11-01,5100945600,559.00,Drive Devilbiss Healthcare Ltd
Manchester City Council,Chief Executives,Agency staff provision,2017-11-01,5100945611,4220.00,Hays Personnel
Manchester City Council,Chief Executives,Printing,2017-11-01,5100945581,810.00,Astra Signs
Manchester City Council,Chief Executives,Printing,2017-11-01,5100945578,580.00,Astra Signs
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2017-11-02,5100945693,913.00,Osborne Richardson
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2017-11-02,5100945690,680.75,Osborne Richardson
Manchester City Council,Manchester Leisure,Training and Development,2017-11-02,5100945651,908.25,Ocr
Manchester City Council,Manchester Leisure,Grant Payments,2017-11-02,5100945822,625.00,Oxford University Press
Manchester City Council,Manchester Leisure,Grant Payments,2017-11-02,5100945839,1938.00,Tree Of Life Centre Wythenshawe
Manchester City Council,Manchester Leisure,Postage,2017-11-02,5100945671,787.00,Royal Mail Group Plc
Manchester City Council,Manchester Leisure,Postage,2017-11-02,5100945681,787.00,Royal Mail
Manchester City Council,Manchester Leisure,Cash Collection,2017-11-02,5100940614,17314.50,National Car Parks Ltd Season Ticke
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-02,5100945658,1750.00,Friends of Clayton Park
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-02,5100945827,500.00,Levenshulme Inspire
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-02,5100945694,3511.52,Active Communities Network Limited
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-02,5100945786,1500.00,Dimobi Childrens Disability Trust
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2017-11-02,5100945757,2083.30,Enterprise Flex-E-Rent
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2017-11-02,5100945759,1805.10,Enterprise Flex-E-Rent
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2017-11-02,5100945754,989.24,Enterprise Flex-E-Rent
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2017-11-02,5100945795,5901.60,Specialist Vehicle rental
Manchester City Council,Hospitality + Trading Services,"Clothes, Uniform and Laundry",2017-11-02,5100945828,1232.20,E & E Workwear
Manchester City Council,Hospitality + Trading Services,Advertising,2017-11-02,5100945606,1000.00,Edge Entertainment Consultants Ltd
Manchester City Council,Hospitality + Trading Services,Goods purchased for resale in Council outlets,2017-11-02,5100945684,1023.40,Thomas Group (Marble & Granite) Ltd
Manchester City Council,Chief Executives,Compensation Payments,2017-11-02,1905807814,599.70,Redacted Personal Information
Manchester City Council,Adult Social Care,Electricity,2017-11-02,5100945657,1574.45,Paintpots (Sale Road)
Manchester City Council,Adult Social Care,Electricity,2017-11-02,5100945659,1033.19,Paintpots (Sale Road)
Manchester City Council,Adult Social Care,Electricity,2017-11-02,5100945656,616.21,Paintpots (Sale Road)
Manchester City Council,Adult Social Care,Rents,2017-11-02,5100945748,55580.00,B & A Properties
Manchester City Council,Adult Social Care,Rents,2017-11-02,5100945654,597.60,Paintpots (Sale Road)
Manchester City Council,Adult Social Care,Rents,2017-11-02,5100945749,4682.14,Eeven Homes Ltd.
Manchester City Council,Adult Social Care,Water Service Charges - Metered,2017-11-02,1905808169,1086.09,Water Plus Limited
Manchester City Council,Adult Social Care,Furniture,2017-11-02,5100945734,647.80,Back Care Solutions Ltd
Manchester City Council,Adult Social Care,Catering,2017-11-02,5100945637,9542.75,Spie Limited
Manchester City Council,Adult Social Care,Catering,2017-11-02,5100945633,9542.75,Spie Limited
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2017-11-02,5100945820,9942.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2017-11-02,5100945747,6381.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2017-11-02,5100945781,12130.50,G & A Taylor Hotels Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2017-11-02,5100940444,12400.00,One Education Ltd
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2017-11-02,5100945667,75000.00,Young Manchester
Manchester City Council,Adult Social Care,Personal needs of client,2017-11-02,5100945602,559.00,Drive Devilbiss Healthcare Ltd
Manchester City Council,Adult Social Care,Legal Fees,2017-11-02,5100945780,687.50,Redacted Personal Information
Manchester City Council,Adult Social Care,Legal Fees,2017-11-02,5100945763,850.00,Kings Chambers
Manchester City Council,Adult Social Care,Legal Fees,2017-11-02,5100945777,937.50,Redacted Personal Information
Manchester City Council,Chief Executives,Compensation Payments,2017-11-02,1905807843,783.84,Susan McColl & Associates
Manchester City Council,Chief Executives,Compensation Payments,2017-11-02,1905807816,1004.70,Redacted Personal Information
Manchester City Council,Corporate Services,Grant Payments,2017-11-02,5100945680,3095.00,Utilitywise Corporate Division
Manchester City Council,Corporate Services,Professional fees,2017-11-02,5100945708,750.00,Thomson Associates
Manchester City Council,Corporate Services,Professional fees,2017-11-02,5100945840,3250.00,Savills (UK) Ltd
Manchester City Council,Corporate Services,Professional fees,2017-11-02,5100945709,2450.00,Rider Levett Bucknall UK Ltd
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2017-11-02,5100945792,76281.00,Kier Construction Limited
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2017-11-02,5100945817,19552.00,Kier Construction Limited
Manchester City Council,Housing Revenue Account,Gas,2017-11-02,1905808168,925.60,Gazprom Energy
Manchester City Council,Housing Revenue Account,Gas,2017-11-02,1905808167,696.59,Gazprom Energy
Manchester City Council,Housing Revenue Account,Gas,2017-11-02,1905808166,636.86,Gazprom Energy
Manchester City Council,Chief Executives,Funeral and coroner related services,2017-11-02,5100945776,841.50,Middleton Funeralcare
Manchester City Council,Chief Executives,Funeral and coroner related services,2017-11-02,5100945774,742.50,Middleton Funeralcare
Manchester City Council,Chief Executives,Funeral and coroner related services,2017-11-02,5100945769,693.00,Middleton Funeralcare
Manchester City Council,Chief Executives,Funeral and coroner related services,2017-11-02,5100945765,544.50,Middleton Funeralcare
Manchester City Council,Chief Executives,Funeral and coroner related services,2017-11-02,5100945849,677.60,Redacted Personal Information
Manchester City Council,Chief Executives,Postage,2017-11-02,5100945655,4500.00,Teleset Francotyp Postalia Ltd
Manchester City Council,Chief Executives,Advertising,2017-11-02,5100945782,787.50,The Law Society
Manchester City Council,Chief Executives,Advertising,2017-11-02,5100945773,595.00,In Touch Local Media Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2017-11-02,5100932357,6200.00,Omega Fire Engineering
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2017-11-02,5100945677,38762.37,Manchester Working Ltd
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,2017-11-02,5100945799,841.62,Alliance Disposables Ltd
Manchester City Council,Regeneration Finance,Professional fees,2017-11-02,5100945660,4282.90,The Means:
Manchester City Council,GMIST (Greater Mcr Integrated),I T Provision,2017-11-02,1905760754,12000.00,University Hospital Of
Manchester City Council,GMIST (Greater Mcr Integrated),Payments for services,2017-11-02,5100941282,42400.00,Tameside Metropolitan Bouough
Manchester City Council,Manchester Leisure,Refuse Collection,2017-11-03,5100945866,5213.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,2017-11-03,5100945869,4362.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,2017-11-03,5100945870,2013.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,2017-11-03,5100945874,1468.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,2017-11-03,5100945876,1020.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,2017-11-03,5100945873,812.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Refuse Collection,2017-11-03,5100945875,767.00,Dickinson Environmental
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2017-11-03,5100946000,895.00,Willfab Ltd
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2017-11-03,5100946021,895.00,Willfab Ltd
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2017-11-03,5100945998,895.00,Willfab Ltd
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2017-11-03,5100946028,895.00,Willfab Ltd
Manchester City Council,Manchester Leisure,Training and Development,2017-11-03,5100946098,935.00,Ncfe
Manchester City Council,Manchester Leisure,Publications,2017-11-03,5100945020,1515.00,Thompson Reuters
Manchester City Council,Manchester Leisure,Professional fees,2017-11-03,5100945976,4950.00,"Knight, Kavanagh & Page"
Manchester City Council,Manchester Leisure,Professional fees,2017-11-03,5100946128,720.00,Height Lift & Shift Ltd
Manchester City Council,Manchester Leisure,Professional fees,2017-11-03,5100945983,2313.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,2017-11-03,5100945985,750.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Professional fees,2017-11-03,5100945987,600.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,I T Provision,2017-11-03,5100945767,4580.00,GMCVO Databases
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-03,5100945853,4250.00,Barlow Moor Community Association
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-03,5100945871,2628.00,Northmoor Community Association
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-03,5100946024,2367.00,Whalley Range Forum
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2017-11-03,5100945832,3600.00,City of Westminster
Manchester City Council,Manchester Leisure,Special Events,2017-11-03,5100946132,690.00,JuniorSTEM
Manchester City Council,Manchester Leisure,Legal Fees,2017-11-03,5100946007,525.00,Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809254,1023.60,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809311,930.73,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809298,914.94,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809358,877.29,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809193,840.25,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809299,839.50,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809346,821.15,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809258,791.50,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809242,785.28,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809335,738.45,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809245,668.29,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2017-11-03,1905809307,629.09,Brake Bros Foodservice Ltd
