Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,91844.33,University Hospital of South Mcr
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100837835,57061.00,Salford City Council
Manchester City Council,Regeneration Finance,Professional fees,2016-02-01,5100839319,30000.00,The Carbon and Energy Fund Ltd
Manchester City Council,Adult Social Care,Third party payments to Health Authority,2016-02-01,5100840076,20429.08,University Hospital of South Mcr
Manchester City Council,Hospitality + Trading Services,Security,2016-02-01,5100840100,1443.04,Chubb Systems Ltd
Manchester City Council,Chief Executives,Building Works,2016-02-01,5100840198,1015.31,SRM Schoberer Rad Messtechnik GmbH
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973187,817.23,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973163,693.91,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-01,1904973182,649.33,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2016-02-01,1904973128,646.40,Ecomix Concrete Ltd
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904962748,630.00,Thompsons Solicitors
Manchester City Council,Manchester Leisure,Compensation Payments,2016-02-01,1904927917,627.00,Department For Work & Pensions
Manchester City Council,Adult Social Care,Furniture,2016-02-01,5100830341,567.78,Zero Six
Manchester City Council,Chief Executives,Compensation Payments,2016-02-01,1904964863,500.00,Redacted Personal Information
Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2016-02-01,5100840120,1618.00,VP Bastion Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-02,5100840204,1111414.15,ISG Construction Limited,
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,2016-02-02,5100840370,147868.70,Northwards Housing Limited,
Manchester City Council,Housing General Fund,Surplus property Acquisitions,2016-02-02,1904975424,102125.00,Kuits,
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2016-02-02,5100840474,52495.18,Clearway Drainage Systems Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-02,5100840467,43520.60,Manchester Van Hire Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840435,39468.00,Greater Manchester West,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2016-02-02,5100840193,38167.76,Manchester Working Ltd,
Manchester City Council,Corporate Services,Professional fees,2016-02-02,5100833217,36827.84,Trafford M.B.C.,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,2016-02-02,5100840476,33215.83,Park Crescent Hotel Ltd,
Manchester City Council,Adult Social Care,Supported Accommodation,2016-02-02,5100833347,31479.72,Trafford M.B.C.,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840446,30135.75,Creative Support Ltd,
Manchester City Council,Adult Social Care,Rents,2016-02-02,5100840105,29272.29,Accommodation Links Ltd,
Manchester City Council,Adult Social Care,Supported Accommodation,2016-02-02,5100840234,27365.52,Trafford M.B.C.,
Manchester City Council,Adult Social Care,Supporting People Payments,2016-02-02,5100840200,23028.50,Sanctuary Housing Association,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-02,5100840212,17072.00,Breakthrough Uk Ltd,
Manchester City Council,Environment and Operations,Professional fees,2016-02-02,5100840149,16976.88,Amey OW Limited,
Manchester City Council,GMIST (Greater Mcr Integrated),Seconded Employees,2016-02-02,5100840254,12279.87,Bury M.B.C.,
Manchester City Council,Libraries and Theatres,Labour Charges,2016-02-02,5100840507,10644.59,Greater Manchester Police,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,2016-02-02,5100840201,9901.00,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-02,5100840488,8413.00,The Shaw Centre,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-02,5100840520,7600.00,Colliers International,
Manchester City Council,Environment and Operations,External repairs and maintenance for buildings,2016-02-02,5100840191,7443.00,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840211,7200.00,Pepper Stacey Ltd,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2016-02-02,5100840189,6777.87,Manchester Working Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Costs,2016-02-02,5100840607,6659.77,Stapletons Tyre Services,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2016-02-02,5100840484,5983.33,The Shaw Centre,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-02,5100840242,5757.00,North Chadderton School,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840296,4631.76,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840297,4631.76,The Together Trust,
Manchester City Council,Housing Revenue Account,Professional fees,2016-02-02,5100840429,4617.93,Northwards Housing Limited,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-02,1904973110,4578.20,Express Solicitors,
Manchester City Council,Manchester Leisure,Grant Payments,2016-02-02,5100840258,4500.00,Zion Arts Centre Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2016-02-02,5100840465,4360.18,Manchester Van Hire Ltd,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,2016-02-02,5100840191,4192.76,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840302,4128.33,The Together Trust,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840300,4117.12,The Together Trust,
Manchester City Council,Manchester Leisure,Grant Payments,2016-02-02,5100840500,4000.00,Manchester Jewish Museum,
Manchester City Council,Chief Executives,Advertising,2016-02-02,5100840285,3919.00,Clicky Media Ltd,
Manchester City Council,Adult Social Care,Payments for services,2016-02-02,5100840462,3898.00,United Response,
Manchester City Council,Environment and Operations,Security,2016-02-02,5100840517,3600.00,Solon Security Ltd,
Manchester City Council,Regeneration Finance,Professional fees,2016-02-02,5100840522,3600.00,Colliers International,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-02,1904975011,3500.00,Woodward Solicitors,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-02,1904975186,3261.00,HMCTS (Manchester),
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2016-02-02,5100840638,3221.14,Manchester Working Ltd,
Manchester City Council,Adult Social Care,Funeral and coroner related services,2016-02-02,5100840378,3125.00,Funeral Prtnrs t/a Michael Kennedy,
Manchester City Council,Chief Executives,Advertising,2016-02-02,5100840472,2970.00,The Law Society,
Manchester City Council,Environment and Operations,Compensation Payments,2016-02-02,1904975010,2847.00,Woodward Solicitors,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,2016-02-02,1904975144,2808.70,Howarth Timber,
Manchester City Council,Adult Social Care,Rents,2016-02-02,5100840447,2654.12,Mosscare Housing Ltd,
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2016-02-02,5100840356,2157.44,Marshalls Mono Ltd,
Manchester City Council,Corporate Services,Compensation Payments,2016-02-02,1904975184,2076.00,HMCTS (Manchester),
Manchester City Council,Adult Social Care,Training and Development,2016-02-02,5100838592,2040.00,University Of Manchester,
Manchester City Council,Adult Social Care,Training and Development,2016-02-02,5100840178,2040.00,University Of Manchester,
Manchester City Council,Environment and Operations,Professional fees,2016-02-02,5100840226,2014.00,Lancashire County Council,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,2016-02-02,5100840156,1999.50,Aquam Water Services Limited,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,2016-02-02,5100840157,1990.00,Aquam Water Services Limited,
Manchester City Council,Chief Executives,Compensation Payments,2016-02-02,5100840185,1960.00,Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,2016-02-02,5100840257,1837.50,Cheadle Royal Healthcare,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2016-02-02,1904975068,1569.40,Brake Bros Foodservice Ltd,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2016-02-02,5100840262,1500.00,Zion Arts Centre Ltd,
Manchester City Council,Regeneration Finance,Storage Costs,2016-02-02,5100840277,1372.65,Data Space Limited,
