Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2014-10-01,5100747102,46491.16,Barnardo's North West
Manchester City Council,Chief Executives,Mobilephone Charges,2014-10-01,1904323297,44414.08,T-Mobile (UK) Ltd
Manchester City Council,Childrens Services,Payments for services,2014-10-01,5100746956,19319.50,Pure Innovations Ltd
Manchester City Council,Childrens Services,Proffesional fees,2014-10-01,5100747033,8373.73,Birch Community Association
Manchester City Council,Learning Disabilities PB,Rents,2014-10-01,5100746959,8189.98,Great Places Housing Association
Manchester City Council,Chief Executives,Agency staff provision,2014-10-01,5100747097,7200.00,Hays Personnel
Manchester City Council,Childrens Services,Payments for services,2014-10-01,5100746957,6426.00,Ramillies Hall School Ltd
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,2014-10-01,5100747042,6415.00,Redacted Personal Information
Manchester City Council,Childrens Services,Legal Fees,2014-10-01,1904331475,6380.00,HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Proffesional fees,2014-10-01,5100746981,6050.00,T-Three Public Sector Consulting
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2014-10-01,5100747064,5773.53,BT PLC
Manchester City Council,Childrens Services,Payments for services,2014-10-01,5100746965,5165.00,Pure Innovations Ltd
Manchester City Council,Chief Executives,Compensation Payments,2014-10-01,1904331475,4720.00,HMCTS (Manchester County Court)
Manchester City Council,Childrens Services,Payments for services,2014-10-01,5100746963,4605.00,Pure Innovations Ltd
Manchester City Council,Childrens Services,Legal Fees,2014-10-01,1904331475,4325.00,HMCTS (Manchester County Court)
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2014-10-01,5100747089,3969.86,Killgerm Chemicals Ltd
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2014-10-01,5100747056,3925.00,Birch Community Association
Manchester City Council,Hospitality + Trading Services,Agency staff provision,2014-10-01,5100747092,3406.80,Hays Personnel
Manchester City Council,Childrens Services,Supported Accommodation,2014-10-01,5100746970,3400.00,Future Horizons
Manchester City Council,Childrens Services,Supported Accommodation,2014-10-01,5100746971,3000.00,Future Horizons
Manchester City Council,Childrens Services,Rents,2014-10-01,5100747048,2804.17,Brighter Beginnings (Cheetham)
Manchester City Council,Childrens Services,Legal Fees,2014-10-01,1904331475,2665.00,HMCTS (Manchester County Court)
Manchester City Council,Chief Executives,Agency staff provision,2014-10-01,5100747096,1720.00,Hays Personnel
Manchester City Council,Childrens Services,Contract Cleaning External,2014-10-01,5100747057,1575.00,Brighter Beginnings (Cheetham)
Manchester City Council,Childrens Services,Contract Cleaning External,2014-10-01,5100747059,1566.00,Brighter Beginnings (Cheetham)
Manchester City Council,Childrens Services,Grant and subscriptions awarded,2014-10-01,5100747081,1350.00,The National Youth Agency
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2014-10-01,1904331211,1294.43,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2014-10-01,1904331210,1221.70,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2014-10-01,1904331495,1054.35,Brake Bros Foodservice Ltd
Manchester City Council,Childrens Services,Payments for services,2014-10-01,5100746958,960.00,Ramillies Hall School Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2014-10-01,1904331222,937.96,Brake Bros Foodservice Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2014-10-01,5100746982,916.30,Semester Recruitment Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2014-10-01,1904331220,879.77,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2014-10-01,1904331218,850.76,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2014-10-01,1904331221,841.60,Brake Bros Foodservice Ltd
