Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691921,35000.00,Fentons Solicitors Part of
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691992,15389.10,Equita Ltd
Manchester City Council,Corporate Services,Rents,2015-07-01,1904680044,13706.02,Asda Stores Ltd (Leeds)
Manchester City Council,Corporate Services,Legal Fees,2015-07-01,1904697746,10110.00,HMCTS (Manchester)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697559,10027.10,Pollock Lifts Ltd
Manchester City Council,Chief Executives,Compensation Payments,2015-07-01,1904698351,8830.00,HMCTS (Manchester County Court)
Manchester City Council,Corporate Services,Rents,2015-07-01,1904683980,8226.58,Aprirose Ltd
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,2015-07-01,5100801321,8032.50,Buro Happold Limited
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904691933,7084.45,Department For Work & Pensions
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,6165.00,HMCTS (Manchester County Court)
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697563,5586.00,Astor-Bannerman (Medical) Ltd
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697564,5417.00,Stannah Lift Services Ltd
Manchester City Council,Corporate Services,Non Housing Rent Receipts,2015-07-01,1904673202,5213.36,Manchester Working Ltd
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691990,4799.95,Equita Ltd
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697572,4144.56,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697573,4107.46,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697560,3879.83,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697567,3853.00,Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697570,3683.00,Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697562,3627.37,Kier Services Ltd - Maint West,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697561,3579.80,Kier Services Ltd - Maint West,
Manchester City Council,Chief Executives,Compensation Payments,2015-07-01,1904698349,3550.00,HMCTS (Manchester County Court),
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697565,3282.29,FT Finley & Co Ltd,
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698351,2965.00,HMCTS (Manchester County Court),
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697557,2621.00,Stannah Lift Services Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697569,2389.00,Stannah Lift Services Ltd,
Manchester City Council,Hospitality + Trading Services,Landline Telephone,2015-07-01,1904681457,2212.50,BT PLC,
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698351,2055.00,HMCTS (Manchester County Court),
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698351,2055.00,HMCTS (Manchester County Court),
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,2055.00,HMCTS (Manchester County Court),
Manchester City Council,Corporate Services,Compensation Payments,2015-07-01,1904689491,1595.71,Jones Lang Lasalle Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697558,1442.94,Chiltern Invadex Ltd,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-01,5100801405,1439.00,Aidservice Ltd,
Manchester City Council,Corporate Services,Fees,2015-07-01,1904691964,1395.29,Rossendales Ltd,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697568,1375.00,Stannah Lift Services Ltd,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,2015-07-01,1904692834,1350.00,Ambition,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904698203,1237.12,BRAMBLES FOODS LTD,
Manchester City Council,Adult Social Care,Foster Payments,2015-07-01,1904698366,1200.72,Redacted Personal Information,
Manchester City Council,Adult Social Care,Foster Payments,2015-07-01,1904698365,1130.76,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Refuse Collection,2015-07-01,5100801390,1040.00,Restore Shred Limited,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904698099,1027.37,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698351,1020.00,HMCTS (Manchester County Court),
Manchester City Council,Insurance Fund,Insurance,2015-07-01,1904689960,1000.00,CFG Law,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697571,990.00,Stannah Lift Services Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697921,970.16,Brake Bros Foodservice Ltd,
Manchester City Council,Chief Executives,Landline Telephone,2015-07-01,1904690094,967.33,BT PLC,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697868,925.37,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697887,924.87,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697907,924.74,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904698098,912.70,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697897,875.95,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697925,842.58,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Foster Payments,2015-07-01,1904698364,792.72,Redacted Personal Information,
Manchester City Council,Adult Social Care,Foster Payments,2015-07-01,1904698367,774.20,Redacted Personal Information,
Manchester City Council,Regeneration Finance,Grant Payments,2015-07-01,1904689961,770.00,Platt & Worsley Crt Residents Assoc,
Manchester City Council,Housing General Fund,Building Works,2015-07-01,1904697566,747.33,Stannah Lift Services Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697898,729.98,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-01,5100801404,690.00,Aidservice Ltd,
Manchester City Council,Adult Social Care,Legal Fees,2015-07-01,1904698349,680.00,HMCTS (Manchester County Court),
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697713,664.08,Wilds of Oldham,
Manchester City Council,Adult Social Care,Personal needs of client,2015-07-01,5100801443,644.14,The Furnishing Service Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697840,610.09,Brake Bros Foodservice Ltd,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697862,585.25,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Foster Payments,2015-07-01,1904698362,561.32,Redacted Personal Information,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904698096,548.60,Pasta King (Uk) Ltd,
Manchester City Council,Insurance Fund,Bal of Rsk InsPrem,2015-07-01,1904691934,540.24,St Aidans Catholic School,
Manchester City Council,Hospitality + Trading Services,Landline Telephone,2015-07-01,1904681460,535.58,Vodafone (Ex C&W),
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2015-07-01,1904697924,517.81,Brake Bros Foodservice Ltd,
Manchester City Council,Adult Social Care,Foster Payments,2015-07-01,1904698360,507.72,Redacted Personal Information,
