Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Libraries and Theatres,Training and Development,2011-12-01,5100505630,4957.28,Read - The Reading Agency
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",2011-12-01,1902909449,590.65,Arrow Cleaning and Hygiene
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",2011-12-01,1902909327,533.77,Arrow Cleaning and Hygiene
Manchester City Council,Hospitality + Trading Services,Postage,2011-12-01,5100505686,1875.00,Dx Network Services Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909566,555.11,Berkeley Care Management Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909567,555.11,Berkeley Care Management Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909646,794.84,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909503,777.69,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909645,745.08,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909404,740.25,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909618,700.34,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909330,630.25,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909570,582.05,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909605,578.32,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Catering Provisions,2011-12-01,1902909419,557.95,Brake Bros Foodservice Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2011-12-01,5100505677,6705.50,Worsley Plant Ltd
Manchester City Council,Environment and Operations,Refuse Collection,2011-12-01,5100505685,1430.00,Clean-Up UK Limited
Manchester City Council,Adult Social Care,Equipment,2011-12-01,1902910210,2621.00,Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,2011-12-01,1902910212,2270.00,Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,2011-12-01,1902910208,1826.00,Patterson Medical Ltd
Manchester City Council,Adult Social Care,Equipment,2011-12-01,1902910211,988,Patterson Medical Ltd
