Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841153,103426.27,Oldham Borough Council
Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-10-01,5100670728,1372.50,Willow Park Housing Trust
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670663,2534.84,Willow Park Housing Trust
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-10-01,5100670757,1106.80,Aggregate Industries T/A Kennedy As
Manchester City Council,Regeneration Finance,Landline Telephone,2013-10-01,1903837668,2481.88,BT PLC
Manchester City Council,Adult Social Care,Proffesional fees,2013-10-01,5100670669,5217.00,Experian  Ltd
Manchester City Council,Adult Social Care,I T Provision,2013-10-01,5100670662,2699.80,Panztel (Uk) Limited
Manchester City Council,Manchester Leisure,Rents,2013-10-01,5100670653,3000.00,Moss Side Millennium Powerhouse Ltd
Manchester City Council,Hospitality + Trading Services,Consultants Fees,2013-10-01,5100670649,1757.50,Deloitte & Touche Llp
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841150,103426.27,Tameside Metropolitan Bouough
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841149,103426.27,Bury M.B.C.
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841147,103426.27,Wigan Metropolitan Borough Council
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841154,103426.27,Rochdale Mbc
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841151,103426.27,Stockport Metropolitan Borough Coun
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841152,103426.27,Bolton Mbc
Manchester City Council,Environment and Operations,Testing Fees,2013-10-01,5100670667,1165.00,Staffordshire County Council
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670771,12919.44,Northwards Housing Limited
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670771,9990.03,Northwards Housing Limited
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670771,8562.89,Northwards Housing Limited
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670771,6159.27,Northwards Housing Limited
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670771,4596.35,Northwards Housing Limited
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670771,2253.39,Northwards Housing Limited
Manchester City Council,Adult Social Care,Supporting People Payments,2013-10-01,5100670771,1727.60,Northwards Housing Limited
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841146,103426.27,Salford City Council
Manchester City Council,Corporate Services,Distrib Airport Rent,2013-10-01,1903841148,103426.27,Trafford M B C
Manchester City Council,Corporate Services,External repairs and maintenance for buildings,2013-10-01,5100670651,33675.29,Manchester Working Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-10-01,5100670751,68168.46,Manchester Working Ltd
Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-10-01,5100670657,1364.31,Anson Cabin Project
Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-10-01,5100670660,1364.31,Anson Cabin Project
Manchester City Council,Childrens Services,External repairs and maintenance for buildings,2013-10-01,5100670697,14371.00,GB Building Solutions Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2013-10-01,5100670712,801.15,Routes Healthcare Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2013-10-01,5100670712,771.08,Routes Healthcare Ltd
Manchester City Council,Hospitality + Trading Services,Rents,2013-10-01,1903841134,275803.38,Savills (UK) Ltd
Manchester City Council,Childrens Services,CAMC/Not assigned,2013-10-01,5100670658,897.95,Wrixon Care
Manchester City Council,Environment and Operations,Agency staff provision,2013-10-01,5100670689,852.24,Proactive Personnel Ltd
Manchester City Council,Chief Executives,Agency staff provision,2013-10-01,5100670689,1191.32,Proactive Personnel Ltd
Manchester City Council,Childrens Services,Subsistence and Conference Expenses,2013-10-01,5100670736,2800.00,Inclusive Choice
Manchester City Council,Childrens Services,Supported Accommodation,2013-10-01,5100670629,4215.38,Heartwood Outreach Services Ltd
Manchester City Council,Childrens Services,Supported Accommodation,2013-10-01,5100670630,1727.14,Heartwood Outreach Services Ltd
Manchester City Council,Childrens Services,CAMC/Not assigned,2013-10-01,5100670680,4215.11,Heartwood Outreach Services Ltd
Manchester City Council,Childrens Services,CAMC/Not assigned,2013-10-01,5100670678,1727.14,Heartwood Outreach Services Ltd
Manchester City Council,Libraries and Theatres,External repairs and maintenance for buildings,2013-10-02,5100670632,1100.00,Welding Engineers (Mersey) Ltd
Manchester City Council,Chief Executives,Publications,2013-10-02,5100671037,1081.00,John Smith & Son (Glasgow) Ltd T/A
Manchester City Council,Chief Executives,Publications,2013-10-02,5100671035,556.00,John Smith & Son (Glasgow) Ltd T/A
Manchester City Council,Chief Executives,Publications,2013-10-02,5100671047,530.00,John Smith & Son (Glasgow) Ltd T/A
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-10-02,5100671040,2304.00,Barlow Moor Community Association
Manchester City Council,Childrens Services,Supported Accommodation,2013-10-02,5100671015,2857.14,Care & Support Initiatives@ Rectory
Manchester City Council,Regeneration Finance,Postage,2013-10-02,5100670943,775.00,Royal Mail Group Ltd
Manchester City Council,Childrens Services,Agency staff provision,2013-10-02,5100670839,1554.80,Entrust Social Care
Manchester City Council,Chief Executives,Agency staff provision,2013-10-02,5100671063,715.96,Entrust Social Care
Manchester City Council,Hospitality + Trading Services,Payments to Contractors,2013-10-02,5100670856,47584.04,NSL Ltd
Manchester City Council,Hospitality + Trading Services,I T Provision,2013-10-02,5100670696,762.50,Blackstone Computer Services Ltd
Manchester City Council,Manchester Leisure,Grounds Maintenance,2013-10-02,5100671066,1912.00,Iss Facility Services Limited
Manchester City Council,Manchester Leisure,Grounds Maintenance,2013-10-02,5100671068,1912.00,Iss Facility Services Limited
Manchester City Council,Hospitality + Trading Services,Vehicle Parts/Spares,2013-10-02,5100670821,1589.40,Warrington Truck Parts Ltd
Manchester City Council,Hospitality + Trading Services,Furniture,2013-10-02,5100671031,582.00,Back Care Solutions Ltd
Manchester City Council,Corporate Services,Furniture,2013-10-02,5100671053,652.00,Back Care Solutions Ltd
Manchester City Council,Hospitality + Trading Services,Security,2013-10-02,5100670824,3469.56,Showsec International Ltd
Manchester City Council,Adult Social Care,Agency staff provision,2013-10-02,5100671071,794.50,Bs Project Services Ltd T/A
Manchester City Council,Childrens Services,Agency staff provision,2013-10-02,5100671071,1513.54,Bs Project Services Ltd T/A
Manchester City Council,Childrens Services,Agency staff provision,2013-10-02,5100671071,1313.25,Bs Project Services Ltd T/A
Manchester City Council,Childrens Services,Agency staff provision,2013-10-02,5100671071,773.84,Bs Project Services Ltd T/A
Manchester City Council,Childrens Services,Agency staff provision,2013-10-02,5100671071,654.05,Bs Project Services Ltd T/A
Manchester City Council,Chief Executives,Agency staff provision,2013-10-02,5100671071,745.20,Bs Project Services Ltd T/A
Manchester City Council,Chief Executives,Agency staff provision,2013-10-02,5100671071,566.72,Bs Project Services Ltd T/A
Manchester City Council,Adult Social Care,Transport Taxis,2013-10-02,5100671071,504.36,Bs Project Services Ltd T/A
Manchester City Council,Adult Social Care,Agency staff provision,2013-10-02,5100670885,820.40,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,2013-10-02,5100670885,3257.06,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,2013-10-02,5100670885,2556.82,Sanctuary Social Care
