Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-02,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,5317.73,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Accountancy & Local Taxation,EQUITA LTD,672,MATERIALS
2011-02,Corporate Services,Accountancy & Local Taxation,NORTHERN RECRUITMENT GROUP LIMITED,5000,TRAINING
2011-02,Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,17101.39,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-02,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,4250,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,12225,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-02,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,601.46,SECURITY SERVICES
2011-02,Corporate Services,Corporate Assurance,LRQA,1340,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,660.88,FIRE EXTINGUISHERS & EQUIPMENT
2011-02,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,874.85,BURGLAR ALARMS
2011-02,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,517.17,Responsive-Door Entry
2011-02,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,621.15,Cyclical - Emerg Light & Fire
2011-02,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,22916.65,GAS
2011-02,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2027.93,GAS
2011-02,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,118237.65,GAS
2011-02,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,EQUIPMENT
2011-02,Corporate Services,Corporate Services,ELECTRONIC SECURITY SOLUTIONS LTD,746.36,SECURITY SERVICES
2011-02,Corporate Services,Corporate Services,ENVIRONMENT AGENCY,1290,ELECTRICITY
2011-02,Corporate Services,Corporate Services,LANDSCAPE SOLUTIONS,847,GROUND MAINTENANCE
2011-02,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290,EQUIPMENT
2011-02,Corporate Services,Corporate Services,MICHAEL DUGGAN,900,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Corporate Services,MOTT MACDONALD,7240,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,4250,RENT OF FACILITIES
2011-02,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,1067.85,WATER CHARGES
2011-02,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,22246.72,ELECTRICITY
2011-02,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3157.15,ELECTRICITY
2011-02,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3200.92,ELECTRICITY
2011-02,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2865.63,ELECTRICITY
2011-02,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5730.57,ELECTRICITY
2011-02,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,56346.77,ELECTRICITY
2011-02,Corporate Services,Corporate Services,SAFE ESTATES SERVICES LTD,1456,"RENTS, WAYLEAVES (NON VAT)"
2011-02,Corporate Services,Corporate Services,STOREYS:SSP,2033.84,ELECTRICITY
2011-02,Corporate Services,Corporate Services,STOREYS:SSP,515.57,GAS
2011-02,Corporate Services,Corporate Services,STOREYS:SSP,830,ELECTRICITY
2011-02,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,2592,CRB CHECKS
2011-02,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,1332,CRB CHECKS
2011-02,Corporate Services,Human Resources,SYD STRIKE TRAINING SOLUTIONS,530,TRAINING
2011-02,Corporate Services,Human Resources,THOMPSONS SOLICITORS,1500,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,2697.05,TELEPHONE COSTS
2011-02,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,10236.46,TELEPHONE COSTS
2011-02,Corporate Services,ICT & Printing,OPAL,1051,TELEPHONE COSTS
2011-02,Corporate Services,ICT & Printing,VIRGIN MEDIA BUSINESS LIMITED,576.75,TELEPHONE COSTS
2011-02,Corporate Services,Legal & Democratic,ADT FIRE & SECURITY PLC,550,DLO RECHARGES
2011-02,Corporate Services,Legal & Democratic,ADT FIRE & SECURITY PLC,1184.38,DLO RECHARGES
2011-02,Corporate Services,Legal & Democratic,AMTEC CONSULTING PLC,59169.33,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Legal & Democratic,DX NETWORK SERVICES LTD,4173.64,POSTAGES
2011-02,Corporate Services,Legal & Democratic,MERCEDES BENZ OF TEESSIDE,851.04,R&M (VEHICLES)
2011-02,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,946.46,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1452.25,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1566.21,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1051.54,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1736.04,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Legal & Democratic,NEIL COOKSON,2080,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Legal & Democratic,NEOPOST FINANCE LTD (LEASE),1896.68,POSTAGES
2011-02,Corporate Services,Legal & Democratic,NORTHUMBRIAN WATER,2856.08,WATER CHARGES
2011-02,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1599.23,POSTAGES
2011-02,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1682.42,POSTAGES
2011-02,Corporate Services,Legal & Democratic,SWEET & MAXWELL LTD,3109,SUBSCRIPTIONS
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,2633.17,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,1689.95,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,917.49,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,528.76,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,1720.86,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,560.92,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,990.68,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,679.99,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,1911.25,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,1197.19,POSTAGES
2011-02,Corporate Services,Legal & Democratic,TNT POST LTD,1727.19,POSTAGES
2011-02,Corporate Services,Legal & Democratic,VIGLEN LTD,2518.5,ICT HARDWARE PURCHASE
2011-02,Corporate Services,Legal & Democratic,WATERSTONS,4746,Other Supplies & Services
2011-02,Corporate Services,Public Protection,BEMROSE BOOTH LTD,1590,STATIONERY
2011-02,Corporate Services,Public Protection,BEMROSE BOOTH LTD,639,STATIONERY
2011-02,Corporate Services,Public Protection,CRIMINAL RECORDS BUREAU,540,FEES & CHARGES GENERAL (OUTSIDE SCOPE VAT)
2011-02,Corporate Services,Public Protection,KIM SOFTWARE SOLUTIONS LTD,871.43,NEWSPAPERS AND PERIODICALS
2011-02,Corporate Services,Public Protection,NSL LIMITED,3807.02,SECURITY SERVICES
2011-02,Corporate Services,Public Protection,STEVE HORNER ENVIRONMENTAL SERVICES,853,PROFESSIONAL FEES & CONSULTANCY
2011-02,Corporate Services,Public Protection,TRANSPARENCYDATA LTD,2337.5,EQUIPMENT
2011-02,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,6116.32,Adult Placement Schemes
2011-02,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,19170,Day Care - Private Contractors
2011-02,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2380.88,PRIVATE CONTRACTORS
2011-02,Community Services,Adult Social Care and Health,AHMAD KHOUJA LIMITED,1312,COURT COSTS RECOVERED
2011-02,Community Services,Adult Social Care and Health,ALBANY OFFICE FURNITURE SOLUTIONS,620,FURNITURE
2011-02,Community Services,Adult Social Care and Health,AMARNA HOUSE CARE CENTRE,1548.6,Nursing - Private Contractor
2011-02,Community Services,Adult Social Care and Health,ANNE CHARLTON LODGE,2490.04,Nursing - Private Contractor
2011-02,Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,1764,Residential
2011-02,Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,36603,Residential
2011-02,Community Services,Adult Social Care and Health,BETHANY HOUSE CHRISTIAN NURSING HOME,1851.24,Nursing - Private Contractor
2011-02,Community Services,Adult Social Care and Health,BETHANY HOUSE CHRISTIAN NURSING HOME,2733.24,Nursing - Private Contractor
2011-02,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,10163.43,Home Care - Private Contractor
2011-02,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,2224.44,Home Care - Private Contractor
2011-02,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,4327.6,Home Care - Private Contractor
2011-02,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,12804.99,Home Care - Private Contractor
2011-02,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,60237.89,Home Care - Private Contractor
2011-02,Community Services,Adult Social Care and Health,CARE QUALITY COMMISION,621,PROFESSIONAL FEES & CONSULTANCY
2011-02,Community Services,Adult Social Care and Health,CARE UK,4939.63,Home Care - Private Contractor
2011-02,Community Services,Adult Social Care and Health,CARE UK,14049.91,Home Care - Private Contractor
