,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,55483201,2021-07-24,1500.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,55483210,2021-06-24,4515.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11144574,2021-08-03,18802.01,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55482591,2021-08-16,3869.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,MARSH LTD,55482391,2021-08-09,2500.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55483005,2021-08-04,9458.98,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55483005,2021-08-04,1437.30,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55480689,2021-07-08,1517.25,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55480689,2021-07-08,9643.16,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55480690,2021-07-08,2646.21,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS PENSIONS,11144563,2021-08-03,3689.61,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11144559,2021-08-03,17894.98,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,RIDER INDUSTRIAL & SPECIALIST CLEANING,55481273,2021-07-15,510.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,RIDER INDUSTRIAL & SPECIALIST CLEANING,55481273,2021-07-15,510.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,STANDARD LIFE,11144562,2021-08-03,910.86,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNISON L04007,11144577,2021-08-03,5501.06,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,ZURICH INSURANCE COMPANY,55480942,2021-06-01,12372.43,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,55481470,2021-07-23,6025.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,AECOM LIMITED,55481472,2021-07-23,3975.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,IT SYSTEMS & SUPPORT LIMITED,55483152,2021-08-10,8000.00,It Hardware,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11145019,2021-08-24,895.80,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11144793,2021-08-12,526.63,Capital Grants,Capital Expenditure,Capital Other,
