Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2012-12,Resources Group,Resources,BAUER RADIO LTD,1199.96,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),557.2,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),562.2,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,FLOWERS BY NATTRASS,540,MATERIALS
2012-12,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,2175,EQUIPMENT
2012-12,Resources Group,Resources,ISAPPHIRE LTD,719,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,ISAPPHIRE LTD,1238.71,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,KOMODO DESIGN LTD,913.62,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,LEXIS NEXIS,2391.3,BOOKS
2012-12,Resources Group,Resources,MISS REBECCA STOKES-HERBST,1050,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,Resources,MULTICORD,528,EQUIPMENT
2012-12,Resources Group,Resources,NEIL COOKSON,1634,CONSULTANCY FEES
2012-12,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,650,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,1160,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,880,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,1170,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,Resources,TCS MEDIA,7860,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,TCS MEDIA,5785,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,"TEES, ESK AND WEAR VALLEYS NHS",1400,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,Resources,"TEES, ESK AND WEAR VALLEYS NHS",1400,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,Resources,TFM RADIO STATION,849.96,MARKETING & ADVERTISING
2012-12,Resources Group,Resources,THE LAW SOCIETY,4796,SUBSCRIPTIONS
2012-12,Resources Group,Resources,TNT POST LTD,1533.84,POSTAGES
2012-12,Resources Group,Resources,TNT POST LTD,1778.09,POSTAGES
2012-12,Resources Group,Resources,TNT POST LTD,2114.93,POSTAGES
2012-12,Resources Group,Resources,WATERSTONS,1785,INTERNET COSTS
2012-12,Resources Group,Resources,WATERSTONS,1785,INTERNET COSTS
2012-12,Resources Group,Finance,EDEN BROWN,653.6,AGENCY STAFF COSTS - NON TEACHING
2012-12,Resources Group,Finance,EDEN BROWN,589.7,AGENCY STAFF COSTS - NON TEACHING
2012-12,Resources Group,Finance,EDEN BROWN,652.4,AGENCY STAFF COSTS - NON TEACHING
2012-12,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1637,ICT HARDWARE SUPPORT & MAINTENANCE
2012-12,Resources Group,Finance,PRICE WATERHOUSE COOPERS,12328.2,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,Finance,PRICE WATERHOUSE COOPERS,12328.2,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,Finance,PRICE WATERHOUSE COOPERS,9181,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,ICT,DAISY COMMUNICATIONS LTD,11265.55,TELEPHONE COSTS
2012-12,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,831.85,TELEPHONE COSTS
2012-12,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1150,COUNSELLING RECHARGE
2012-12,Resources Group,Human resources management,BODY 2 FIT LTD,1720,PHYSIOTHERAPY RECHARGE
2012-12,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,23947.5,PROFESSIONAL FEES & CONSULTANCY
2012-12,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,4220,CRB CHECKS
2012-12,Resources Group,Transformation,AIRCON REFRIGERATION LTD,2700,Cyclical - Air Conditioning
2012-12,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3028.5,Repairs - Mechanical
2012-12,Resources Group,Transformation,AIRCON REFRIGERATION LTD,1140,Repairs - Mechanical
2012-12,Resources Group,Transformation,BARR & WRAY LTD,8505,Cyclical - Building Surveys
2012-12,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,2337,ELECTRICITY
2012-12,Resources Group,Transformation,DANBRO LIMITED,10891.5,OTHER LOCAL AUTHORITIES
2012-12,Resources Group,Transformation,DANBRO LIMITED,10249.3,OTHER LOCAL AUTHORITIES
2012-12,Resources Group,Transformation,DANBRO LIMITED,10180,OTHER LOCAL AUTHORITIES
2012-12,Resources Group,Transformation,DANBRO LIMITED,10180,OTHER LOCAL AUTHORITIES
2012-12,Resources Group,Transformation,HAYS SPECIALIST SERVICES,710.54,AGENCY STAFF COSTS - NON TEACHING
2012-12,Resources Group,Transformation,HAYS SPECIALIST SERVICES,692.96,AGENCY STAFF COSTS - NON TEACHING
2012-12,Resources Group,Transformation,HAYS SPECIALIST SERVICES,743.89,AGENCY STAFF COSTS - NON TEACHING
2012-12,Resources Group,Transformation,HAYS SPECIALIST SERVICES,730.91,AGENCY STAFF COSTS - NON TEACHING
2012-12,Resources Group,Transformation,LEGIONELLA CONTROL INTERNATIONAL,1360,EMPLOYEE TRAINING COURSE COSTS
2012-12,Resources Group,Transformation,MINES RESCUE SERVICE LTD,885,EMPLOYEE TRAINING COURSE COSTS
2012-12,Resources Group,Transformation,NORTHUMBRIAN WATER,2197.6,WATER CHARGES
2012-12,Resources Group,Transformation,NORTHUMBRIAN WATER,737.84,WATER CHARGES
2012-12,Resources Group,Transformation,NORTHUMBRIAN WATER,1943.56,WATER CHARGES
2012-12,Resources Group,Transformation,NORTHUMBRIAN WATER,2803.4,WATER CHARGES
2012-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,504.9,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,4797.42,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,56557.53,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN LTD,12192.65,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN LTD,4959.18,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN LTD,1057.24,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN LTD,666.34,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN LTD,8494.45,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN LTD,1022.44,ELECTRICITY
2012-12,Resources Group,Transformation,NPOWER NORTHERN LTD,3240.26,ELECTRICITY
2012-12,Resources Group,Transformation,OTIS PLC,2306.6,Cyclical-Lift Maintenance
2012-12,Resources Group,Transformation,SMITH OF DERBY LTD,606,Repairs - Mechanical
2012-12,Resources Group,Transformation,SPRINGS ROOFING LTD,820,Repairs - Building Fabric
2012-12,Resources Group,Transformation,STOREYS:SSP,1204.51,WATER CHARGES
2012-12,Resources Group,Transformation,STOREYS:SSP,44227.15,RENT OF FACILITIES
2012-12,Resources Group,Transformation,STOREYS:SSP,42268.34,RENT OF FACILITIES
2012-12,Resources Group,Transformation,STOREYS:SSP,758.31,ELECTRICITY
2012-12,Resources Group,Transformation,SUPPLIES TEAM,576.45,STATIONERY
2012-12,Resources Group,Transformation,T W WARD INDUSTRIAL BOILERS,5781,Cyclical-Boiler/Servicing
2012-12,Place,Building Design Services,HAYS SPECIALIST SERVICES,844.68,AGENCY STAFF COSTS - NON TEACHING
2012-12,Place,Building Design Services,HAYS SPECIALIST SERVICES,818.22,AGENCY STAFF COSTS - NON TEACHING
2012-12,Place,Building Design Services,HAYS SPECIALIST SERVICES,841.51,AGENCY STAFF COSTS - NON TEACHING
2012-12,Place,Economic Regeneration,FALCK NUTEC LTD,842,GRANTS
2012-12,Place,Economic Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,635.61,GRANTS
2012-12,Place,Commercial Services,COCA COLA ENTERPRISES LTD,613.78,BAR PROVISIONS FOR RESALE
2012-12,Place,Commercial Services,EDEN FARM LTD,1014.26,CATERING PROVISIONS
2012-12,Place,Commercial Services,EDEN FARM LTD,970.11,CATERING PROVISIONS
2012-12,Place,Commercial Services,EDEN FARM LTD,518.44,CATERING PROVISIONS
2012-12,Place,Commercial Services,HEINEKEN UK,566.56,BAR PROVISIONS FOR RESALE
2012-12,Place,Commercial Services,INDOOR OUTDOOR,1065,Other Supplies & Services
2012-12,Place,Commercial Services,INDOOR OUTDOOR,4382,Other Supplies & Services
2012-12,Place,Commercial Services,INDOOR OUTDOOR,1470,Other Supplies & Services
2012-12,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,1316.85,BAR PROVISIONS FOR RESALE
2012-12,Place,Commercial Services,ROLLOVER LTD,533.96,CATERING PROVISIONS
2012-12,Place,Commercial Services,STOBBS WHOLESALERS,669.03,CATERING PROVISIONS
2012-12,Place,Commercial Services,STOBBS WHOLESALERS,1234.81,CATERING PROVISIONS
2012-12,Place,Commercial Services,STOBBS WHOLESALERS,747.05,CATERING PROVISIONS
2012-12,Place,Commercial Services,STOBBS WHOLESALERS,574.95,CATERING PROVISIONS
