,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11145255,2021-09-02,18924.27,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DWP DEBT MANAGEMENT,11145260,2021-09-02,501.79,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,HM REVENUE AND CUSTOMS,11145651,2021-09-29,5131.88,Physiotherapy Recharge,Non Resource Allocation,CENTRAL SUPPORT SERVICES,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55484664,2021-09-14,3622.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55483008,2021-08-04,695.68,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55485247,2021-09-01,970.80,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS PENSIONS,11145246,2021-09-02,3689.61,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS TEES VALLEY CCG,55484630,2021-08-18,4906.28,General Credits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11145242,2021-09-02,17854.98,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,STANDARD LIFE,11145245,2021-09-02,910.86,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11145259,2021-09-02,1119.42,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNISON L04007,11145258,2021-09-02,5459.55,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,ZURICH MUNICPAL,55483596,2021-09-01,23168.10,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,DTA CONSULTING ENGINEERS LLP,55484161,2021-08-23,1003.27,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,IT SYSTEMS & SUPPORT LIMITED,55484294,2021-08-26,25440.01,It Hardware,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,IT SYSTEMS & SUPPORT LIMITED,55484295,2021-08-31,4597.55,It Hardware,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,AVENSWAY LTD,11145409,2021-09-14,12635.20,Capital Grants,Capital Expenditure,Capital Other,
