Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-01,Corporate Services,Accountancy & Local Taxation,CIPFA,978.53,BOOKS
2011-01,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,4202,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Accountancy & Local Taxation,LEXIS NEXIS,819,BOOKS
2011-01,Corporate Services,Accountancy & Local Taxation,PHOENIX SOFTWARE LTD,725.77,ICT SOFTWARE PURCHASE
2011-01,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Accountancy & Local Taxation,PRINTWELL (NORTH EAST) LTD,1540,STATIONERY
2011-01,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-01,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.86,SECURITY SERVICES
2011-01,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1096.02,STATIONERY
2011-01,Corporate Services,Corporate Assurance,RMS BENTLEY JENNISON,2000,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-01,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,634,BURGLAR ALARMS
2011-01,Corporate Services,Corporate Services,BOURTON GROUP,11615,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,3888.72,GAS
2011-01,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2435.32,GAS
2011-01,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,10179.61,GAS
2011-01,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,EQUIPMENT
2011-01,Corporate Services,Corporate Services,EVOLUTION,1377.4,HOSPITALITY & ROOM HIRE
2011-01,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290,EQUIPMENT
2011-01,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290,EQUIPMENT
2011-01,Corporate Services,Corporate Services,MOTT MACDONALD,16000,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Corporate Services,MOTT MACDONALD,19240,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,1497.27,WATER CHARGES
2011-01,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,3407.32,WATER CHARGES
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,531.47,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5850.36,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,58148.06,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2708.72,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5196.99,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,12047.2,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,588.04,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,805.62,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3871,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1100.74,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1519,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,6309.55,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3371.91,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3507.4,ELECTRICITY
2011-01,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,8149,ELECTRICITY
2011-01,Corporate Services,Corporate Services,PHOENIX SOFTWARE LTD,725.77,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-01,Corporate Services,Corporate Services,ROBINSONS INTERNATIONAL REMOVALS LIMITED,1047.65,ALTERATIONS & IMPROVEMENTS
2011-01,Corporate Services,Corporate Services,ROBINSONS INTERNATIONAL REMOVALS LIMITED,1205.52,FURNITURE
2011-01,Corporate Services,Corporate Services,STOREYS:SSP,771.93,ELECTRICITY
2011-01,Corporate Services,Corporate Services,STOREYS:SSP,1459.61,ELECTRICITY
2011-01,Corporate Services,Corporate Services,WR ALDERSON,1787,GROUND MAINTENANCE
2011-01,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,550,COUNSELLING RECHARGE
2011-01,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,2050,COUNSELLING RECHARGE
2011-01,Corporate Services,Human Resources,BODY 2 FIT LTD,2100,PHYSIOTHERAPY RECHARGE
2011-01,Corporate Services,Human Resources,BODY 2 FIT LTD,1620,PHYSIOTHERAPY RECHARGE
2011-01,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,8502.84,MEDICAL
2011-01,Corporate Services,Human Resources,SYD STRIKE TRAINING SOLUTIONS,670,TRAINING
2011-01,Corporate Services,ICT & Printing,OPAL,1051,TELEPHONE COSTS
2011-01,Corporate Services,ICT & Printing,VIRGIN MEDIA BUSINESS LIMITED,13805.44,TELEPHONE COSTS
2011-01,Corporate Services,Legal & Democratic,ADT FIRE & SECURITY PLC,6912.67,FIRE EXTINGUISHERS & EQUIPMENT
2011-01,Corporate Services,Legal & Democratic,FLOWERS BY NATTRASS,540,MATERIALS
2011-01,Corporate Services,Legal & Democratic,IAN ROSS VIDEO & AUDIO VISUAL,2175,FIXTURES AND FITTINGS
2011-01,Corporate Services,Legal & Democratic,INCOM TELECOMMUNICATIONS,564.61,EQUIPMENT
2011-01,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,999,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1773.04,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1714.21,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1523.29,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Legal & Democratic,NEIL COOKSON,2171.75,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Legal & Democratic,NEIL COOKSON,2284.75,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Legal & Democratic,NEOPOST LTD (FRANKING ONLY),2000,POSTAGES
2011-01,Corporate Services,Legal & Democratic,OTIS PLC,2092.16,REPAIRS AND MAINTENANCE
2011-01,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1830.03,POSTAGES
2011-01,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1302.53,POSTAGES
2011-01,Corporate Services,Legal & Democratic,SOCITM LTD,1110,PROFESSIONAL FEES & CONSULTANCY
2011-01,Corporate Services,Legal & Democratic,TNT POST LTD,558.95,POSTAGES
2011-01,Corporate Services,Legal & Democratic,TNT POST LTD,1385.01,POSTAGES
2011-01,Corporate Services,Legal & Democratic,TNT POST LTD,519.13,POSTAGES
2011-01,Corporate Services,Legal & Democratic,TNT POST LTD,659.26,POSTAGES
2011-01,Corporate Services,Legal & Democratic,TNT POST LTD,673.25,POSTAGES
2011-01,Corporate Services,Legal & Democratic,TNT POST LTD,572.41,POSTAGES
2011-01,Corporate Services,Legal & Democratic,TNT POST LTD,1472.34,POSTAGES
2011-01,Corporate Services,Legal & Democratic,WATERSTONS,4125,Other Supplies & Services
2011-01,Corporate Services,Legal & Democratic,WATERSTONS,1785,ICT HARDWARE PURCHASE
2011-01,Corporate Services,Public Protection,CRB SOLUTIONS,828,FEES & CHARGES GENERAL (OUTSIDE SCOPE VAT)
2011-01,Corporate Services,Public Protection,KILLGERM CHEMICALS LTD,576.6,MATERIALS
2011-01,Corporate Services,Public Protection,METRIC GROUP LIMITED,2376.36,EQUIPMENT
2011-01,Corporate Services,Public Protection,METRO ROD PLC,1695,REPAIRS AND MAINTENANCE
2011-01,Corporate Services,Public Protection,NPOWER NORTHERN FINANCE,1114,ELECTRICITY
2011-01,Corporate Services,Public Protection,NPOWER NORTHERN LTD,2228,ELECTRICITY
2011-01,Corporate Services,Public Protection,NSL LIMITED,3752.35,SECURITY SERVICES
2011-01,Corporate Services,Public Protection,NSL LIMITED,3951.15,SECURITY SERVICES
2011-01,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,6116.32,Adult Placement Schemes
2011-01,Community Services,Adult Social Care and Health,ADULT PLACEMENT SERVICES T/A AVALON,8035.48,Adult Placement Schemes
2011-01,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,15000,PRIVATE CONTRACTORS
2011-01,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2399.98,PRIVATE CONTRACTORS
2011-01,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,9585,Day Care - Private Contractors
2011-01,Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,2559.13,PRIVATE CONTRACTORS
2011-01,Community Services,Adult Social Care and Health,ALLIANCE PSYCHOLOGICAL SERVICES,1350,TRAINING
2011-01,Community Services,Adult Social Care and Health,AMARNA HOUSE CARE CENTRE,1548.6,Residential
2011-01,Community Services,Adult Social Care and Health,ANGEL HUMAN RESOURCES PLC (LDS RECRUITME,514.29,AGENCY STAFF COSTS - NON TEACHING
2011-01,Community Services,Adult Social Care and Health,ANNE CHARLTON LODGE,2490.04,Nursing - Private Contractor
2011-01,Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,38997,Residential
2011-01,Community Services,Adult Social Care and Health,ASCOT CARE (NORTH EAST) LTD,1764,Residential
2011-01,Community Services,Adult Social Care and Health,BENFIELD HALL CARE HOME,1771.92,Nursing - Private Contractor
2011-01,Community Services,Adult Social Care and Health,BENFIELD HALL CARE HOME,1771.92,Nursing - Private Contractor
2011-01,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,2264.4,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,11200.7,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,BROADACRES HOUSING ASSOC. LTD,4392.51,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,11939.73,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,7749.05,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,CARE CONCERN (DARLINGTON) LTD,54167.24,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,CARE UK,746.47,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,CARE UK,13273.41,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,CARE UK,6060.07,Home Care - Private Contractor
2011-01,Community Services,Adult Social Care and Health,CARELINE LIFESTYLES,500,Nursing - Private Contractor
