,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,AMG CONSULTANCY SERVICES LTD,883.59,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,BAUER RADIO LTD,1199.96,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BAUER RADIO LTD,3000.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),546,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),557.2,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),764.4,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),562.2,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),650,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),1774.50,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),500,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,COMPRIL LIMITED,657.5,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,DR PETER MORRELL,868,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,DR URSULA CAWTHORNE,702,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,FLOWERS BY NATTRASS,540,MATERIALS
INSERTED DETAIL,,Resources Group,Resources,GEOWISE LIMITED,750,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,2175.00,EQUIPMENT
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,1238.71,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,719,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,688.85,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,540.55,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,JOHN GOOD LTD,3985.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,KESTER ARMSTRONG,7700.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,913.62,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,LEXIS NEXIS,2391.30,BOOKS
INSERTED DETAIL,,Resources Group,Resources,MAXSI LTD,980.4,INTERNET COSTS
