Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2012-08,Resources Group,Resources,ALBANY OFFICE FURNITURE SOLUTIONS,2142,EQUIPMENT
2012-08,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),792,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),546,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),775,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),2170.5,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,CACI LIMITED,12723,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-08,Resources Group,Resources,DR URSULA CAWTHORNE,501.5,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,ELECTORAL REFORM SERVICES,2739.46,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,EVERYDAY LANGUAGE SOLUTIONS,730.24,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,JOHN JACKSON,1450,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,LINDSAY WEBSTER,1950,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1176,AGENCY STAFF COSTS - NON TEACHING
2012-08,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1416,AGENCY STAFF COSTS - NON TEACHING
2012-08,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1184,AGENCY STAFF COSTS - NON TEACHING
2012-08,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,992,AGENCY STAFF COSTS - NON TEACHING
2012-08,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1088,AGENCY STAFF COSTS - NON TEACHING
2012-08,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1176,AGENCY STAFF COSTS - NON TEACHING
2012-08,Resources Group,Resources,MISS FIONA MCREDDIE,3350,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,MISS FIONA MCREDDIE,675,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,MISS FIONA MCREDDIE,3050,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,MRS ELAINE AVERIS,1300,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,MRS ELAINE AVERIS,4050,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,MRS ELAINE AVERIS,700,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,NEIL COOKSON,1884.5,CONSULTANCY FEES
2012-08,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,4705.16,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,4705.16,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,4705.16,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1928.16,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,2777,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,1160,MARKETING & ADVERTISING
2012-08,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,5180,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,3100,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,3740,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,2970,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,3350,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,1160,PROFESSIONAL FEES & CONSULTANCY
2012-08,Resources Group,Resources,ROYAL MAIL NORTH EAST,2600.1,POSTAGES
