Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-03,Corporate Services,Accountancy & Local Taxation,BISHOPTON PARISH COUNCIL,1111,GRANTS
2011-03,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,15043.15,PROFESSIONAL FEES & CONSULTANCY
2011-03,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,15311.9,PROFESSIONAL FEES & CONSULTANCY
2011-03,Corporate Services,Accountancy & Local Taxation,DSI BILLING SERVICES LTD,8328.41,POSTAGES
2011-03,Corporate Services,Accountancy & Local Taxation,DSI BILLING SERVICES LTD,12921.56,STATIONERY
2011-03,Corporate Services,Accountancy & Local Taxation,LOW CONISCLIFFE & MERRYBENT PARISH COUN,1287,GRANTS
2011-03,Corporate Services,Accountancy & Local Taxation,LOW DINSDALE PARISH COUNCIL,968,GRANTS
2011-03,Corporate Services,Accountancy & Local Taxation,MAG:NET SOLUTIONS LTD,950,LICENCES
2011-03,Corporate Services,Accountancy & Local Taxation,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,911.88,MARKETING & ADVERTISING
2011-03,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760,PROFESSIONAL FEES & CONSULTANCY
2011-03,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-03,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.87,SECURITY SERVICES
2011-03,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-03,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.86,SECURITY SERVICES
2011-03,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-03,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,615.86,SECURITY SERVICES
2011-03,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1166.5,STATIONERY
2011-03,Corporate Services,Accountancy & Local Taxation,ULTIMATE COMMUNICATION SYSTEMS,532.21,ICT HARDWARE PURCHASE
2011-03,Corporate Services,Accountancy & Local Taxation,WHESSOE PARISH COUNCIL,2819,GRANTS
2011-03,Corporate Services,Corporate Services,BASE 2 TRAINING,1900,EMPLOYEE TRAINING COURSE COSTS
2011-03,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2318.15,GAS
2011-03,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,2618.22,GAS
2011-03,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,23447.99,GAS
