,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,CROSSLING LTD,55465546,2021-01-12,719.60,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55467129,2021-02-15,4382.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS PENSIONS,11137336,2021-02-08,2060.06,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,ZURICH MUNICPAL,55465723,2021-02-01,31318.30,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,ADNS (AD NETWORK SOLUTIONS),1100417,2021-01-27,1388.00,Dfc - Info & Communications Tech,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,AECOM LIMITED,55466535,2021-01-25,3060.31,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,AECOM LIMITED,55466537,2021-01-25,3500.00,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,DARLINGTON TIMBER SHEDS,1100565,2021-02-09,722.25,"Dfc - New Const, Conver & Renovation",Capital Expenditure,Capital Construction,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,DISCOVERY CONSTRUCTION LTD,1100452,2021-01-20,7500.00,"Dfc - New Const, Conver & Renovation",Capital Expenditure,Capital Construction,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,DTA CONSULTING ENGINEERS LLP,55466030,2021-01-19,601.96,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS ARCHITECTS LTD,55465725,2021-01-31,744.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS ARCHITECTS LTD,11137920,2021-02-23,894.00,Capital Grants,Capital Expenditure,Capital Other,
