Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2015-09,Resources Group,Resources,CELLMARK,3072898,513.4,Professional Fees & Consultancy
2015-09,Resources Group,Resources,CORPTEL,3071425,680,Voice Telephone Equipment
2015-09,Resources Group,Resources,DE-POEL,0,670.79,Agency Staff Costs - Non Teaching
2015-09,Resources Group,Resources,DR L RIPPON,3072711,1438.66,Professional Fees & Consultancy
2015-09,Resources Group,Resources,GAZETTE MEDIA COMPANY,3072085,500,Marketing & Advertising
2015-09,Resources Group,Resources,ISAPPHIRE LTD,3072827,687.3,Marketing & Advertising
2015-09,Resources Group,Resources,KESTER ARMSTRONG,3073191,2400,Professional Fees & Consultancy
2015-09,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1531.25,Agency Staff Costs - Non Teaching
2015-09,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,787.5,Agency Staff Costs - Non Teaching
2015-09,Resources Group,Resources,MISS REBECCA STOKES-HERBST,3072709,650,Professional Fees & Consultancy
2015-09,Resources Group,Resources,MS FRANCES LAWLEY,3072708,500,Consultancy Fees
2015-09,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,1090.2,Other Supplies & Services
2015-09,Resources Group,Resources,ROCH NDT SERVICES,3071240,1750,Marketing & Advertising
2015-09,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1015.56,Postages
2015-09,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1024.79,Postages
2015-09,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1516.83,Postages
2015-09,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1577.28,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,1594.07,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,837.49,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,510.45,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,600.92,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,1592.03,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,1168.35,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,2033.59,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,1767.01,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,2551.42,Postages
2015-09,Resources Group,Resources,WHISTL UK LIMITED,0,1542.89,Postages
2015-09,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.44,Security Services
2015-09,Resources Group,ICT,CISILION LTD,3072097,3857.6,Ict Hardware Purchase
2015-09,Resources Group,ICT,CISILION LTD,3072097,11670.75,Ict Hardware Purchase
2015-09,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,7311.14,Telephone Costs
2015-09,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,3571.15,Telephone Costs
2015-09,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,1900,Physiotherapy Recharge
2015-09,Resources Group,Human resources management,BOND DICKINSON,3065636,8507.5,Professional Fees & Consultancy
2015-09,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,1750,Professional Fees & Consultancy
2015-09,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067052,747.5,Medical
2015-09,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,9020.9,Professional Fees & Consultancy
2015-09,Resources Group,Human resources management,NORTHGATE PUBLIC SERVICES (UK) LTD,3069710,1460,Ict Software Support & Maintenance
2015-09,Resources Group,Human resources management,P & A MEDICAL LTD,3071954,685,Medical
2015-09,Resources Group,Transformation,ADT FIRE & SECURITY PLC,3071036,673.04,Repairs - Fire Alarms
