Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-09,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,5850,PROFESSIONAL FEES & CONSULTANCY
2011-09,Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,1000,ICT SOFTWARE PURCHASE
2011-09,Corporate Services,Accountancy & Local Taxation,NORTHGATE PUBLIC SECTOR LIMITED,1000,ICT SOFTWARE PURCHASE
2011-09,Corporate Services,Accountancy & Local Taxation,NORTHGATE VEHICLE HIRE (NORTH EAST) LIMITED,1334.81,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-09,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,6036,PROFESSIONAL FEES & CONSULTANCY
2011-09,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-09,Corporate Services,Accountancy & Local Taxation,SERVICE LEVEL MANAGEMENT,1360,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-09,Corporate Services,Accountancy & Local Taxation,TEACHERS PENSIONS,3269.88,Other Supplies & Services
2011-09,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,7008.22,GAS
2011-09,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,LEASING CHARGES
2011-09,Corporate Services,Corporate Services,CIVICA,11893.79,INTERNET COSTS
2011-09,Corporate Services,Corporate Services,ENVIRONMENT AGENCY,1290,Other Supplies & Services
2011-09,Corporate Services,Corporate Services,IRONWORLD,1480,EVENTS & AWARDS
2011-09,Corporate Services,Corporate Services,LATIMER HINKS,3625,RENT OF FACILITIES
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,989.81,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1398.03,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,973.36,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4127.04,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2629.54,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1120.02,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1011.06,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,50884.57,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4210.06,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2325.7,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,848.44,ELECTRICITY
2011-09,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2391.87,ELECTRICITY
2011-09,Corporate Services,Corporate Services,SCHOTT REMOVALS TRANSPORT LTD,1243.55,REMOVAL COSTS - STAFF MOVES
2011-09,Corporate Services,Corporate Services,SCHOTT REMOVALS TRANSPORT LTD,656,REMOVAL COSTS - STAFF MOVES
2011-09,Corporate Services,Corporate Services,SCHOTT REMOVALS TRANSPORT LTD,510,REMOVAL COSTS - STAFF MOVES
2011-09,Corporate Services,Corporate Services,STOREYS:SSP,959.47,ELECTRICITY
2011-09,Corporate Services,Corporate Services,STOREYS:SSP,1135.56,ELECTRICITY
2011-09,Corporate Services,Corporate Services,STOREYS:SSP,715.82,ELECTRICITY
2011-09,Corporate Services,Corporate Services,STOREYS:SSP,546.69,GAS
2011-09,Corporate Services,Corporate Services,STOREYS:SSP,38407.61,RENT OF FACILITIES
2011-09,Corporate Services,Corporate Services,STOREYS:SSP,37746.39,WASTE DISPOSAL
2011-09,Corporate Services,Corporate Services,STOREYS:SSP,614.01,ELECTRICITY
