,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ALBANY OFFICE FURNITURE SOLUTIONS,10797.00,Equipment
INSERTED DETAIL,,Resources Group,Resources,CIVICA,504.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,INSIGHT DIRECT (UK) LTD,1730.85,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,INSIGHT DIRECT (UK) LTD,2184.72,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,INSIGHT DIRECT (UK) LTD,726.51,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,MANNING LIMITED,1183.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,Fixtures And Fittings
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,620.00,Equipment
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,669.80,Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,887.80,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,PHOENIX SOFTWARE LTD,3801.28,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,1190.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,RESTORE SHRED LTD,543.00,Waste Disposal
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,799.04,Postages
INSERTED DETAIL,,Resources Group,Resources,THEORY BRANDING AGENCY LIMITED,3270.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,THEORY BRANDING AGENCY LIMITED,805.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3156.88,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2091.90,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2067.19,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1426.06,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1126.52,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1589.83,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2690.42,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1393.35,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3568.87,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2734.39,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1207.13,Postages
