Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-07,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,9734.8,PROFESSIONAL FEES & CONSULTANCY
2011-07,Corporate Services,Accountancy & Local Taxation,HM REVENUE & CUSTOMS,587.61,Other Supplies & Services
2011-07,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760,PROFESSIONAL FEES & CONSULTANCY
2011-07,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,703.57,Cyclical - Fire Alarms
2011-07,Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,721.44,Cyclical - Intruder Alarms
2011-07,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,LEASING CHARGES
2011-07,Corporate Services,Corporate Services,CORONA ENERGY LTD,2232.99,GAS
2011-07,Corporate Services,Corporate Services,CORONA ENERGY LTD,42194.45,GAS
2011-07,Corporate Services,Corporate Services,CORONA ENERGY LTD,3391.52,GAS
2011-07,Corporate Services,Corporate Services,CORONA ENERGY LTD,35849.35,GAS
2011-07,Corporate Services,Corporate Services,IDOX PLC,1900,CONSULTANCY FEES
2011-07,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290,EQUIPMENT
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1312.84,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,60479.53,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,2267.39,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4508.46,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1110.53,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,801.23,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,552.9,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4113.93,ELECTRICITY
2011-07,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1453.39,ELECTRICITY
2011-07,Corporate Services,Corporate Services,SCHOTT REMOVALS TRANSPORT LTD,1246.4,REMOVAL COSTS - STAFF MOVES
2011-07,Corporate Services,Corporate Services,STOREYS:SSP,993.89,ELECTRICITY
2011-07,Corporate Services,Corporate Services,STOREYS:SSP,807.54,ELECTRICITY
