Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2012-06,Resources Group,Resources,AMTEC CONSULTING PLC,20000,PROFESSIONAL FEES & CONSULTANCY
2012-06,Resources Group,Resources,ELECTORAL REFORM SERVICES,2178.42,PRINTING
2012-06,Resources Group,Resources,ICO,500,Other Supplies & Services
2012-06,Resources Group,Resources,LEXIS NEXIS,3778,SUBSCRIPTIONS
2012-06,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1184,AGENCY STAFF COSTS - NON TEACHING
2012-06,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1232,AGENCY STAFF COSTS - NON TEACHING
2012-06,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1152,AGENCY STAFF COSTS - NON TEACHING
2012-06,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1400,AGENCY STAFF COSTS - NON TEACHING
2012-06,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1088,AGENCY STAFF COSTS - NON TEACHING
2012-06,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1128,AGENCY STAFF COSTS - NON TEACHING
2012-06,Resources Group,Resources,MULTICORD,528,FIXTURES AND FITTINGS
2012-06,Resources Group,Resources,NEIL COOKSON,1573.5,CONSULTANCY FEES
2012-06,Resources Group,Resources,QUADRANT (DARLINGTON) LTD,2433.33,HOSPITALITY
2012-06,Resources Group,Resources,ROYAL MAIL NORTH EAST,1006.25,POSTAGES
2012-06,Resources Group,Resources,ROYAL MAIL NORTH EAST,2535.34,POSTAGES
2012-06,Resources Group,Resources,ROYAL MAIL NORTH EAST,1693.46,POSTAGES
2012-06,Resources Group,Resources,SIEMENS ENTERPRISE COMMUNICATIONS LTD,3275.6,ICT HARDWARE PURCHASE
2012-06,Resources Group,Resources,STUART ROOK,750,PROFESSIONAL FEES & CONSULTANCY
2012-06,Resources Group,Resources,SUCCESSFUL SPEECHES,802,EMPLOYEE TRAINING COURSE COSTS
2012-06,Resources Group,Resources,THE MERIT BADGE & REGALLIA COMPANY LTD,928.4,EQUIPMENT
2012-06,Resources Group,Resources,TNT POST LTD,1451.59,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,2389.86,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,4946.58,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,552.48,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,2590.27,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,2340.09,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,1122.2,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,2405.45,POSTAGES
2012-06,Resources Group,Resources,TNT POST LTD,1414.06,POSTAGES
2012-06,Resources Group,Resources,WATERSTONS,1785,INTERNET COSTS
