Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-05,Corporate Services,Accountancy & Local Taxation,AUDIT COMMISSION,2190,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Accountancy & Local Taxation,CIPFA,2903.75,ICT SOFTWARE PURCHASE
2011-05,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,34900,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Accountancy & Local Taxation,KONICA MINTOLA BUSINESS SOLUTIONS EAST LTD,588.82,PHOTOCOPY CHARGES
2011-05,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-05,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,565.45,SECURITY SERVICES
2011-05,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1114.88,STATIONERY
2011-05,Corporate Services,Accountancy & Local Taxation,VALUATION OFFICE AGENCY,3000,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,27900.75,GAS
2011-05,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,112437.58,GAS
2011-05,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,LEASING CHARGES
2011-05,Corporate Services,Corporate Services,CIPFA,4103.75,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-05,Corporate Services,Corporate Services,COMBINED POWER (SOUTH) LTD,2346.74,EQUIPMENT
2011-05,Corporate Services,Corporate Services,LINGFIELD WAREHOUSING LTD,500,RENT OF FACILITIES
2011-05,Corporate Services,Corporate Services,MAINTEL HOLDINGS PLC,3288.58,TELEPHONE COSTS
2011-05,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290,EQUIPMENT
2011-05,Corporate Services,Corporate Services,MDNX ENTERPRISE SERVICES LTD,1290,EQUIPMENT
2011-05,Corporate Services,Corporate Services,MISS NICOLA ALLAN,1050,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Corporate Services,NEIL WHELPTON ASSOCIATES LTD,4250,RENT OF FACILITIES
2011-05,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,1481.24,WATER CHARGES
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3889.43,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,9352.48,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1407.55,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1783.95,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,5043.22,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,545.83,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,4804.47,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,18346.54,ELECTRICITY
2011-05,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,8060.41,ELECTRICITY
2011-05,Corporate Services,Corporate Services,STOREYS:SSP,870.72,ELECTRICITY
2011-05,Corporate Services,Corporate Services,STOREYS:SSP,1460.77,ELECTRICITY
2011-05,Corporate Services,Corporate Services,TABS RECRUITMENT,2251.93,AGENCY STAFF COSTS - NON TEACHING
2011-05,Corporate Services,Corporate Services,VIRGIN MEDIA BUSINESS LIMITED,6934.97,TELEPHONE COSTS
2011-05,Corporate Services,Director,CIPFA,6765,SUBSCRIPTIONS
2011-05,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,880,COUNSELLING RECHARGE
2011-05,Corporate Services,Human Resources,BODY 2 FIT LTD,1920,PHYSIOTHERAPY RECHARGE
2011-05,Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,577.2,AGENCY STAFF COSTS - NON TEACHING
2011-05,Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,711.88,AGENCY STAFF COSTS - NON TEACHING
2011-05,Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,711.88,AGENCY STAFF COSTS - NON TEACHING
2011-05,Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,529.1,AGENCY STAFF COSTS - NON TEACHING
2011-05,Corporate Services,Human Resources,CRIMINAL RECORDS BUREAU,3504,CRB CHECKS
2011-05,Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,8502.84,MEDICAL
2011-05,Corporate Services,Human Resources,NORTH EAST REGIONAL EMPLOYERS ORG,15680,EMPLOYEE TRAINING COURSE COSTS
2011-05,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,6114.75,TELEPHONE COSTS
2011-05,Corporate Services,ICT & Printing,DAISY COMMUNICATIONS LTD,11080.8,TELEPHONE COSTS
2011-05,Corporate Services,ICT & Printing,DATA TRACK TECHNOLOGY PLC,2038.98,ICT HARDWARE SUPPORT & MAINTENANCE
2011-05,Corporate Services,ICT & Printing,MAINTEL HOLDINGS PLC,1220.07,EQUIPMENT
2011-05,Corporate Services,ICT & Printing,TALKTALK BUSINESS,950.63,TELEPHONE COSTS
2011-05,Corporate Services,Legal & Democratic,C BRADBURY LTD,870,EQUIPMENT
2011-05,Corporate Services,Legal & Democratic,DURHAM BUSINESSWEAR LTD,1215.6,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Legal & Democratic,H M REVENUE & CUSTOMS,19289.85,Other Supplies & Services
2011-05,Corporate Services,Legal & Democratic,H M REVENUE & CUSTOMS,19289.85,Other Supplies & Services
2011-05,Corporate Services,Legal & Democratic,LEXIS NEXIS,3598,BOOKS
2011-05,Corporate Services,Legal & Democratic,LOCAL GOVERNMENT INFORMATION HOUSE,1450,Other Supplies & Services
2011-05,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1147,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,1489.25,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Legal & Democratic,MICHAEL PAGE INTERNATIONAL,860.25,PROFESSIONAL FEES & CONSULTANCY
2011-05,Corporate Services,Legal & Democratic,NEWCASTLE LOCKSMITHS & SAFE COMPANY,650,FIXTURES AND FITTINGS
2011-05,Corporate Services,Legal & Democratic,NORTHUMBRIAN WATER,2428.45,WATER CHARGES
2011-05,Corporate Services,Legal & Democratic,Q MATIC UK LTD,4521.96,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-05,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1359.66,POSTAGES
2011-05,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,1033.57,POSTAGES
2011-05,Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,7123.69,POSTAGES
2011-05,Corporate Services,Legal & Democratic,SIEMENS ENTERPRISE COMMUNICATIONS LTD,1700,EMPLOYEE TRAINING COURSE COSTS
2011-05,Corporate Services,Legal & Democratic,TNT POST LTD,1353.88,POSTAGES
2011-05,Corporate Services,Legal & Democratic,TNT POST LTD,2048.45,POSTAGES
2011-05,Corporate Services,Legal & Democratic,TNT POST LTD,1320.49,POSTAGES
2011-05,Corporate Services,Legal & Democratic,TNT POST LTD,3247.28,POSTAGES
2011-05,Corporate Services,Legal & Democratic,TNT POST LTD,853.75,POSTAGES
2011-05,Corporate Services,Legal & Democratic,TNT POST LTD,1055.29,POSTAGES
2011-05,Corporate Services,Public Protection,ARAMARK LTD,1145.1,EMPLOYEE TRAINING COURSE COSTS
2011-05,Corporate Services,Public Protection,BRITISH PARKING ASSOCIATION,770,SUBSCRIPTIONS
2011-05,Corporate Services,Public Protection,BRUEL & KJAER (UK) LTD,1301,EQUIPMENT
2011-05,Corporate Services,Public Protection,CRIMINAL RECORDS BUREAU,584,FEES & CHARGES GENERAL (OUTSIDE SCOPE VAT)
2011-05,Corporate Services,Public Protection,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,1030.4,EMPLOYEE TRAINING COURSE COSTS
2011-05,Corporate Services,Public Protection,NORTHUMBRIAN WATER,571.44,WATER CHARGES
2011-05,Corporate Services,Public Protection,NPOWER NORTHERN LTD,1114,ELECTRICITY
2011-05,Corporate Services,Public Protection,NSL LIMITED,3976,SECURITY SERVICES
2011-05,Corporate Services,Public Protection,PATROL,5557.5,Other Supplies & Services
