Date,Directorate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-03,Resources Group,Directorate,CIPFA BUSINESS LIMITED,3079236,7815,Subscriptions
2016-03,Resources Group,Resources,ALPHA RADIO LTD T/ASTAR RADIO,0,536,Marketing & Advertising
2016-03,Resources Group,Resources,CYGNET LAW,3079836,1433.95,Professional Fees & Consultancy
2016-03,Resources Group,Resources,ISAPPHIRE LTD,3079771,575.75,Marketing & Advertising
2016-03,Resources Group,Resources,KANA SOFTWARE IRELAND LIMITED,3078306,40133.99,Ict Software Support & Maintenance
2016-03,Resources Group,Resources,MISS REBECCA STOKES-HERBST,3078908,1825,Professional Fees & Consultancy
2016-03,Resources Group,Resources,NEIL COOKSON,3071632,869.25,Professional Fees & Consultancy
2016-03,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3078640,539.72,Marketing & Advertising
2016-03,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3078640,539.72,Marketing & Advertising
2016-03,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,772.8,Other Supplies & Services
2016-03,Resources Group,Resources,RICHARD MARSHALL ASSOCIATES,3079847,987.2,Professional Fees & Consultancy
2016-03,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1588.91,Postages
2016-03,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1290.05,Postages
2016-03,Resources Group,Resources,TCS MEDIA,3076427,2623,Marketing & Advertising
2016-03,Resources Group,Resources,TWOFOLD LTD,3079264,3835.7,Ict Hardware Purchase
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,1184.6,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,2388.92,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,504.65,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,2261.9,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,2160.89,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,1488.97,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,1135.48,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,1524.7,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,1564.93,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,1278.57,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,1733.12,Postages
2016-03,Resources Group,Resources,WHISTL UK LIMITED,0,3779.22,Postages
2016-03,Resources Group,Finance,CIPFA,3079762,1375,Subscriptions
2016-03,Resources Group,Finance,CIPFA,3080124,12290,Ict Software Support & Maintenance
2016-03,Resources Group,Finance,CIPFA,3078638,500,Books
2016-03,Resources Group,Finance,CIPFA,3078438,3475,Subscriptions
2016-03,Resources Group,Finance,CIPFA BUSINESS LIMITED,0,800,Ict Software Purchase
2016-03,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,1002.21,Security Services
2016-03,Resources Group,Finance,XMA LIMITED,3079490,828,Ict Hardware Purchase
2016-03,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,6602.86,Telephone Costs
2016-03,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,3879.39,Telephone Costs
2016-03,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,1666,Counselling Recharge
2016-03,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,1470,Counselling Recharge
2016-03,Resources Group,Human resources management,BODY 2 FIT LTD,3080080,1600,Physiotherapy Recharge
2016-03,Resources Group,Human resources management,BODY 2 FIT LTD,3080080,1380,Physiotherapy Recharge
2016-03,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,1478,DBS Checks
2016-03,Resources Group,Human resources management,IOSH SERVICES LTD,3079509,1030,Subscriptions
2016-03,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,10008.74,Professional Fees & Consultancy
2016-03,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,9267.86,Professional Fees & Consultancy
2016-03,Resources Group,Human resources management,NORTH EAST REGIONAL EMPLOYERS ORG,3079644,698.4,Employee Training Course Costs
2016-03,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3067590,530,Cyclical - Air Conditioning
