Date,Directorate,Service,Supplier,Invoice Line Value (net of VAT),Account
2010-09,Corporate Services,Accountancy & Local Taxation,AUDIT COMMISSION,1142.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,DATATANK LIMITED,6787.50,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,6204.04,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,6500.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,2960.80,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,1379.60,SECURITY SERVICES
2010-09,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,615.86,SECURITY SERVICES
2010-09,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,1318.76,SECURITY SERVICES
2010-09,Corporate Services,Accountancy & Local Taxation,G4S CASH SOLUTIONS (UK) LTD,615.86,SECURITY SERVICES
2010-09,Corporate Services,Accountancy & Local Taxation,HARTLEPOOL BOROUGH COUNCIL,4608.31,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,HARTLEPOOL BOROUGH COUNCIL,1800.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,HARTLEPOOL BOROUGH COUNCIL,2800.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,HM REVENUE & CUSTOMS,588.77,Other Supplies & Services
2010-09,Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,652.71,ICT SOFTWARE SUPPORT & MAINTENANCE
2010-09,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21330.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21330.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,10513.00,PROFESSIONAL FEES & CONSULTANCY
2010-09,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,2406.11,SECURITY SERVICES
