,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
INSERTED DETAIL,,Balance Sheet,Balance Sheet,BISHOPTON PARISH COUNCIL,11140499,2021-04-06,9206.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,HEIGHINGTON PARISH COUNCIL,11140500,2021-04-06,20700.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,HIGH CONISCLIFFE PARISH COUNCIL,11140501,2021-04-06,6000.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,HURWORTH PARISH COUNCIL,11140502,2021-04-06,59000.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55472305,2021-04-15,4319.00,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,LINK ASSET SERVICES,55471353,2021-03-02,15500.00,Brokerage - Long Term Loans,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,LOW CONISCLIFFE & MERRYBENT PARISH COUN,11140503,2021-04-06,10080.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,MIDDLETON ST GEORGE PARISH COUNCIL,11140504,2021-04-06,48390.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NEASHAM PARISH COUNCIL,11140505,2021-04-06,8034.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55472293,2021-04-07,1689.50,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55472294,2021-04-07,1634.13,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PIERCEBRIDGE PARISH COUNCIL,11140506,2021-04-06,1512.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,RIDER INDUSTRIAL & SPECIALIST CLEANING,55472175,2021-04-04,640,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,RIDER INDUSTRIAL & SPECIALIST CLEANING,55472175,2021-04-04,640,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,SADBERGE PARISH COUNCIL,11140507,2021-04-06,14500.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,WHESSOE PARISH COUNCIL,11140508,2021-04-06,5650.00,Parish Precepts,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,ZURICH INSURANCE COMPANY,55471485,2021-03-31,4009.50,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,ZURICH MUNICPAL,55471359,2021-03-31,27361.74,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,DTA CONSULTING ENGINEERS LLP,55470732,2021-03-22,1003.27,Consultants - Other,Capital Expenditure,Capital Fees
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,WEST END LANDSCAPING,1101338,2021-03-30,510,"Dfc - New Const, Conver & Renovation",Capital Expenditure,Capital Construction
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,ABACUS HEALTHCARE,11140912,2021-04-07,2520.62,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS ARCHITECTS LTD,55472991,2021-04-26,744,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11142035,2021-04-30,3880.00,Capital Grants,Capital Expenditure,Capital Other
