Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11123155,2019-07-03,17099.33,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HALFORDS,55416053,2019-06-05,7500.00,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,HMCTS WEST YORKSHIRE,11123152,2019-07-03,590.76,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55417042,2019-07-16,9242.75,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,NHS PENSIONS,11123121,2019-07-03,3772.46,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11123117,2019-07-03,19347.85,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11123120,2019-07-03,1480.86,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11123159,2019-07-03,1520.86,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,STANDARD LIFE,11123160,2019-07-03,1520.86,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNISON L04007,11123158,2019-07-03,5991.88,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,UNITE,11123156,2019-07-03,524.8,General Debits,NON-BUDGETED,NON BUDGETED
Balance Sheet,Balance Sheet,ZURICH INSURANCE COMPANY,55416333,2019-06-29,4511.30,General Debits,NON-BUDGETED,NON BUDGETED
CHILDREN'S SERVICES,EDUCATION,TINTFIT WINDOW FILMS,1094293,2019-05-29,2260.00,"Dfc - New Const, Conver & Renovation",Capital Expenditure,Capital Construction
