Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,549.19,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,571.15,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,576.26,Agency Staff Costs - Non Teaching
Resources Group,Resources,F C PARRY,3046938,971.35,Equipment
Resources Group,Resources,GAZETTE MEDIA COMPANY,3056013,654,Marketing & Advertising
Resources Group,Resources,ISAPPHIRE LTD,3057628,544.7,Marketing & Advertising
Resources Group,Resources,MERCEDES BENZ OF TEESSIDE,3055731,797.02,R&M (Vehicles)
Resources Group,Resources,NEIL COOKSON,3035690,963.25,Consultancy Fees
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3052321,562.63,Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,809.6,Other Supplies & Services
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,1154.60,Other Supplies & Services
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1680.56,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,4716.22,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,666.28,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1511.22,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,724.99,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,3779.43,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,560.62,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1866.52,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,3724.26,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,989.71,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,568.13,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1149.98,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,607.53,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,3501.20,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1321.49,Postages
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3046466,5290.00,Professional Fees & Consultancy
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,958.17,Security Services
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,990.85,Security Services
Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,9128.96,Telephone Costs
Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,9755.68,Telephone Costs
Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,2882.42,Telephone Costs
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,1250.00,Counselling Recharge
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,750,Counselling Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1200.00,Physiotherapy Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1500.00,Physiotherapy Recharge
Resources Group,Human resources management,BOND DICKINSON,3051100,17766.50,Professional Fees & Consultancy
Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,3784.00,DBS Checks
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,8318.53,Professional Fees & Consultancy
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,8139.65,Professional Fees & Consultancy
Resources Group,Human resources management,NORTHGATE INFORMATION SOLUTIONS,3055854,4171.00,Professional Fees & Consultancy
Resources Group,Human resources management,P & A MEDICAL LTD,3055600,709,Medical
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3050308,1451.73,Cyclical - Fire Alarms
Resources Group,Transformation,BARR & WRAY LTD,3055184,2242.57,Repairs - Electrical
Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
Resources Group,Transformation,CIPFA,3056248,895,Professional Fees & Consultancy
Resources Group,Transformation,CLEARWATER TECHNOLOGY LTD,3052538,580,Repairs - Legionella Remedial
Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2408.01,Electricity
Resources Group,Transformation,CORONA ENERGY LTD,0,4538.95,Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,22587.65,Gas
Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3056704,650,Repairs - Building Fabric
Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3055995,715,Repairs - Building Fabric
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3054305,800,Cyclical - Fire Alarms
Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3055742,645,Alterations & Improvements - Decoration
Resources Group,Transformation,MULTICORD,0,528,Equipment Hire
Resources Group,Transformation,NORTHERN STEEPLEJACKS (EDINBURGH) LTD,3055750,1795.00,Repairs - Building Fabric
Resources Group,Transformation,NORTHUMBRIAN WATER,0,653.69,Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,2389.38,Water Charges
