Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2015-10,Resources Group,Resources,ADARE LIMITED,3071288,1876.55,Stationery
2015-10,Resources Group,Resources,ADARE LIMITED,3071288,2600.44,Stationery
2015-10,Resources Group,Resources,ELECTORAL REFORM SERVICES,3074500,2615.96,Ict Consumables
2015-10,Resources Group,Resources,ELIZABETH CALLAGHAN,3074490,650,Professional Fees & Consultancy
2015-10,Resources Group,Resources,KOMODO DESIGN LTD,3074051,811.43,Marketing & Advertising
2015-10,Resources Group,Resources,LGA CONFERENCE,3065684,1485,Conferences & Seminars
2015-10,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1531.25,Agency Staff Costs - Non Teaching
2015-10,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1408.75,Agency Staff Costs - Non Teaching
2015-10,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1522.5,Agency Staff Costs - Non Teaching
2015-10,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1400,Agency Staff Costs - Non Teaching
2015-10,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1557.5,Agency Staff Costs - Non Teaching
2015-10,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1566.25,Agency Staff Costs - Non Teaching
2015-10,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1601.25,Agency Staff Costs - Non Teaching
2015-10,Resources Group,Resources,NEIL COOKSON,3071632,527,Professional Fees & Consultancy
2015-10,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3061271,524,Marketing & Advertising
2015-10,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3066389,524,Marketing & Advertising
2015-10,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,846.4,Other Supplies & Services
2015-10,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,1150,Other Supplies & Services
2015-10,Resources Group,Resources,OSBORNES SOLICITORS LLP,3074510,525,Professional Fees & Consultancy
2015-10,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3073696,880,Marketing & Advertising
2015-10,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1351.91,Postages
2015-10,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1191.74,Postages
2015-10,Resources Group,Resources,TURKINGTON PSYCHIATRY LIMITED,3073199,1620,Professional Fees & Consultancy
2015-10,Resources Group,Resources,WHISTL UK LIMITED,0,1824.15,Postages
2015-10,Resources Group,Resources,WHISTL UK LIMITED,0,1574.93,Postages
2015-10,Resources Group,Resources,WHISTL UK LIMITED,0,1901.48,Postages
2015-10,Resources Group,Resources,WHISTL UK LIMITED,0,1982.44,Postages
2015-10,Resources Group,Resources,WHISTL UK LIMITED,0,2096.26,Postages
2015-10,Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,3073560,16416,Ict Software Purchase
2015-10,Resources Group,ICT,CISILION LTD,3072097,6198.4,Ict Hardware Purchase
2015-10,Resources Group,ICT,CISILION LTD,3072097,8313.78,Ict Hardware Purchase
2015-10,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,6794.54,Telephone Costs
2015-10,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,3983.53,Telephone Costs
2015-10,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,882,Counselling Recharge
2015-10,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,2520,Physiotherapy Recharge
2015-10,Resources Group,Human resources management,BOND DICKINSON,3065636,2937.5,Professional Fees & Consultancy
