Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-06,Corporate Services,Accountancy & Local Taxation,ADRIAN NASH,750,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-06,Corporate Services,Accountancy & Local Taxation,CIPFA,695,ICT SOFTWARE PURCHASE
2011-06,Corporate Services,Accountancy & Local Taxation,INST OF REVENUES RATING & VALUATIOn,3375,EMPLOYEE TRAINING COURSE COSTS
2011-06,Corporate Services,Accountancy & Local Taxation,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,607.93,ADVERTISING
2011-06,Corporate Services,Accountancy & Local Taxation,NORTHGATE INFORMATION SOLUTIONS,4000,PROFESSIONAL FEES & CONSULTANCY
2011-06,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,21760,PROFESSIONAL FEES & CONSULTANCY
2011-06,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,565.45,SECURITY SERVICES
2011-06,Corporate Services,Accountancy & Local Taxation,SECURICOR CASH SERVICES LTD,1379.59,SECURITY SERVICES
2011-06,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1166.5,STATIONERY
2011-06,Corporate Services,Accountancy & Local Taxation,VALUATION OFFICE AGENCY,2230,PROFESSIONAL FEES & CONSULTANCY
2011-06,Corporate Services,Corporate Services,BRITISH GAS TRADING LIMITED (ELECTRICITY,17404.06,GAS
2011-06,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,LEASING CHARGES
2011-06,Corporate Services,Corporate Services,CIPFA,1232.04,EMPLOYEE TRAINING COURSE COSTS
2011-06,Corporate Services,Corporate Services,CLASSIC SIGNS LTD,1011.4,BUILDING REPAIRS AND MAINTENANCE
2011-06,Corporate Services,Corporate Services,CORONA ENERGY LTD,2514.3,GAS
2011-06,Corporate Services,Corporate Services,CORONA ENERGY LTD,42402.02,GAS
2011-06,Corporate Services,Corporate Services,CPL SYSTEMS LTD,2880,PROFESSIONAL FEES & CONSULTANCY
2011-06,Corporate Services,Corporate Services,EVERYTHING EVERYWHERE LIMITED,780,TELEPHONE COSTS
