Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2012-05,Resources Group,Directorate,INSTITUTE OF PUBLIC FINANCE LTD,4025,SUBSCRIPTIONS
2012-05,Resources Group,Resources,ASSOCIATION OF NORTH EAST COUNCILS LTD,30156,SUBSCRIPTIONS
2012-05,Resources Group,Resources,CDC RESPOND,2396.65,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-05,Resources Group,Resources,CHRYSTAL CONSULTING,5150,LEASING CHARGES
2012-05,Resources Group,Resources,F G MARSHALL LTD,705.8,STATIONERY
2012-05,Resources Group,Resources,IDOX SOFTWARE LTD,36437.97,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-05,Resources Group,Resources,IDOX SOFTWARE LTD,2375,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-05,Resources Group,Resources,KONICA MINOLTA BUSINESS SOLUTIONS EAST LTD,1414.2,PHOTOCOPY CHARGES
2012-05,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,21290.17,SUBSCRIPTIONS
2012-05,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,850.3,PROFESSIONAL FEES & CONSULTANCY
2012-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1056,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1328,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1176,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1160,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Resources,MULTICORD,528,FIXTURES AND FITTINGS
2012-05,Resources Group,Resources,NEIL COOKSON,1898.75,CONSULTANCY FEES
2012-05,Resources Group,Resources,NEIL COOKSON,1790.75,CONSULTANCY FEES
2012-05,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1388.24,MARKETING & ADVERTISING
2012-05,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1210,MARKETING & ADVERTISING
2012-05,Resources Group,Resources,NORTH EAST REGIONAL EMPLOYERS ORG,15680,SUBSCRIPTIONS
2012-05,Resources Group,Resources,NORTHUMBRIAN WATER,2351.95,WATER CHARGES
2012-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,3541.34,POSTAGES
2012-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,1712.92,POSTAGES
2012-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,1797.9,POSTAGES
2012-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,591.81,POSTAGES
2012-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,1000,POSTAGES
2012-05,Resources Group,Resources,SIEMENS ENTERPRISE COMMUNICATIONS LTD,3275.6,ICT HARDWARE PURCHASE
2012-05,Resources Group,Resources,SUCCESSFUL SPEECHES,520,EMPLOYEE TRAINING COURSE COSTS
2012-05,Resources Group,Resources,SWEET & MAXWELL LTD,7773.44,SUBSCRIPTIONS
2012-05,Resources Group,Resources,THE DOCUMENT MANAGEMENT GROUP,575,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-05,Resources Group,Resources,TNT POST LTD,2158.54,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,2618.12,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,841.25,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,576.04,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,1828.4,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,503.29,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,1477.39,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,1420.03,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,1536.2,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,2810,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,1391.36,POSTAGES
2012-05,Resources Group,Resources,TNT POST LTD,2148.66,POSTAGES
2012-05,Resources Group,Resources,WATERSTONS,1785,INTERNET COSTS
2012-05,Resources Group,Resources,WATERSTONS,3850,INTERNET COSTS
2012-05,Resources Group,Resources,WATERSTONS,4400,ICT HARDWARE SUPPORT & MAINTENANCE
2012-05,Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,11220,ICT HARDWARE PURCHASE
2012-05,Resources Group,Finance,EDEN BROWN,667.2,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Finance,EDEN BROWN,654.4,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Finance,EDEN BROWN,516,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Finance,EDEN BROWN,607.7,AGENCY STAFF COSTS - NON TEACHING
2012-05,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1290,ICT HARDWARE SUPPORT & MAINTENANCE
2012-05,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1290,PROFESSIONAL FEES & CONSULTANCY
2012-05,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,2292.54,ICT HARDWARE SUPPORT & MAINTENANCE
2012-05,Resources Group,Finance,PRICE WATERHOUSE COOPERS,20547,PROFESSIONAL FEES & CONSULTANCY
2012-05,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1327.44,SECURITY SERVICES
2012-05,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,579.38,TELEPHONE COSTS
2012-05,Resources Group,ICT,DAISY COMMUNICATIONS LTD,10440.69,TELEPHONE COSTS
2012-05,Resources Group,ICT,EUROPEAN ELECTRONIQUE,27447.49,ICT HARDWARE PURCHASE
2012-05,Resources Group,ICT,EUROPEAN ELECTRONIQUE,30056.1,ICT HARDWARE PURCHASE
2012-05,Resources Group,ICT,EUROPEAN ELECTRONIQUE,27924.12,ICT HARDWARE PURCHASE
