Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2015-03,Resources Group,Directorate,CIPFA,3064383,7570,Subscriptions
2015-03,Resources Group,Resources,ADARE LIMITED,3061161,2521.14,Stationery
2015-03,Resources Group,Resources,COMMUNICORP UK,3062738,950,Marketing & Advertising
2015-03,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,569.82,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,593.56,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,601.92,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,597.74,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,526.68,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,GLOBAL RADIO SERVICES LTD,3064511,2400,Marketing & Advertising
2015-03,Resources Group,Resources,IDOX SOFTWARE LTD,3062815,1425,Consultancy Fees
2015-03,Resources Group,Resources,ISAPPHIRE LTD,3063768,529.35,Marketing & Advertising
2015-03,Resources Group,Resources,ISAPPHIRE LTD,3065067,895,Marketing & Advertising
2015-03,Resources Group,Resources,KANA,3063945,40133.99,Ict Software Support & Maintenance
2015-03,Resources Group,Resources,KATE DODDS,3065573,1000,Professional Fees & Consultancy
2015-03,Resources Group,Resources,KOMODO DESIGN LTD,3064251,893.69,Marketing & Advertising
2015-03,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3063588,512,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1522.5,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1522.5,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1435,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1391.25,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1478.75,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1478.75,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Resources,MISS SARAH GREENAN,3064201,740,Professional Fees & Consultancy
2015-03,Resources Group,Resources,MR GERALD BROWNE,3063997,950,Professional Fees & Consultancy
2015-03,Resources Group,Resources,MR STEPHEN AINSLEY,3063993,1350,Professional Fees & Consultancy
2015-03,Resources Group,Resources,MRS ELAINE AVERIS,3064195,800,Professional Fees & Consultancy
2015-03,Resources Group,Resources,MRS GILLIAN KANE,3065593,650,Professional Fees & Consultancy
2015-03,Resources Group,Resources,NEIL COOKSON,3035690,1044.25,Consultancy Fees
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,2091.39,Marketing & Advertising
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3064515,745.34,Marketing & Advertising
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,524,Marketing & Advertising
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,524,Marketing & Advertising
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,786,Marketing & Advertising
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,524,Marketing & Advertising
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3060108,694.23,Advertising
2015-03,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,786,Marketing & Advertising
2015-03,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,542.8,Other Supplies & Services
2015-03,Resources Group,Resources,OCTAGON LEGAL,3064203,700,Professional Fees & Consultancy
2015-03,Resources Group,Resources,PHILIP CORDERY,3064198,1350,Professional Fees & Consultancy
2015-03,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3063281,1190,Marketing & Advertising
2015-03,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1106.06,Postages
2015-03,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,978.8,Postages
2015-03,Resources Group,Resources,SHAW AND SONS LTD,3062059,1000,Other Supplies & Services
2015-03,Resources Group,Resources,SHAW AND SONS LTD,3061952,1394.4,Other Supplies & Services
2015-03,Resources Group,Resources,SUPPLIES TEAM,3063963,1140,Stationery
2015-03,Resources Group,Resources,TCS MEDIA,0,1600,Marketing & Advertising
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,2957.74,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,1776.82,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,587.54,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,928.4,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,514.09,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,8738.27,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,2564.64,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,2838.75,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,2298.26,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,758.18,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,2936.78,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,1061.87,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,2546.16,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,1377.33,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,1261.93,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,2273.3,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,1435.24,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,4336.43,Postages
2015-03,Resources Group,Resources,WHISTL UK LIMITED,0,1428.92,Postages
2015-03,Resources Group,Finance,CIPFA,3064942,775,Ict Software Purchase
2015-03,Resources Group,Finance,CIPFA,3064717,1770,Employee Training Course Costs
2015-03,Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,3064266,1500,Ict Software Purchase
2015-03,Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,13561,Professional Fees & Consultancy
2015-03,Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,13561,Professional Fees & Consultancy
2015-03,Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,3000,Professional Fees & Consultancy
2015-03,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.44,Security Services
2015-03,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,569,Telephone Costs
2015-03,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,8647.13,Telephone Costs
2015-03,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,4243.88,Telephone Costs
2015-03,Resources Group,Human resources management,ACAS,3062646,520,Employee Training Course Costs
2015-03,Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1400,Physiotherapy Recharge
2015-03,Resources Group,Human resources management,BOND DICKINSON,3051099,937.5,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,BOND DICKINSON,3051100,5755,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,BOND DICKINSON,3051100,3062,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,BOND DICKINSON,3051100,2818,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,BOND DICKINSON,3051100,5037.5,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,COMPUTERS IN PERSONNEL,3065290,4750,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,8139.65,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,8139.65,Professional Fees & Consultancy
2015-03,Resources Group,Human resources management,POSTURITE (UK) LTD,3063234,1690,Subscriptions
2015-03,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3055659,520,Cyclical - Air Conditioning
2015-03,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3063647,587.36,Cyclical - Air Conditioning
2015-03,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3063762,891,Repairs - Mechanical
2015-03,Resources Group,Transformation,ALFRED BAGNALL & SONS (NORTH EAST )  LTD,3064368,1597,Repairs - Building Fabric
2015-03,Resources Group,Transformation,ALU-FIX,3060111,1150,Repairs - Building Fabric
2015-03,Resources Group,Transformation,AQUAJET DRAIN CLEANING,3063850,3450,Repairs - Building Fabric
2015-03,Resources Group,Transformation,AQUAJET DRAIN CLEANING,3059479,1800,Repairs - Building Fabric
2015-03,Resources Group,Transformation,BISHOP AUCKLAND GLAZING CO LTD,3064369,1336.05,Repairs - Door Entry System
2015-03,Resources Group,Transformation,BISHOP AUCKLAND GLAZING CO LTD,3064292,1285.13,Repairs - Door Entry System
2015-03,Resources Group,Transformation,CARPETTIME LIMITED,3064370,726,Repairs - Building Fabric
2015-03,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2211.56,Electricity
2015-03,Resources Group,Transformation,CONTRACT FLOORING SERVICES (NE) LTD,0,525.52,Repairs - Building Fabric
2015-03,Resources Group,Transformation,CONTRACT FLOORING SERVICES (NE) LTD,3062859,859.95,Repairs - Building Fabric
2015-03,Resources Group,Transformation,CORONA ENERGY LTD,0,2397.34,Gas
2015-03,Resources Group,Transformation,CORONA ENERGY LTD,0,69627.32,Gas
2015-03,Resources Group,Transformation,CROSSLING LTD,3062648,2600,Repairs - Mechanical
2015-03,Resources Group,Transformation,CROSSLING LTD,3063111,568.16,Repairs - Mechanical
2015-03,Resources Group,Transformation,DAMP SHIELD,3061968,1491,Repairs - Building Fabric
2015-03,Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3062809,645,Repairs - Building Fabric
2015-03,Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3064098,1625,Repairs - Building Fabric
2015-03,Resources Group,Transformation,DURHAM COUNTY COUNCIL,3063508,795.43,Repairs - Lifts
2015-03,Resources Group,Transformation,ELDERS WALKER GLASS LTD,3061995,2010.36,Repairs - Building Fabric
2015-03,Resources Group,Transformation,ELDERS WALKER GLASS LTD,3061995,1500.84,Repairs - Building Fabric
2015-03,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3064147,710,Cyclical - Fire Alarms
2015-03,Resources Group,Transformation,FRANCIS CONSTRUCTION,3064444,1200,Repairs - Building Fabric
2015-03,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3063585,796.63,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3063585,796.63,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Transformation,HAYS SPECIALIST SERVICES,3063585,796.63,Agency Staff Costs - Non Teaching
2015-03,Resources Group,Transformation,JEWSON LTD,3063455,1572.72,Repairs - Mechanical
2015-03,Resources Group,Transformation,LORD TECHNICAL LTD,3061942,746.18,Equipment
2015-03,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3062873,1450,Repairs - Building Fabric
2015-03,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3063925,4244,Repairs - Building Fabric
2015-03,Resources Group,Transformation,MULTICORD,3063857,528,Building Repairs And Maintenance
2015-03,Resources Group,Transformation,MULTICORD,3063858,528,Building Repairs And Maintenance
2015-03,Resources Group,Transformation,MULTICORD,3062685,528,Building Repairs And Maintenance
2015-03,Resources Group,Transformation,NES SERVICES LTD,3064820,1232.7,Security Services
2015-03,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1984.1,Water Charges
2015-03,Resources Group,Transformation,NORTHUMBRIAN WATER,0,3823.4,Water Charges
2015-03,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2448.21,Water Charges
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,44870.26,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1416.18,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1970.74,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,5479.66,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1739.31,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3053.08,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,782.75,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3359.26,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1015.4,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1266.6,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,831.55,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1033.53,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN LTD,0,700,Electricity
2015-03,Resources Group,Transformation,NPOWER NORTHERN LTD,0,700,Electricity
2015-03,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3064939,1037.4,Equipment
2015-03,Resources Group,Transformation,SCREENTECH,3063247,784.15,Ppe Clothing & Equipment
2015-03,Resources Group,Transformation,SUPPLIES TEAM,3064597,506.8,Stationery
2015-03,Resources Group,Transformation,T P S BOILER SPARES,3059858,5333.65,Repairs - Mechanical
2015-03,Resources Group,Transformation,T P S BOILER SPARES,3063604,860,Repairs - Mechanical
2015-03,Resources Group,Transformation,T.A PLASTIC SUPPLIES,3064636,1388.44,Repairs - Mechanical
2015-03,Resources Group,Transformation,TT ELECMECH LIMITED,3065273,579,Repairs - Electrical
2015-03,Resources Group,Transformation,UPNORTH ENGINEERING SERVICES LTD,3060170,3220.4,Equipment
2015-03,Resources Group,Transformation,WESTWOOD TIMBER & FENCING,3062577,600,Ground Maintenance
2015-03,Resources Group,Transformation,YESSS ELECTRICAL,3063391,709.55,Repairs - Emergency Lighting
2015-03,Resources Group,Transformation,YESSS ELECTRICAL,3062007,535.55,Repairs - Emergency Lighting
2015-03,Resources Group,Transformation,YESSS ELECTRICAL,3063230,859,Repairs - Electrical
2015-03,Resources Group,Transformation,YESSS ELECTRICAL,3063606,899.88,Alterations & Improvements - Electrical
2015-03,Resources Group,Transformation,YESSS ELECTRICAL,3064582,889.8,Repairs - Electrical
2015-03,Resources Group,DLO Services,NUMATIC INTERNATIONAL LTD.,3064884,1973.25,Other Consumables
