,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,AMG CONSULTANCY SERVICES LTD,883.59,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,BAUER RADIO LTD,1199.96,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BAUER RADIO LTD,3000.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),562.20,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),557.20,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),546.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),650.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),764.40,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),1774.50,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),500.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),1314.35,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),607.70,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),1082.15,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,COMPRIL LIMITED,657.50,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,DR PETER MORRELL,868.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,DR URSULA CAWTHORNE,702.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,FLOWERS BY NATTRASS,540.00,MATERIALS
INSERTED DETAIL,,Resources Group,Resources,GEOWISE LIMITED,750.00,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,2175.00,EQUIPMENT
INSERTED DETAIL,,Resources Group,Resources,iCASEWORK LTD,1275.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Resources,INTERNATIONAL TRANSLATIONS LTD,1267.28,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,1202.07,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,1238.71,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,719.00,MARKETING & ADVERTISING
