Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-11,Resources Group,Resources,ACORN WEB OFFSET LTD,1000,MARKETING & ADVERTISING
2011-11,Resources Group,Resources,ADT FIRE & SECURITY PLC,938.82,Cyclical - Intruder Alarms
2011-11,Resources Group,Resources,ELECTORAL REFORM SERVICES,701.68,PRINTING
2011-11,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,798.45,Responsive Repairs (General)
2011-11,Resources Group,Resources,JOHN GOOD LTD,683,PRINTING
2011-11,Resources Group,Resources,LEAFLET DISTRIBUTION SERVICES LIMITED,4319.64,MARKETING & ADVERTISING
2011-11,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1757.5,AGENCY STAFF COSTS - NON TEACHING
2011-11,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1433.75,AGENCY STAFF COSTS - NON TEACHING
2011-11,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1813,AGENCY STAFF COSTS - NON TEACHING
2011-11,Resources Group,Resources,NEIL COOKSON,2014,CONSULTANCY FEES
2011-11,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,524.48,ADVERTISING
2011-11,Resources Group,Resources,NORTHUMBRIAN WATER,3526.42,WATER CHARGES
2011-11,Resources Group,Resources,QUOIN,2000,MARKETING & ADVERTISING
2011-11,Resources Group,Resources,ROYAL MAIL,792.08,POSTAGES
2011-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1189.14,POSTAGES
2011-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1793.32,POSTAGES
2011-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1120.67,POSTAGES
2011-11,Resources Group,Resources,SWEET & MAXWELL LTD,663,BOOKS
2011-11,Resources Group,Resources,SWEET & MAXWELL LTD,1629,BOOKS
2011-11,Resources Group,Resources,THOMSON REUTERS,632,BOOKS
2011-11,Resources Group,Resources,THOMSON REUTERS,632,BOOKS
2011-11,Resources Group,Resources,TNT (UK) LTD,1512.74,POSTAGES
2011-11,Resources Group,Resources,TNT POST LTD,3467.66,POSTAGES
2011-11,Resources Group,Resources,TNT POST LTD,536.73,POSTAGES
2011-11,Resources Group,Resources,TNT POST LTD,631.36,POSTAGES
2011-11,Resources Group,Resources,TNT POST LTD,2295.37,POSTAGES
2011-11,Resources Group,Resources,TNT POST LTD,2230.85,POSTAGES
2011-11,Resources Group,Resources,VIGLEN LTD,626.2,EQUIPMENT
2011-11,Resources Group,Resources,WATERSTONS,1785,ICT HARDWARE PURCHASE
2011-11,Resources Group,Resources,WATERSTONS,1785,INTERNET COSTS
2011-11,Resources Group,Finance,INTELCO LTD,6565,INTERNET COSTS
2011-11,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1290,EQUIPMENT
2011-11,Resources Group,Finance,MORGAN KAI LIMITED,2468.39,ICT SOFTWARE PURCHASE
2011-11,Resources Group,Finance,PRICE WATERHOUSE COOPERS,8989.8,PROFESSIONAL FEES & CONSULTANCY
2011-11,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1440.42,SECURITY SERVICES
2011-11,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1440.42,SECURITY SERVICES
2011-11,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,2891.95,TELEPHONE COSTS
2011-11,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,20728.08,TELEPHONE COSTS
2011-11,Resources Group,ICT,INSIGHT DIRECT (UK) LTD,2236,ICT HARDWARE PURCHASE
2011-11,Resources Group,ICT,MDNX ENTERPRISE SERVICES LTD,1290,TELEPHONE COSTS
2011-11,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,800,TELEPHONE COSTS
2011-11,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1550,COUNSELLING RECHARGE
2011-11,Resources Group,Human resources management,BODY 2 FIT LTD,1900,PHYSIOTHERAPY RECHARGE
2011-11,Resources Group,Human resources management,COREPEOPLE RECRUITMENT LTD,711.88,AGENCY STAFF COSTS - NON TEACHING
2011-11,Resources Group,Human resources management,COREPEOPLE RECRUITMENT LTD,644.54,AGENCY STAFF COSTS - NON TEACHING
2011-11,Resources Group,Human resources management,CRIMINAL RECORDS BUREAU,5402,CRB CHECKS
2011-11,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,1975.2,PROFESSIONAL FEES & CONSULTANCY
2011-11,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,8502.84,PROFESSIONAL FEES & CONSULTANCY
2011-11,Resources Group,Human resources management,SYD STRIKE TRAINING SOLUTIONS,700,EMPLOYEE TRAINING COURSE COSTS
2011-11,Resources Group,Transformation,CORONA ENERGY LTD,83406.88,GAS
2011-11,Resources Group,Transformation,CORONA ENERGY LTD,17125.42,GAS
2011-11,Resources Group,Transformation,CORONA ENERGY LTD,10527.54,GAS
2011-11,Resources Group,Transformation,CORONA ENERGY LTD,20705.73,GAS
2011-11,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,541.19,Repairs - Intruder Alarms
2011-11,Resources Group,Transformation,NEIL WHELPTON ASSOCIATES LTD,4250,RENT OF FACILITIES
2011-11,Resources Group,Transformation,NORTHUMBRIAN WATER,1528.54,WATER CHARGES
2011-11,Resources Group,Transformation,NPOWER NORTHERN FINANCE,907.53,ELECTRICITY
2011-11,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5672.28,ELECTRICITY
2011-11,Resources Group,Transformation,NPOWER NORTHERN FINANCE,589.28,ELECTRICITY
2011-11,Resources Group,Transformation,NPOWER NORTHERN FINANCE,52589.89,ELECTRICITY
2011-11,Resources Group,Transformation,NPOWER NORTHERN FINANCE,690.35,ELECTRICITY
2011-11,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,2658,REMOVAL COSTS - STAFF MOVES
2011-11,Resources Group,Transformation,V4 SERVICES LIMITED,2200,CONSULTANCY FEES
2011-11,Resources Group,Transformation,VIRGIN MEDIA BUSINESS LIMITED,4728.45,TELEPHONE COSTS
