Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2012-04,Resources Group,Resources,ESRI (UK) LTD,17050,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-04,Resources Group,Resources,LOCAL GOVERNMENT IMPROVEMENT & DEVELOPMENT,1450,MEMBERSHIPS
2012-04,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1168,AGENCY STAFF COSTS - NON TEACHING
2012-04,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1280,AGENCY STAFF COSTS - NON TEACHING
2012-04,Resources Group,Resources,ROYAL MAIL,1849.07,POSTAGES
2012-04,Resources Group,Resources,ROYAL MAIL NORTH EAST,1946.7,POSTAGES
2012-04,Resources Group,Resources,ROYAL MAIL NORTH EAST,522.91,POSTAGES
2012-04,Resources Group,Resources,TNT POST LTD,2098.38,POSTAGES
2012-04,Resources Group,Resources,TNT POST LTD,1941.97,POSTAGES
2012-04,Resources Group,Resources,TNT POST LTD,1214.95,POSTAGES
2012-04,Resources Group,Resources,TNT POST LTD,1474.2,POSTAGES
2012-04,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1327.45,SECURITY SERVICES
2012-04,Resources Group,ICT,DAISY COMMUNICATIONS LTD,10775.87,TELEPHONE COSTS
2012-04,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1550,COUNSELLING RECHARGE
2012-04,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1700,COUNSELLING RECHARGE
2012-04,Resources Group,Human resources management,BODY 2 FIT LTD,2120,PHYSIOTHERAPY RECHARGE
2012-04,Resources Group,Human resources management,BODY 2 FIT LTD,2280,PHYSIOTHERAPY RECHARGE
2012-04,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,8497.41,PROFESSIONAL FEES & CONSULTANCY
2012-04,Resources Group,Human resources management,REED BUSINESS INFORMATION LTD,1750,ICT SOFTWARE PURCHASE
2012-04,Resources Group,Human resources management,SKILLGATE LTD,1040.95,EMPLOYEE TRAINING COURSE COSTS
2012-04,Resources Group,Transformation,ADT FIRE & SECURITY PLC,958.54,Cyclical - Intruder Alarms
2012-04,Resources Group,Transformation,ADT FIRE & SECURITY PLC,796.77,Cyclical - Fire Alarms
2012-04,Resources Group,Transformation,ADT FIRE & SECURITY PLC,866.45,Cyclical - Intruder Alarms
2012-04,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1215.79,Repairs - Door Entry System
2012-04,Resources Group,Transformation,CORONA ENERGY LTD,1861.04,GAS
2012-04,Resources Group,Transformation,CORONA ENERGY LTD,76958.34,GAS
2012-04,Resources Group,Transformation,CORONA ENERGY LTD,1377.7,GAS
2012-04,Resources Group,Transformation,CORONA ENERGY LTD,156632.2,GAS
2012-04,Resources Group,Transformation,NORTHUMBRIAN WATER,2185.73,WATER CHARGES
2012-04,Resources Group,Transformation,NORTHUMBRIAN WATER,515.94,WATER CHARGES
2012-04,Resources Group,Transformation,NORTHUMBRIAN WATER,3082.75,WATER CHARGES
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5424.69,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,3848.81,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,8572.02,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1258.78,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,806.08,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1028.74,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,813.17,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1014.4,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,10718.46,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,3664.87,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,47896.04,ELECTRICITY
2012-04,Resources Group,Transformation,NPOWER NORTHERN FINANCE,662.25,ELECTRICITY
2012-04,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,1250.2,REMOVAL COSTS - STAFF MOVES
2012-04,Resources Group,Transformation,STOREYS:SSP,657.17,ELECTRICITY
2012-04,Resources Group,Transformation,VIRGIN MEDIA BUSINESS LIMITED,1739.98,TELEPHONE COSTS
2012-04,Resources Group,Transformation,WESTERN POWER DISTRIBUTION,830.25,ELECTRICITY
2012-04,Place,Building Design Services,URS SCOTT WILSON LTD,6129.03,AGENCY STAFF COSTS - NON TEACHING
