Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2015-05,Resources Group,Resources,ADARE LIMITED,3061161,17732.85,Stationery
2015-05,Resources Group,Resources,DE-POEL,0,504.54,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,DE-POEL,0,558.06,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,DE-POEL,0,530.55,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,DE-POEL,0,509.87,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,DE-POEL,0,651.45,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,DE-POEL,0,500.09,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,DR STEPHANIE HILL,3066023,600.82,Professional Fees & Consultancy
2015-05,Resources Group,Resources,F C PARRY,3061840,1165,Equipment
2015-05,Resources Group,Resources,GAZETTE MEDIA COMPANY,3066063,650,Marketing & Advertising
2015-05,Resources Group,Resources,IDOX SOFTWARE LTD,3062815,1425,Consultancy Fees
2015-05,Resources Group,Resources,KOMODO DESIGN LTD,3067626,739.19,Marketing & Advertising
2015-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1470,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3067564,976,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1085,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1435,Agency Staff Costs - Non Teaching
2015-05,Resources Group,Resources,MISS NAFEESA CHOUDHURY,3068046,1400,Professional Fees & Consultancy
2015-05,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3064515,872,Marketing & Advertising
2015-05,Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,3066781,1330,Marketing & Advertising
2015-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1843.16,Postages
2015-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,7720.8,Postages
2015-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1068.26,Postages
2015-05,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1282.39,Postages
2015-05,Resources Group,Resources,WHISTL UK LIMITED,0,1261.84,Postages
2015-05,Resources Group,Resources,WHISTL UK LIMITED,0,3045.19,Postages
2015-05,Resources Group,Resources,WHISTL UK LIMITED,0,3724.73,Postages
2015-05,Resources Group,Resources,WHISTL UK LIMITED,0,791.79,Postages
2015-05,Resources Group,Resources,WHISTL UK LIMITED,0,2687.2,Postages
2015-05,Resources Group,Resources,WHISTL UK LIMITED,0,650.58,Postages
2015-05,Resources Group,Resources,WHISTL UK LIMITED,0,828.19,Postages
2015-05,Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,13561,Professional Fees & Consultancy
2015-05,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.44,Security Services
2015-05,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,8502.2,Telephone Costs
2015-05,Resources Group,ICT,VODAFONE,3065313,2730.01,Ict Hardware Purchase
2015-05,Resources Group,ICT,VODAFONE,0,999,Telephone Costs
2015-05,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,1176,Counselling Recharge
2015-05,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,1500,Physiotherapy Recharge
2015-05,Resources Group,Human resources management,CLEAPSS,3067813,1475.76,Memberships
2015-05,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,3458,DBS Checks
2015-05,Resources Group,Human resources management,SYD STRIKE TRAINING SOLUTIONS,3066483,700,Employee Training Course Costs
2015-05,Resources Group,Transformation,ADT FIRE & SECURITY PLC,3065826,525,Ict Consumables
2015-05,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3065568,1650,Repairs - Electrical
2015-05,Resources Group,Transformation,ALU-FIX,3064716,2700,Repairs - Door Entry System
2015-05,Resources Group,Transformation,CANON (UK) LIMITED,0,18055.16,Printing
2015-05,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2366.25,Electricity
2015-05,Resources Group,Transformation,CONTRACT FLOORING SERVICES (NE) LTD,3063943,1162.2,Repairs - Building Fabric
2015-05,Resources Group,Transformation,CONTRACT FLOORING SERVICES (NE) LTD,3065656,1183.65,Repairs - Building Fabric
