,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Directorate,CIPFA,3805.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,CAWTHORNE PSYCHOLOGICAL SERVICES LTD,855.53,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,CAWTHORNE PSYCHOLOGICAL SERVICES LTD,833.30,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,ELECTORAL REFORM SERVICES,624.60,Equipment
INSERTED DETAIL,,Resources Group,Resources,GAZETTE MEDIA COMPANY,588.95,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,991.65,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,600.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,1007.28,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MERCEDES BENZ OF TEESSIDE,1190.85,R&M (Vehicles)
INSERTED DETAIL,,Resources Group,Resources,MISS REBECCA STOKES-HERBST,4425.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1049.75,Consultancy Fees
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,906.20,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,RESTORE SHRED LTD,702.00,Postages
INSERTED DETAIL,,Resources Group,Resources,RESTORE SHRED LTD,548.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,873.23,Postages
INSERTED DETAIL,,Resources Group,Resources,SITEIMPROVE LTD,2723.84,Internet Costs
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2468.87,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1132.39,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2053.97,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,954.85,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1276.80,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2624.87,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1182.72,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3085.74,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2404.18,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2202.41,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3051.10,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1256.25,Postages
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,Internet Costs
INSERTED DETAIL,,Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,868.45,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,897.64,Security Services
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,13136.00,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,ACCESS TRAINING SERVICES,2040.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1100.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,1540.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,3598.00,Crb Checks
INSERTED DETAIL,,Resources Group,Human resources management,LANGTON (MEDICAL TRAINING) LTD,540.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Human resources management,LANGTON (MEDICAL TRAINING) LTD,720.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Human resources management,LANGTON (MEDICAL TRAINING) LTD,540.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1131.97,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ALBANY OFFICE FURNITURE SOLUTIONS,543.00,Equipment
INSERTED DETAIL,,Resources Group,Transformation,BODY 2 FIT LTD,600.00,Rent Of Facilities
INSERTED DETAIL,,Resources Group,Transformation,BRIEN & SON LOCKSMITHS,567.17,Security Services
INSERTED DETAIL,,Resources Group,Transformation,CARPETTIME LIMITED,1935.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,CARPETTIME LIMITED,1173.25,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,CIPFA,895.00,Memberships
INSERTED DETAIL,,Resources Group,Transformation,CLEARWATER TECHNOLOGY LTD,3336.00,Repairs - Legionella Remedial
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,2327.98,Electricity
INSERTED DETAIL,,Resources Group,Transformation,EVERYTHING EVERYWHERE LIMITED,577.00,Voice Telephone Equipment
INSERTED DETAIL,,Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,2660.00,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,797.17,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,635.77,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,751.50,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Transformation,INTERACTIVE PROJECTS & DESIGN LTD,857.94,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,LLOYDS BRITISH TESTING CO LTD,900.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Transformation,MAINTEL HOLDINGS PLC,878.79,Telephone Costs
INSERTED DETAIL,,Resources Group,Transformation,MGL (DEMOLITION) LTD,1690.00,Waste Disposal
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,650.00,Cyclical - External Painting
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,570.00,Alts & Imp - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,816.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,1650.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,NES SERVICES LTD,4650.35,Security Services
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,3131.06,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,3213.14,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,1173.98,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,34989.85,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,41410.16,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,7058.16,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,872.72,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,524.19,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,504.13,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,3186.44,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,10552.07,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,546.62,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,2700.98,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,720.00,Electricity
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,1995.00,Removal Costs - Staff Moves
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,644.00,Equipment
INSERTED DETAIL,,Resources Group,Transformation,STONEGRAVE AGGREGATES LTD,716.05,Direct Charges - Materials Oncost (Dlo)
INSERTED DETAIL,,Resources Group,Transformation,STOREYS:SSP,671.49,Electricity
INSERTED DETAIL,,Resources Group,Transformation,SUPPLIES TEAM,516.00,Stationery
INSERTED DETAIL,,Resources Group,Transformation,ULTIMATE COMMUNICATION SYSTEMS,5787.20,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Resources Group,Transformation,UPEX  ELECTRICAL DISTRIBUTORS LTD,800.00,Repairs - Electrical
INSERTED DETAIL,,Resources Group,Transformation,V & T (PLUMBING CENTRAL HEATING & BATHROOMS) LTD T/A AQUA INTERIORS,2690.00,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,763.88,Cleaning Materials & Consumables
INSERTED DETAIL,,Place,Building Design Services,HARKIN ASSOCIATES,1841.79,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,500.00,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,3022.43,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,2962.57,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,4494.37,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,714.00,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,1125.87,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,URS SCOTT WILSON LTD,1990.00,Consultancy Fees
INSERTED DETAIL,,Place,Economic Regeneration,3 POINT MEDIA,2500.00,Projects
INSERTED DETAIL,,Place,Economic Regeneration,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3138.22,Professional Fees & Consultancy
INSERTED DETAIL,,Place,Economic Regeneration,NORDIC PIONEER LIMITED,600.00,Building Cleaning
INSERTED DETAIL,,Place,Commercial Services,ALL EVENTS SECURITY,3798.00,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,HEINEKEN UK,1158.42,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,HEINEKEN UK,939.50,Bar Provisions For Resale
