Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2012-11,Resources Group,Directorate,CIPFA,3670,SUBSCRIPTIONS
2012-11,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),500,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,DR L RIPPON,810,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,DR TRACEY TYLER,1181.5,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,DR URSULA CAWTHORNE,4348,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,ESRI (UK) LTD,17050,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-11,Resources Group,Resources,FRAZER MCDERMOTT,500,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,iCASEWORK LTD,3436.1,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-11,Resources Group,Resources,IDOX SOFTWARE LTD,935,ICT HARDWARE PURCHASE
2012-11,Resources Group,Resources,JOHN GOOD LTD,555,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,KANA,2300,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-11,Resources Group,Resources,LINDSAY WEBSTER,2300,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,950,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,MISS SUSAN BOOTHROYD,500,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,MRS ELAINE AVERIS,1900,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,MULTICORD,528,EQUIPMENT
2012-11,Resources Group,Resources,NEIL COOKSON,1311,CONSULTANCY FEES
2012-11,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,500,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1000,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1928.16,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1928.16,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,2777,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,2777,MARKETING & ADVERTISING
2012-11,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,1372.5,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,1372.5,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,667.5,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1452.03,POSTAGES
2012-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1077.58,POSTAGES
2012-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1404.23,POSTAGES
2012-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1599.66,POSTAGES
2012-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1130.83,POSTAGES
2012-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,6957.45,POSTAGES
2012-11,Resources Group,Resources,ROYAL MAIL NORTH EAST,1537.37,POSTAGES
2012-11,Resources Group,Resources,RUTH WATERHOUSE LTD,1245.62,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,RUTH WATERHOUSE LTD,536.16,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,SOCITM LTD,1110,ICT SOFTWARE SUPPORT & MAINTENANCE
2012-11,Resources Group,Resources,SOUTHALL BLACK SISTERS,1952,PROFESSIONAL FEES & CONSULTANCY
2012-11,Resources Group,Resources,THOMSON REUTERS,1798.62,SUBSCRIPTIONS
2012-11,Resources Group,Resources,THOMSON REUTERS,698.12,SUBSCRIPTIONS
2012-11,Resources Group,Resources,THOMSON REUTERS,689,SUBSCRIPTIONS
