,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,AVC WISE LTD,55492544,2021-11-30,662.55,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,BEACHCROFT LLP,55491400,2021-09-30,1464.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11146609,2021-12-02,18718.08,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55493085,2021-12-08,3576.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55493211,2021-12-01,2845.23,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS PENSIONS,11146600,2021-12-02,3689.61,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11146596,2021-12-02,20448.25,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,SALARY FINANCE,11146854,2021-12-21,3034.70,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,STANDARD LIFE,11146599,2021-12-02,1874.83,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11146613,2021-12-02,1119.42,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNISON L04007,11146612,2021-12-02,5432.39,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,ZURICH INSURANCE COMPANY,55492342,2021-12-06,1512.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,ZURICH MUNICPAL,55492404,2021-12-03,38046.12,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,ADNS (AD NETWORK SOLUTIONS),1104076,2021-12-06,580.00,Dfc - Info & Communications Tech,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,55492248,2021-11-24,5975.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,AECOM LIMITED,55492247,2021-11-24,3450.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,UNIVERSITY OF DURHAM,55491221,2021-11-09,2366.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,ASTOR BANNERMAN (MEDICAL) LTD,11146741,2021-12-14,9858.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CAREFREE MOBILITY,11146736,2021-12-14,1459.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11146648,2021-12-07,4884.96,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11146649,2021-12-07,5306.65,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11146650,2021-12-07,5456.73,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11146652,2021-12-07,4062.50,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,GAPTEC UK LTD,11146808,2021-12-16,960.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11146810,2021-12-16,5294.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11146812,2021-12-16,5160.50,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11146705,2021-12-10,885.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11146654,2021-12-07,1291.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11146986,2021-12-29,4312.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11146984,2021-12-29,6681.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,MDS JOINERY & BUILDING LTD,11146706,2021-12-10,11000.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11146991,2022-01-04,6419.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11146737,2021-12-14,1492.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11146738,2021-12-14,2135.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11146740,2021-12-14,2644.76,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11146988,2022-01-04,1580.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11146990,2022-01-04,4420.77,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,55492475,2021-11-29,1440.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,55491012,2021-11-05,1095.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55491998,2021-11-23,248627.00,Vehicles,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55492007,2021-11-23,248627.00,Vehicles,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55492008,2021-11-23,248627.00,Vehicles,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55492009,2021-11-23,248627.00,Vehicles,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55490181,2021-10-25,248627.00,Vehicles,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55490180,2021-10-25,248627.00,Vehicles,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,Balance Sheet,DENNIS EAGLE LTD,55491999,2021-11-23,248627.00,Vehicles,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,A AND N SAFETY CONSULTANTS LTD,55492621,2021-11-30,750.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,AMP CONSULTANTS,55492831,2021-11-30,1325.00,Consultant Structural,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,BARRETT ENVIRONMENTAL,55492186,2021-11-24,750.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,BGP CONSULTING LIMITED,55492002,2021-11-23,1150.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,GEOFFREY ROBINSON,55489981,2021-10-28,10376.76,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,LUCION SERVICES LTD,55493525,2021-12-06,1240.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,LUCION SERVICES LTD,55493526,2021-12-06,3200.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NORTH YORKSHIRE COUNTY COUNCIL,55492153,2021-10-01,41016.40,Tenant Consultation Costs,Capital Expenditure,Council Houses,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NORTH YORKSHIRE COUNTY COUNCIL,55493435,2021-12-07,2000.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NORTHERN GAS NETWORKS LIMITED,55492729,2021-12-08,722.00,Fees - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,NORTHERN POWERGRID LIMITED,55492284,2021-11-25,697.92,Electrical,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,RIDER INDUSTRIAL & SPECIALIST CLEANING,55493854,2021-12-09,5661.38,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,RIDER INDUSTRIAL & SPECIALIST CLEANING,55493854,2021-12-09,5661.38,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ROSE PROJECT MANAGEMENT LTD,55493327,2021-11-30,1787.70,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SANDERSON WEATHERALL LLP,55493312,2021-11-30,1300.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,SMARTESTENERGY BUSINESS LTD,55492096,2021-10-13,731.63,Electrical,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,THE CROFT PROPERTY COMPANY,55493753,2021-12-17,4750.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,W A FAIRHURST & PARTNERS,55492087,2021-10-22,5676.40,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55493472,2021-12-15,80861.36,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55493026,2021-12-10,94962.53,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55492655,2021-12-02,556572.35,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,WILLMOTT DIXON CONSTRUCTION LTD,55493781,2021-12-06,30885.75,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,ECONOMIC INITIATIVE,WARD HADAWAY SOLICITORS,55492921,2021-11-26,900.00,Legal Fees,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGENERATION,NORTHERN PULP DESIGN,55492632,2021-11-26,1525.00,Consultants - Other,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,REGULATORY SERVICES,STONE TECHNICAL SERVICES,55493164,2021-11-30,1920.00,Sce(R) - Education,Capital Income,Capital Borrowing,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ARRIVA NORTH EAST LIMITED,55492258,2021-11-24,6641.19,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,ARRIVA NORTH EAST LIMITED,55492259,2021-11-24,6641.19,Other Contractor Payments,Capital Expenditure,Capital Construction,
INSERTED DETAIL,,ECONOMIC GROWTH,TRANSPORT,BRAMBLEDOWN LANDSCAPES,55491908,2021-11-23,6523.81,Other Contractor Payments,Capital Expenditure,Capital Construction,
