,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11116470,2017-10-02,13832.33,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,HER MAJESTY'S COURT SERVICE CLEVELAND COLLECTIONS,11116466,2017-10-02,811,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,HM REVENUE AND CUSTOMS,11116522,2017-10-12,5477.78,Physiotherapy Recharge,Non Resource Allocation,CENTRAL SUPPORT SERVICES
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55356332,2017-10-24,13354.44,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS PENSIONS,11116442,2017-10-02,3772.46,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11116438,2017-10-02,21654.23,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,STANDARD LIFE,11116441,2017-10-02,1690.86,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11116467,2017-10-02,1652.34,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNISON L04007,11116471,2017-10-02,6831.95,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNITE,11116468,2017-10-02,603.56,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,DTA CONSULTING ENGINEERS LLP,55354881,2017-09-25,2312.50,Consultants - Other,Capital Expenditure,Capital Fees
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,IT SYSTEMS & SUPPORT LIMITED,55355512,2017-08-21,5305.00,It Cabling/Telephones,Capital Expenditure,Capital Construction
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,IT SYSTEMS & SUPPORT LIMITED,55355515,2017-08-31,800,It Hardware,Capital Expenditure,Capital Equipment
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,IT SYSTEMS & SUPPORT LIMITED,55355513,2017-08-23,1320.00,It Cabling/Telephones,Capital Expenditure,Capital Construction
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,NE SECURITY LTD,55353987,2017-09-10,952.5,Payments Main Contractor - Non Dlo,Capital Expenditure,Capital Construction
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,SOLMEK/HYMAS GEOENVIRONMENTAL LTD,55354568,2017-09-20,887.5,Consultants - Other,Capital Expenditure,Capital Fees
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CARE-ABILITY,11116529,2017-10-12,866,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CARE-ABILITY,11116630,2017-10-24,866,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS CONTRACTORS,11116632,2017-10-24,624,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS CONTRACTORS,11116531,2017-10-12,624,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11116534,2017-10-12,2112.92,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11116482,2017-10-04,1939.09,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11116691,2017-10-30,534.66,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11116635,2017-10-24,2112.92,Capital Grants,Capital Expenditure,Capital Other
