Date,Directorate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-02,Resources Group,Resources,DECLAN HALL,3077956,4134.59,Professional Fees & Consultancy
2016-02,Resources Group,Resources,DR SUSAN COOPER,3078269,746.3,Professional Fees & Consultancy
2016-02,Resources Group,Resources,IDOX SOFTWARE LTD,3077910,3500,Professional Fees & Consultancy
2016-02,Resources Group,Resources,JANINE RICHARDS,3078280,1100,Professional Fees & Consultancy
2016-02,Resources Group,Resources,JANINE RICHARDS,3077912,1100,Professional Fees & Consultancy
2016-02,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3078628,1365,Agency Staff Costs - Non Teaching
2016-02,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1417.5,Agency Staff Costs - Non Teaching
2016-02,Resources Group,Resources,MISS FIONA MCREDDIE,3078278,1000,Professional Fees & Consultancy
2016-02,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3076911,539.72,Marketing & Advertising
2016-02,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,529,Other Supplies & Services
2016-02,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,814.2,Other Supplies & Services
2016-02,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3078294,1190,Marketing & Advertising
2016-02,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,988.14,Postages
2016-02,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1411.22,Postages
2016-02,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1091.19,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,1184.18,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,1609.95,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,1660.99,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,1177.85,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,690.47,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,1174.25,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,1336.41,Postages
2016-02,Resources Group,Resources,WHISTL UK LIMITED,0,1429.52,Postages
2016-02,Resources Group,Finance,CIPFA,3076129,1560,Subscriptions
2016-02,Resources Group,Finance,ERNST & YOUNG LLP,3075276,25544,Professional Fees & Consultancy
2016-02,Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,18080,Professional Fees & Consultancy
2016-02,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,1002.21,Security Services
2016-02,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,2941.83,Telephone Costs
2016-02,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,697.85,Telephone Costs
2016-02,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,7072.1,Telephone Costs
2016-02,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,4277.11,Telephone Costs
2016-02,Resources Group,Human resources management,BOND DICKINSON,3065636,900,Professional Fees & Consultancy
2016-02,Resources Group,Human resources management,CASTLE GROUP LTD,3077461,746.75,Service & Repairs
2016-02,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,2700,DBS Checks
2016-02,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,2356,DBS Checks
2016-02,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,7765.52,Professional Fees & Consultancy
2016-02,Resources Group,Human resources management,SYD STRIKE TRAINING SOLUTIONS,3078081,520,Employee Training Course Costs
2016-02,Resources Group,Human resources management,THE CONFLICT TRAINING COMPANY,3076313,845,Employee Training Course Costs
2016-02,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3067740,510,Cyclical - Air Conditioning
2016-02,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3075636,1503,Repairs - Door Entry System
2016-02,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3075863,810,Repairs - Door Entry System
2016-02,Resources Group,Transformation,BGP CONSULTING LIMITED,3075991,775,Repairs - Building Fabric
2016-02,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2633.88,Electricity
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,6248.53,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,16703.87,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,1068.63,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,1571.11,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,1947.26,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,3963.09,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,1719.71,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,952.5,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,1612.85,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,1785.58,Gas
2016-02,Resources Group,Transformation,CORONA ENERGY LTD,0,584.83,Gas
2016-02,Resources Group,Transformation,CROSSLING LTD,3077386,805.2,Repairs - Mechanical
2016-02,Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3077390,2624,Repairs - Building Fabric
