,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ASSOCIATION OF NORTH EAST COUNCILS LTD,28019.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,ASSOCIATION OF NORTH EAST COUNCILS LTD,7500.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,DADCHECK.COM,567.35,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,INSIGHT DIRECT (UK) LTD,722.44,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,1221.68,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,20586.50,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,MANNING LIMITED,1787.61,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,695.75,Consultancy Fees
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,535.84,Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,837.20,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,Q MATIC UK LTD,8801.89,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,937.24,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,849.53,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3911.89,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,9916.16,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1974.94,Postages
INSERTED DETAIL,,Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,11787.73,Ict Consumables
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,13561.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,5625.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,ICT,CABLE & WIRELESS,999.00,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,9718.85,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VODAFONE LTD,3533.66,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,850.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,1680.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,EDUFOCUS LTD,3999.00,Memberships
INSERTED DETAIL,,Resources Group,Human resources management,HARTLEPOOL BOROUGH COUNCIL,650.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Human resources management,HARTLEPOOL BOROUGH COUNCIL,650.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,15229.04,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,582.63,Repairs - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,639.69,Repairs - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1086.83,Cyclical - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,977.82,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1921.75,Cyclical - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,759.47,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,774.31,Cyclical - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,850.21,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1022.82,Cyclical - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,AMBIENT AIR CONDITIONING UK LTD,703.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,BRITISH GAS BUSINESS,1599.66,Direct Charges - Contractors
INSERTED DETAIL,,Resources Group,Transformation,BRITISH GAS BUSINESS,588.49,Direct Charges - Contractors
INSERTED DETAIL,,Resources Group,Transformation,CALBARRIE LIMITED,506.70,Cyclical - Portable App Test
INSERTED DETAIL,,Resources Group,Transformation,CALBARRIE LIMITED,532.35,Cyclical - Portable App Test
INSERTED DETAIL,,Resources Group,Transformation,CANON (UK) LIMITED,7869.44,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Transformation,CANON (UK) LIMITED,17638.94,Printing
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,2408.01,Electricity
INSERTED DETAIL,,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,820.00,Cyclical - Fire Alarms
INSERTED DETAIL,,Resources Group,Transformation,INITIAL WASHROOM SOLUTIONS,4146.54,Hygiene Services
INSERTED DETAIL,,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,1760.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,NORTHERN STEEPLEJACKS (EDINBURGH) LTD,545.00,Cyclical - Lightening Protection
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,709.01,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,564.53,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,2036.38,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,663.02,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,2940.71,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,534.54,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5665.73,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,2308.14,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,950.92,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,6216.04,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,38443.39,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,8528.16,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,3330.12,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,700.97,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,6542.53,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,871.43,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,564.88,Electricity
INSERTED DETAIL,,Resources Group,Transformation,PORTABLE APPLIANCE SAFETY SERVICES,1400.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,583.60,Other Consumables
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,737.83,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,789.85,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,827.96,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,ROYAL INST OF CHARTERED SURVEYORS BOOKS,830.00,Subscriptions
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,2812.95,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,1170.00,Consultancy Fees
INSERTED DETAIL,,Place,Economic Regeneration,MARCHDAY GROUP PLC,20000.00,Grants
INSERTED DETAIL,,Place,Economic Regeneration,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3138.22,Professional Fees & Consultancy
INSERTED DETAIL,,Place,Capital Projects,ROYAL INST OF CHARTERED SURVEYORS BOOKS,830.00,Subscriptions
INSERTED DETAIL,,Place,Commercial Services,ASSET EPOS SYSTEMS,1800.00,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,BT REDCARE,50176.84,Telephone Costs
INSERTED DETAIL,,Place,Commercial Services,ELECTRONIC SECURITY SOLUTIONS LTD,1153.90,Equipment
INSERTED DETAIL,,Place,Commercial Services,HEINEKEN UK,1517.37,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,HEINEKEN UK,655.10,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,HULLEYS,592.30,Catering Provisions
INSERTED DETAIL,,Place,Commercial Services,INDOOR OUTDOOR,832.00,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,INDOOR OUTDOOR,2986.00,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,658.92,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,1248.72,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,STAR RADIO,2000.00,Marketing & Advertising
INSERTED DETAIL,,Place,Culture,ASKEWS & HOLTS LIBRARY SERVICES LTD,850.00,Books
INSERTED DETAIL,,Place,Culture,ASSET EPOS SYSTEMS,1800.00,Other Supplies & Services
INSERTED DETAIL,,Place,Culture,AXIELL LIMITED,4810.08,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Place,Culture,BRAKES BROS LTD,969.06,Catering Provisions
INSERTED DETAIL,,Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,718.08,Cleaning Materials & Consumables
INSERTED DETAIL,,Place,Culture,ENCHANTED ENTERTAINMENT LTD,20000.00,Artist Payments
INSERTED DETAIL,,Place,Culture,FIERYLIGHT 2010 LIMITED,21766.32,Artist Payments
