,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Directorate,CIPFA,7090.00,Subscriptions
INSERTED DETAIL,,Resources Group,Directorate,INSTITUTE OF PUBLIC FINANCE LTD,4510.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,BAUER RADIO LTD,2750.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),607.70,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,DX NETWORK SERVICES LTD,2211.62,Postages
INSERTED DETAIL,,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,20586.50,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,Equipment
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,2777.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1928.16,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1928.16,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,2777.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTH EAST REGIONAL EMPLOYERS ORG,15680.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,NWA SOCIAL AND MARKET RESEARCH LIMITED,7880.00,Consultancy Fees
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL,777.80,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1301.05,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3152.17,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2274.93,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,9834.91,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2026.21,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,939.75,Postages
INSERTED DETAIL,,Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,11444.40,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Finance,CIPFA,2903.75,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Finance,INSTITUTE OF PUBLIC FINANCE LTD,725.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Finance,INSTITUTE OF PUBLIC FINANCE LTD,3655.00,Subscriptions
INSERTED DETAIL,,Resources Group,Finance,LG FUTURES,1495.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1637.00,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,12328.20,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1285.78,Security Services
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,10863.37,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,SIEMENS ENTERPRISE COMMUNICATIONS LTD,30086.16,Equipment
INSERTED DETAIL,,Resources Group,ICT,ULTIMATE COMMUNICATION SYSTEMS,1054.22,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,1830.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Human resources management,CLEAPSS,1664.90,Licences
INSERTED DETAIL,,Resources Group,Human resources management,WOLTERS KLUWER UK LTD,1380.23,Subscriptions
INSERTED DETAIL,,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3582.00,Cyclical - Air Conditioning
INSERTED DETAIL,,Resources Group,Transformation,BILLINGHURST GEORGE & PARTNERS,684.00,Consultancy Fees
INSERTED DETAIL,,Resources Group,Transformation,CIPFA,4103.75,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,2855.96,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,112498.98,Gas
INSERTED DETAIL,,Resources Group,Transformation,METRO ROD PLC,2496.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,NES SERVICES LTD,4873.79,Security Services
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,1679.23,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,2005.82,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,2163.10,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,3456.29,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,534.02,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,1463.09,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,2256.02,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,700.99,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,11131.11,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1924.81,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5887.47,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,10971.01,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,3708.37,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1958.50,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,539.56,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,2089.15,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,523.79,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,7924.44,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,506.84,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,3554.56,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,51022.29,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,2479.71,Electricity
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,1961.75,Removal Costs - Staff Moves
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,930.00,Equipment
INSERTED DETAIL,,Resources Group,Transformation,SPRINGS ROOFING LTD,930.00,Building Repairs And Maintenance
INSERTED DETAIL,,Resources Group,Transformation,TEES INSULATION INTERNATIONAL LTD,16999.09,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,VIRGIN MEDIA BUSINESS LIMITED,7400.00,Telephone Costs
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,793.89,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,1428.00,Consultancy Fees
INSERTED DETAIL,,Place,Building Design Services,SPACEWORKS,1624.83,Consultancy Fees
INSERTED DETAIL,,Place,Economic Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,2250.00,Grants
INSERTED DETAIL,,Place,Economic Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,670.34,Grants
INSERTED DETAIL,,Place,Commercial Services,APEX CATERING FOOD & SERVICES,800.00,Other Supplies & Services
INSERTED DETAIL,,Place,Commercial Services,BT REDCARE,51633.91,Voice Telephone Land Line Costs
INSERTED DETAIL,,Place,Commercial Services,HEINEKEN UK,566.68,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,506.91,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,657.46,Bar Provisions For Resale
INSERTED DETAIL,,Place,Commercial Services,STOBBS WHOLESALERS,539.33,Catering Provisions
INSERTED DETAIL,,Place,Commercial Services,STOBBS WHOLESALERS,626.29,Catering Provisions
INSERTED DETAIL,,Place,Culture,ADT FIRE & SECURITY PLC,1376.89,Repairs - Intruder Alarms
INSERTED DETAIL,,Place,Culture,ADT FIRE & SECURITY PLC,948.42,Repairs - Intruder Alarms
INSERTED DETAIL,,Place,Culture,ALAN DARLOW PRODUCTIONS LTD,20000.00,Admissions
INSERTED DETAIL,,Place,Culture,AQUA SPHERE UK LTD,1647.66,Items For Resale
INSERTED DETAIL,,Place,Culture,ARTIFAX SOFTWARE LTD,3604.91,Ict Software Support & Maintenance
INSERTED DETAIL,,Place,Culture,BONNIE DAVIES,563.72,Artist Payments
INSERTED DETAIL,,Place,Culture,DEBBIE WAISTELL,997.50,Artist Payments
INSERTED DETAIL,,Place,Culture,EEMITS COMMUNICATIONS LTD,840.00,Equipment
INSERTED DETAIL,,Place,Culture,IQL UK LTD,642.00,Employee Training Course Costs
INSERTED DETAIL,,Place,Culture,J P LENNARD LTD,683.90,Other Supplies & Services
INSERTED DETAIL,,Place,Culture,LLOYDS BRITISH TESTING CO LTD,590.00,Building Repairs And Maintenance
INSERTED DETAIL,,Place,Culture,MIDDLE GROUND THEATRE COMPANY,4562.64,Artist Payments
INSERTED DETAIL,,Place,Culture,MULTICORD,1000.00,Production Costs
INSERTED DETAIL,,Place,Culture,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,585.00,Marketing & Advertising
INSERTED DETAIL,,Place,Culture,NORTHUMBRIAN WATER,2095.87,Water Charges
INSERTED DETAIL,,Place,Culture,NORTHUMBRIAN WATER,1127.14,Water Charges
INSERTED DETAIL,,Place,Culture,NORTHUMBRIAN WATER,1175.72,Water Charges
INSERTED DETAIL,,Place,Culture,PAUL DILLON,1182.19,Artist Payments
INSERTED DETAIL,,Place,Culture,POST COOL MEDIA LTD,3000.00,Artist Payments
INSERTED DETAIL,,Place,Culture,RALPH GIVENS,1850.70,Golf Professionals Retainer
INSERTED DETAIL,,Place,Culture,ROYAL GEOGRAPHICAL SOCIETY,643.26,Artist Payments
INSERTED DETAIL,,Place,Culture,STONEGRAVE AGGREGATES LTD,890.51,Waste Disposal
INSERTED DETAIL,,Place,Culture,STONEGRAVE AGGREGATES LTD,1162.01,Waste Disposal
INSERTED DETAIL,,Place,Culture,TECHNOGYM LTD,953.00,Equipment
