Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2015-02,Resources Group,Resources,ADARE LIMITED,3062053,2715.6,Stationery
2015-02,Resources Group,Resources,ADARE LIMITED,3062053,12203.94,Stationery
2015-02,Resources Group,Resources,ADARE LIMITED,3062053,12203.94,Stationery
2015-02,Resources Group,Resources,COMMUNICORP UK,3062737,1300,Marketing & Advertising
2015-02,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,610.28,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,589.38,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,615.18,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,DX NETWORK SERVICES LTD,0,2211.62,Postages
2015-02,Resources Group,Resources,FLOWERS BY NATTRASS,0,540,Materials
2015-02,Resources Group,Resources,ISAPPHIRE LTD,3062866,549.2,Marketing & Advertising
2015-02,Resources Group,Resources,KOMODO DESIGN LTD,3063273,531.09,Marketing & Advertising
2015-02,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,3060676,1291.66,Professional Fees & Consultancy
2015-02,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1470,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1417.5,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1391.25,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1400,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060970,544,Agency Staff Costs - Non Teaching
2015-02,Resources Group,Resources,NEIL COOKSON,3035690,547,Consultancy Fees
2015-02,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,523.3,Marketing & Advertising
2015-02,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,525.3,Marketing & Advertising
2015-02,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,699.2,Other Supplies & Services
2015-02,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,988.72,Postages
2015-02,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,638.62,Postages
2015-02,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1011.16,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,650.76,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,1343.04,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,509.46,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,2024.39,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,2517.05,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,1926.29,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,3846.82,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,672.51,Postages
2015-02,Resources Group,Resources,WHISTL UK LIMITED,0,2886.95,Postages
2015-02,Resources Group,Finance,PRICE WATERHOUSE COOPERS,3046466,13364,Professional Fees & Consultancy
2015-02,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,958.17,Security Services
2015-02,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,7941.33,Telephone Costs
2015-02,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,8972.66,Telephone Costs
2015-02,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,2673.95,Telephone Costs
2015-02,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,1300,Counselling Recharge
2015-02,Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1500,Physiotherapy Recharge
2015-02,Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1340,Physiotherapy Recharge
2015-02,Resources Group,Human resources management,CASTLE GROUP LTD,3062133,750,Materials
2015-02,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,2816,Professional Fees & Consultancy
2015-02,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,7781.89,Professional Fees & Consultancy
2015-02,Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
2015-02,Resources Group,Transformation,CANON (UK) LIMITED,3059737,2903.24,Ict Hardware Purchase
2015-02,Resources Group,Transformation,CANON (UK) LIMITED,3059736,957.74,Ict Hardware Purchase
2015-02,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2443.59,Electricity
2015-02,Resources Group,Transformation,DURHAM COUNTY COUNCIL,3046628,1205.01,Repairs - Lifts
2015-02,Resources Group,Transformation,ELDERS WALKER GLASS LTD,3062586,1000,Repairs - Building Fabric
2015-02,Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3054375,1144.5,Cyclical - Electrical Installation Test
2015-02,Resources Group,Transformation,INITIAL WASHROOM HYGIENE,3058737,4500.75,Hygiene Services
2015-02,Resources Group,Transformation,INTEGRATED UTILITY SERVICES,3061816,580.74,Cyclical - Electrical Installation Test
2015-02,Resources Group,Transformation,JEWSON LTD,3061941,529.96,Equipment
2015-02,Resources Group,Transformation,JEWSON LTD,3063080,648.56,Repairs - Mechanical
2015-02,Resources Group,Transformation,LORD TECHNICAL LTD,3061942,1766.13,Equipment
2015-02,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3058435,1126,Alterations & Improvements - Decoration
2015-02,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3057145,1312.5,Alterations & Improvements - Decoration
2015-02,Resources Group,Transformation,MITIE PROPERTY SERVICES (NORTH EAST) LTD,3060647,825,Repairs - Building Fabric
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2123.91,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1085.09,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2518.08,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1325.73,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1689.86,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2652.99,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,791.43,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1721.89,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1384.74,Water Charges
2015-02,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2024.34,Water Charges
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,9910.1,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1445.72,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3656.26,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,802.49,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3868.32,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,900.14,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,3364.57,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2098.95,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,47301.47,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,5564.51,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,994.87,Electricity
2015-02,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,7405.36,Electricity
2015-02,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3063307,1496.25,Equipment
2015-02,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3063285,528,Equipment
2015-02,Resources Group,Transformation,STONE TECHNICAL SERVICES,3060907,816,Cyclical - Lightening Protection
2015-02,Resources Group,Transformation,SUPPLIES TEAM,3062423,506.8,Stationery
2015-02,Resources Group,Transformation,T P S BOILER SPARES,3062655,945,Repairs - Mechanical
2015-02,Resources Group,Transformation,T W WARD INDUSTRIAL BOILERS,3058027,4726.13,Cyclical-Boiler/Servicing
2015-02,Resources Group,Transformation,YESSS ELECTRICAL,3062919,930,Repairs - Mechanical
2015-02,Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3062374,944,Other Consumables
2015-02,Place,Building Design Services,ANDERS ELITE,3063269,810.75,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3063270,940.95,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3063269,634.5,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061915,687.38,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061720,596.55,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061720,565.8,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061915,869.5,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061720,922.5,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3063270,953.25,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061720,922.5,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061915,869.5,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,ANDERS ELITE,3061720,965.55,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,HAYS SPECIALIST SERVICES,3060841,1067.57,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,HAYS SPECIALIST SERVICES,3062397,1086.23,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,HAYS SPECIALIST SERVICES,3062397,704.45,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,HAYS SPECIALIST SERVICES,3062397,1067.57,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,HAYS SPECIALIST SERVICES,3062397,1098.4,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,HAYS SPECIALIST SERVICES,3062397,895.63,Agency Staff Costs - Non Teaching
2015-02,Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,3062639,1057.98,Consultancy Fees
2015-02,Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,3063784,871.53,Consultancy Fees
2015-02,Place,Building Design Services,SPACE ARCHITECTURE (EUROPE) LTD,3062838,1140,Consultancy Fees
