Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2015-01,Resources Group,Resources,APHA BIO LABS,3061576,510,Professional Fees & Consultancy
2015-01,Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,605.69,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,DURHAM BUSINESSWEAR LTD,3062297,731.75,Purchase Of Clothing
2015-01,Resources Group,Resources,FORENSIS,3061729,1792.68,Professional Fees & Consultancy
2015-01,Resources Group,Resources,GAZETTE MEDIA COMPANY,3060661,654,Marketing & Advertising
2015-01,Resources Group,Resources,INDEPENDENT CLINICAL INITIATIVE SERVICES LTD,3061734,3273.43,Professional Fees & Consultancy
2015-01,Resources Group,Resources,KANA,3039008,3000,Ict Software Purchase
2015-01,Resources Group,Resources,MANNING LIMITED,3059196,1030.95,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,910,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1155,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1470,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1163.75,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,MISS JESSICA BARROWMAN,3061578,1150,Professional Fees & Consultancy
2015-01,Resources Group,Resources,MR CRISPIN OLIVER,3062421,2450,Professional Fees & Consultancy
2015-01,Resources Group,Resources,MR CRISPIN OLIVER,3061585,1050,Professional Fees & Consultancy
2015-01,Resources Group,Resources,MR CRISPIN OLIVER,3061737,3500,Professional Fees & Consultancy
2015-01,Resources Group,Resources,MR STEPHEN AINSLEY,3061725,1600,Professional Fees & Consultancy
2015-01,Resources Group,Resources,MR STEPHEN AINSLEY,3062386,1300,Professional Fees & Consultancy
2015-01,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,852,Marketing & Advertising
2015-01,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,846.4,Other Supplies & Services
2015-01,Resources Group,Resources,PHILIP CORDERY,3061726,800,Professional Fees & Consultancy
2015-01,Resources Group,Resources,PHILIP CORDERY,3061727,1000,Professional Fees & Consultancy
2015-01,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,825.7,Postages
2015-01,Resources Group,Resources,THOMSON REUTERS,3034779,2129,Subscriptions
2015-01,Resources Group,Resources,THOMSON REUTERS,3060973,1827,Books
2015-01,Resources Group,Resources,THOMSON REUTERS,3060975,2315,Books
2015-01,Resources Group,Resources,WHISTL UK LIMITED,0,1475.11,Postages
2015-01,Resources Group,Resources,WHISTL UK LIMITED,0,3413.2,Postages
2015-01,Resources Group,Resources,WHISTL UK LIMITED,0,1723.51,Postages
2015-01,Resources Group,Resources,WHISTL UK LIMITED,0,742.67,Postages
2015-01,Resources Group,Resources,WHISTL UK LIMITED,0,949.09,Postages
2015-01,Resources Group,Resources,WHISTL UK LIMITED,0,2434.88,Postages
2015-01,Resources Group,Resources,WOLVISTON MANAGEMENT SERVICES LTD,3058869,1362.4,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,WOLVISTON MANAGEMENT SERVICES LTD,3058869,812.2,Agency Staff Costs - Non Teaching
2015-01,Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,3061642,500,Other Supplies & Services
2015-01,Resources Group,Finance,CIPFA,3060562,1925,Books
2015-01,Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,3038029,20600,Ict Software Purchase
2015-01,Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,13561,Professional Fees & Consultancy
2015-01,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,958.17,Security Services
2015-01,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,569,Telephone Costs
2015-01,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,569,Telephone Costs
2015-01,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,9265.14,Telephone Costs
2015-01,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,1511.1,Telephone Costs
2015-01,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,1687.19,Telephone Costs
2015-01,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,1796.53,Telephone Costs
2015-01,Resources Group,ICT,VODAFONE,0,2697.38,Telephone Costs
2015-01,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,1100,Counselling Recharge
2015-01,Resources Group,Human resources management,BOND DICKINSON,3051100,4627,Professional Fees & Consultancy
2015-01,Resources Group,Human resources management,BOND DICKINSON,3051099,10519.35,Professional Fees & Consultancy
2015-01,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,3590,Professional Fees & Consultancy
2015-01,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,8497.41,Professional Fees & Consultancy
2015-01,Resources Group,Human resources management,MH SAFETY SOLUTIONS,3061255,1125,Employee Training Course Costs
2015-01,Resources Group,Transformation,ARGUS SOFTWARE UK LTD,3062288,4200,Ict Consumables
2015-01,Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
2015-01,Resources Group,Transformation,CANON (UK) LIMITED,0,19900.82,Printing
2015-01,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,1573.96,Electricity
2015-01,Resources Group,Transformation,CORONA ENERGY LTD,0,3086.13,Gas
2015-01,Resources Group,Transformation,CORONA ENERGY LTD,0,62920.73,Gas
2015-01,Resources Group,Transformation,CORONA ENERGY LTD,0,3084.9,Gas
