Date,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
2011-12,Resources Group,Resources,ACORN WEB OFFSET LTD,6070.84,POSTAGES
2011-12,Resources Group,Resources,DECLAN HALL,4087.15,MEMBERS COSTS BASIC ALLOWANCE
2011-12,Resources Group,Resources,HARVEY MURRAY,950,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,2175,EQUIPMENT
2011-12,Resources Group,Resources,iCASEWORK LTD,547.05,ICT HARDWARE SUPPORT & MAINTENANCE
2011-12,Resources Group,Resources,iCASEWORK LTD,2889.05,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-12,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1794.5,AGENCY STAFF COSTS - NON TEACHING
2011-12,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1369,AGENCY STAFF COSTS - NON TEACHING
2011-12,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1692.75,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1757.5,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Resources,NEIL COOKSON,1927.5,CONSULTANCY FEES
2011-12,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,762.88,MARKETING & ADVERTISING
2011-12,Resources Group,Resources,QUOIN,1000,MARKETING & ADVERTISING
2011-12,Resources Group,Resources,ROYAL MAIL NORTH EAST,1877.08,POSTAGES
2011-12,Resources Group,Resources,ROYAL MAIL NORTH EAST,1038.59,POSTAGES
2011-12,Resources Group,Resources,ROYAL MAIL NORTH EAST,1074.76,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,1512.74,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,2032.24,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,1910.2,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,2031.27,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,1040.59,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,2520.44,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,1853.88,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,1385.43,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,1013.15,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,8916.68,POSTAGES
2011-12,Resources Group,Resources,TNT POST LTD,1226.01,POSTAGES
2011-12,Resources Group,Resources,VIGLEN LTD,815.55,ICT HARDWARE PURCHASE
2011-12,Resources Group,Finance,DICKINSON DEES LAW FIRM,2767,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Finance,EVOLUTION,706.8,HOSPITALITY & ROOM HIRE
2011-12,Resources Group,Finance,PRICE WATERHOUSE COOPERS,20547,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Finance,PRICE WATERHOUSE COOPERS,5500,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1306.61,SECURITY SERVICES
2011-12,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1200,COUNSELLING RECHARGE
2011-12,Resources Group,Human resources management,BODY 2 FIT LTD,2560,PHYSIOTHERAPY RECHARGE
2011-12,Resources Group,Human resources management,COREPEOPLE RECRUITMENT LTD,638.01,AGENCY STAFF COSTS - NON TEACHING
2011-12,Resources Group,Human resources management,COREPEOPLE RECRUITMENT LTD,582.84,AGENCY STAFF COSTS - NON TEACHING
2011-12,Resources Group,Human resources management,CRIMINAL RECORDS BUREAU,3422,CRB CHECKS
2011-12,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,23405,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Human resources management,HAY GROUP LTD,13327,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,1200,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,1000,PROFESSIONAL FEES & CONSULTANCY
2011-12,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,877.25,MEDICAL
2011-12,Resources Group,Human resources management,SYD STRIKE TRAINING SOLUTIONS,500,EMPLOYEE TRAINING COURSE COSTS
2011-12,Resources Group,Transformation,ADT FIRE & SECURITY PLC,1834.88,Cyclical - Intruder Alarms
2011-12,Resources Group,Transformation,CORONA ENERGY LTD,4296.23,GAS
2011-12,Resources Group,Transformation,CORONA ENERGY LTD,59010.7,GAS
2011-12,Resources Group,Transformation,GATESHEAD MBC,29898,MEMBERSHIPS
2011-12,Resources Group,Transformation,GATESHEAD MBC,901.25,ICT SOFTWARE SUPPORT & MAINTENANCE
2011-12,Resources Group,Transformation,JOHN N DUNN GROUP LTD,40977.9,ELECTRICITY
2011-12,Resources Group,Transformation,LATIMER HINKS,3625,RENT OF FACILITIES
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1789.41,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5174.66,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1086.35,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,787.9,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,980.56,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,912.77,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,54690.62,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,12711.43,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,6781.27,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5254.36,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,9148.17,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,1171.74,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,5107.64,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,2493.23,ELECTRICITY
2011-12,Resources Group,Transformation,NPOWER NORTHERN FINANCE,2206.29,ELECTRICITY
2011-12,Resources Group,Transformation,STOREYS:SSP,501,PREMISES INSURANCE
2011-12,Resources Group,Transformation,STOREYS:SSP,42190.28,RENT OF FACILITIES
2011-12,Resources Group,Transformation,STOREYS:SSP,44115.62,RENT OF FACILITIES
2011-12,Resources Group,Transformation,THE INSULATION COMPANY (T[I]C),3967,ALTERATIONS & IMPROVEMENTS
2011-12,Resources Group,Transformation,WR ALDERSON,650,Responsive - Grounds Maint
2011-12,Place,Building Design Services,URS SCOTT WILSON LTD,3575,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,Building Design Services,URS SCOTT WILSON LTD,4374,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,Economic Regeneration,DEPARTMENT FOR WORK & PENSIONS,9643.4,STATIONERY
2011-12,Place,Economic Regeneration,KOMODO DESIGN LTD,600,MARKETING & ADVERTISING
2011-12,Place,Economic Regeneration,TEDCO LIMITED,2500,MARKETING & ADVERTISING
2011-12,Place,Economic Regeneration,WM MORRISON (D'TON) ENTERPRISE TRUST,1000,PROFESSIONAL FEES & CONSULTANCY
2011-12,Place,Capital Projects,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1401,RECRUITMENT ADVERTISING
2011-12,Place,Commercial Services,AIRWAVE SOLUTIONS LTD,1457.5,TELEPHONE COSTS
2011-12,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),1240,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),764,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),500,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),1884,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,BLACK & WHITE ADVERTISING (URWIN GARTON),880,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,COCA COLA ENTERPRISES LTD,588.75,BAR PROVISIONS FOR RESALE
2011-12,Place,Commercial Services,EDEN FARM LTD,930.62,CATERING PROVISIONS
2011-12,Place,Commercial Services,EDEN FARM LTD,1062.8,CATERING PROVISIONS
2011-12,Place,Commercial Services,EDEN FARM LTD,817.73,CATERING PROVISIONS
2011-12,Place,Commercial Services,HEINEKEN UK,879.75,BAR PROVISIONS FOR RESALE
2011-12,Place,Commercial Services,LADHAR LEISURE,736,Ticket Sales Paid to Others
2011-12,Place,Commercial Services,RINEY PUBLISHING LIMITED,600,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,ROLLOVER LTD,777.6,CATERING PROVISIONS
2011-12,Place,Commercial Services,ROLLOVER LTD,718.6,CATERING PROVISIONS
2011-12,Place,Commercial Services,SAPPHIRE GB LTD,1256.14,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,STOBBS WHOLESALERS,685.99,CATERING PROVISIONS
2011-12,Place,Commercial Services,STOBBS WHOLESALERS,881.06,CATERING PROVISIONS
2011-12,Place,Commercial Services,STOBBS WHOLESALERS,557.34,CATERING PROVISIONS
2011-12,Place,Commercial Services,TCS MEDIA,2637.2,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,TCS MEDIA,2000,MARKETING & ADVERTISING
2011-12,Place,Commercial Services,WAVERLEY VINTERS LTD (scottish courage),720.74,BAR PROVISIONS FOR RESALE
2011-12,Place,Culture,ALAN BARNES,750,Artist payments
2011-12,Place,Culture,AQUA SPHERE UK LTD,1939.01,ITEMS FOR RESALE
2011-12,Place,Culture,AXIELL LIMITED,5342.62,ICT HARDWARE SUPPORT & MAINTENANCE
2011-12,Place,Culture,AXIELL LIMITED,5342.62,ICT HARDWARE SUPPORT & MAINTENANCE
2011-12,Place,Culture,BONNIE DAVIES,749.17,Artist payments
2011-12,Place,Culture,BONNIE DAVIES,540,Artist payments
2011-12,Place,Culture,BONNIE DAVIES,560,Artist payments
2011-12,Place,Culture,BONNIE DAVIES,560,Artist payments
2011-12,Place,Culture,BRENNTAG UK & IRELAND,2509.1,CHEMICALS
2011-12,Place,Culture,COMBINED POWER (SOUTH) LTD,2088.62,ELECTRICITY
2011-12,Place,Culture,DARLINGTON ARTS CENTRE RHYTM & BLUES,1131,Ticket Sales Paid to Others
2011-12,Place,Culture,DARLINGTON FOLK CLUB,2316,Ticket Sales Paid to Others
2011-12,Place,Culture,DEBBIE WAISTELL,1050,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,Culture,ELVEDEN FARMS,1103.2,"Plantpots, Trees & Shrubs"
2011-12,Place,Culture,HILARITY BITES COMEDY CLUB,549,Ticket Sales Paid to Others
2011-12,Place,Culture,INITIAL WASHROOM SOLUTIONS,872.03,MATERIALS
2011-12,Place,Culture,KONICA MINOLTA BUSINESS SOLUTIONS EAST LTD,1587.38,Other Supplies & Services
2011-12,Place,Culture,LITTLEWORLD LTD,800,Artist payments
2011-12,Place,Culture,MITIE PROPERTY SERVICES (NORTH EAST) LTD,2709.65,Alterations & Improvements - Decoration
2011-12,Place,Culture,MITIE PROPERTY SERVICES (NORTH EAST) LTD,650,Alterations & Improvements - Decoration
2011-12,Place,Culture,MRS HELEN PICKARD,1320,Artist payments
2011-12,Place,Culture,NORTHUMBRIAN WATER,2272.42,WATER CHARGES
2011-12,Place,Culture,NORTHUMBRIAN WATER,2696.2,WATER CHARGES
2011-12,Place,Culture,NORTHUMBRIAN WATER,2662.73,WATER CHARGES
2011-12,Place,Culture,PHIL MCINTYRE ENTERTAINMENT,1732.1,Artist payments
2011-12,Place,Culture,QDOS PANTOMIMES,40000,Artist payments
2011-12,Place,Culture,QDOS PANTOMIMES,40000,Artist payments
2011-12,Place,Culture,QUALITY LEISURE MANAGEMENT LTD,951.25,Other Supplies & Services
2011-12,Place,Culture,RALPH GIVENS,2835.6,GOLF PROFESSIONALS RETAINER
2011-12,Place,Culture,RIDER INDUSTRIAL & SPECIALIST CLEANING,630,DLO RECHARGES
2011-12,Place,Culture,RIDER INDUSTRIAL & SPECIALIST CLEANING,630,DLO RECHARGES
2011-12,Place,Culture,ROYAL GEOGRAPHICAL SOCIETY,1284.19,Artist payments
2011-12,Place,Culture,SEALEGS PUPPET THEATRE COMPANY,720,Artist payments
2011-12,Place,Culture,SEM ELECTRICAL LTD,1974.85,BUILDING REPAIRS AND MAINTENANCE
2011-12,Place,Culture,SEVERNSIDE WHOLESALERS LTD,830.53,ITEMS FOR RESALE
2011-12,Place,Culture,STAR RADIO,1516,MARKETING & ADVERTISING
2011-12,Place,Culture,STINK ON STAGE LTD,8861.38,Artist payments
2011-12,Place,Culture,SWISS TIMING,708,Repairs - Electrical
2011-12,Place,Culture,THEATRE 1ST LIMITED,4000,Artist payments
2011-12,Place,Culture,THEATRE SANS FRONTIERES LTD,600,Artist payments
2011-12,Place,Culture,THEATRICAL MANAGEMENT ASSOCIATION LTD,3060,SUBSCRIPTIONS
2011-12,Place,Culture,WM MORRISON SUPERMARKETS PLC,4049.84,RENT OF FACILITIES
2011-12,Place,Culture,WM MORRISON SUPERMARKETS PLC,3842.2,RENT OF FACILITIES
2011-12,Place,Culture,WM MORRISON SUPERMARKETS PLC,1561.8,RENT OF FACILITIES
2011-12,Place,Culture,XN LEISURE SYSTEMS LTD,600,Other Supplies & Services
2011-12,Place,DLO Services,ACORN DAIRY,501,CATERING PROVISIONS
2011-12,Place,DLO Services,ACP (CONCRETE) LIMITED,544.49,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,ADT FIRE & SECURITY PLC,1366.6,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,633.42,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,4929.5,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,501.77,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,704.03,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,652.05,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,511.68,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,632.18,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,517.34,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,621,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,707.82,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,610.78,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,702.2,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,572.9,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,633.42,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,709.22,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,ALU-FIX,1372.7,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,ANDREW SYKES HIRE LTD,1706,PLANT HIRE
2011-12,Place,DLO Services,APEC ENVIRONMENTAL,1750,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,AQUAJET DRAIN CLEANING,960,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,ASTLEY FACADES (NORTH EAST) LTD,9562.47,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,ASTLEY FACADES (NORTH EAST) LTD,6374,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,ATLAS WASHROOM SYSTEMS,2350,DIRECT CHARGES - MATERIALS (DLO)
2011-12,Place,DLO Services,AUTOBAR UK  LTD,527.45,CATERING PROVISIONS
2011-12,Place,DLO Services,BARCLAY ROOFING LTD,4750,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,BECKLEBERRYS LIMITED,1097.4,CATERING PROVISIONS
2011-12,Place,DLO Services,BECKLEBERRYS LIMITED,1080,CATERING PROVISIONS
2011-12,Place,DLO Services,BLACKPATH CONSTRUCTION LIMITED,1581.63,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,BLACKPATH CONSTRUCTION LIMITED,3301.65,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,BRAKES BROS LTD,530.06,CATERING PROVISIONS
2011-12,Place,DLO Services,BRAKES BROS LTD,545.96,CATERING PROVISIONS
2011-12,Place,DLO Services,BRAKES BROS LTD,696.84,CATERING PROVISIONS
2011-12,Place,DLO Services,BRAKES BROS LTD,729.44,CATERING PROVISIONS
2011-12,Place,DLO Services,BRAKES BROS LTD,707.45,CATERING PROVISIONS
2011-12,Place,DLO Services,BROXAP  LTD,16500,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,BUILDING AUTOMATION SOLUTIONS LTD,1986.84,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,BUILDING AUTOMATION SOLUTIONS LTD,520,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,559.75,CLEANING MATERIALS & CONSUMABLES
2011-12,Place,DLO Services,CALBARRIE LIMITED,768,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,CALBARRIE LIMITED,1488,DIRECT CHARGES - CONTRACTORS
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
2011-12,Place,DLO Services,CDM RECRUITMENT LTD,675.25,AGENCY STAFF COSTS - NON TEACHING
