,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DAC BEACHCROFT LLP,55487383,2021-09-27,1624.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11145687,2021-10-04,18255.07,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55487479,2021-10-18,3546.00,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55485245,2021-09-01,10377.45,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS FLEET SOLUTIONS,55485245,2021-09-01,1676.41,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS PENSIONS,11145677,2021-10-04,3689.61,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11145672,2021-10-04,5473.01,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11145673,2021-10-04,15985.19,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,SALARY FINANCE,11145986,2021-10-25,2081.27,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,STANDARD LIFE,11145676,2021-10-04,1416.10,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11145691,2021-10-04,1119.42,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNISON L04007,11145690,2021-10-04,5406.15,General Debits,NON-BUDGETED,NON BUDGETED,
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,IT SYSTEMS & SUPPORT LIMITED,55486701,2021-09-20,8968.65,It Hardware,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,AVENSWAY LTD,55485295,2020-09-22,10108.16,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,CUMMINGS ARCHITECTS LTD,11145915,2021-10-18,720.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,EASIBATHE LTD,11145754,2021-10-08,4788.17,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,GAPTEC UK LTD,55487848,2021-10-22,7209.45,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,JUST CHECKING,55485867,2021-09-08,824.00,Furniture Equipment,Capital Expenditure,Capital Equipment,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART ACCESS RAMPS LTD,11145759,2021-10-08,2030.40,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,SUNTER LTD,11145758,2021-10-08,17315.60,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11145753,2021-10-08,1335.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11145755,2021-10-08,2874.73,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11145756,2021-10-08,3738.09,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,TK ACCESS SOLUTION LTD,11145757,2021-10-08,1635.00,Capital Grants,Capital Expenditure,Capital Other,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,AMP CONSULTANTS,55486133,2021-09-30,995.00,Consultant Structural,Capital Expenditure,Capital Fees,
INSERTED DETAIL,,ECONOMIC GROWTH,CAPITAL PROJECTS,ARTIS CONSULTING LTD,55488035,2021-09-30,1680.00,Consultants - Other,Capital Expenditure,Capital Fees,
