Body Name,Portfolio,Organisation Code,Org Code Description,Object Code,Object Code Description,GL Date,Invoice No,Value,Supplier,Category,Category Description,Supplier No
SHEFFIELD CITY COUNCIL,PLACE,97551,COUNCIL HSG ACQUISITIONS PROG,1194,OTHER FEES,2015-07-01,ERS INVOICE121917,58500.00,FOYS SOLICITORS,,SOLICITORS,
SHEFFIELD CITY COUNCIL,CYPF,33112,LDD PLACEMENTS AUG14-JUL15,9120,OTHER AGENCIES,2015-07-01,ERS INVOICE121919,528.00,REDACTED PERSONAL DATA,,EDUCATIONAL SERVICES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49030,PRIVATE RENTED SOLUTIONS,9120,OTHER AGENCIES,2015-07-01,ERS INVOICE121963,350.86,MARK PARKER,,LETTING AGENTS,
SHEFFIELD CITY COUNCIL,PLACE,21023,INCLUSIVE SPORT PROJECT,8250,MARKETING EXPENSES,2015-07-01,HW067304,400.00,MACRO MEDIA LTD,,NEWSPAPER & MAGAZINE PUBLISHER,
SHEFFIELD CITY COUNCIL,CYPF,39260,SERVICE MANAGEMENT,7140,PUBLIC TRANSPORT COSTS,2015-07-01,01/5520937,337.00,CLARITY TRAVEL MANAGEMENT,,TRAVEL AGENTS & HOLIDAY COMPAN,
SHEFFIELD CITY COUNCIL,COMMUNITIES,47009,MINOR WORKS & ADAPTATIONS,6030,REPAIRS AND MTCE - RESPONSIVE,2015-07-01,601,443.00,MR H S CUTTS NEIL CONSTRUCTION,,BUILDING SERVICES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,47009,MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2015-07-01,604,364.00,MR H S CUTTS NEIL CONSTRUCTION,,BUILDING SERVICES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,47009,MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2015-07-01,603,330.00,MR H S CUTTS NEIL CONSTRUCTION,,BUILDING SERVICES,
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8440,FEE EXPENSES,2015-07-01,SI-TSS-10002188,7044.58,TAYLOR SHAW LIMITED T/A TAYLOR SHAW,,CATERERS,
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8440,FEE EXPENSES,2015-07-01,SI-TSS-10002314,7044.58,TAYLOR SHAW LIMITED T/A TAYLOR SHAW,,CATERERS,
SHEFFIELD CITY COUNCIL,CYPF,35001,PORTFOLIO LEADERSHIP TEAM,8350,MISCELLANEOUS EXPENSES,2015-07-01,14110227,464.23,KIER FACILITIES SERVICES LTD,,FACILITIES MANAGEMENT,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49356,ESTATE & ENVIORMENTAL SERVICES,6090,TIPPING COSTS,2015-07-01,FOR7676,313.50,FORWARD ENVIRONMENTAL LIMITED,,PEST & VERMIN CONTROL,
SHEFFIELD CITY COUNCIL,PLACE,97127,OBSOLETE HEATING,1157,DWELLINGS MAIN CONTRACT,2015-07-01,1091,494.00,VIEWPOINT RESEARCH COMMUNITY INTEREST CO,,MARKET RESEARCH,
SHEFFIELD CITY COUNCIL,PLACE,21350,CEMETERIES,8010,EQUIPMENT PURCHASE AND REPAIR,2015-07-01,924882333,318.40,ARCO LTD,,SAFETY EQUIPMENT & CLOTHING,
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8130,CATERING SUPPLIES,2015-07-01,MH/W15/1633A,6851.98,ACADEMY SERVICES (SHEFFIELD) LTD,,LEASING SERVICES,
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8150,CONTRACT CATERING,2015-07-01,MH/W15/1633A,774.07,ACADEMY SERVICES (SHEFFIELD) LTD,,LEASING SERVICES,
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8150,CONTRACT CATERING - INVOICE,2015-07-01,MH/W15/1633A,27582.57,ACADEMY SERVICES (SHEFFIELD) LTD,,LEASING SERVICES,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49003,GATEWAY EXTENSION PROJECT,8050,FURNITURE PURCHASES,2015-07-01,5587004,312.15,STEARN ELECTRIC CO. LTD,,ELECTRICAL GOODS - SALES,
SHEFFIELD CITY COUNCIL,CYPF,36026,SCHOOL MEALS,8150,CONTRACT CATERING,2015-07-01,SI-TSS-10002049,11279.74,TAYLOR SHAW LIMITED T/A TAYLOR SHAW,,CATERERS,
SHEFFIELD CITY COUNCIL,COMMUNITIES,49682,NON CONTRACT TREATMENT COSTS,8060,MATERIALS AND SUPPLIES GENERAL,2015-07-01,83214,3037.61,EXCHANGE SUPPLIES LTD,,PUBLISHERS,
SHEFFIELD CITY COUNCIL,POLICY PERFORMANCE AND COMMS,18003,COMMUNICATIONS,8550,OTHER SERVICES,2015-07-01,75414,435.00,THE PRINT AND DESIGN FACTORY LTD,,PRINTERS,
