Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,COMMUNITIES,49701,SOUTH EAST,8180,GRANTS,2015-10-01,3898770,ERS INVOICE125877,900.00,WOODHOUSE WEST END BOWLING CLUB,471409,,SPORTS CLUBS & ASSOCIATIONS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49707,EAST,8180,GRANTS,2015-10-01,3898771,ERS INVOICE125878,1160.00,DARNALL WELL-BEING CENTRE,306617,,COMMUNITY PROJECTS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49701,SOUTH EAST,8180,GRANTS,2015-10-01,3898772,ERS INVOICE125881,496.11,WOODMAN JUNIOR FOOTBALL CLUB,539817,,SPORTS CLUBS & ASSOCIATIONS
SHEFFIELD CITY COUNCIL,COMMUNITIES,49707,EAST,8180,GRANTS,2015-10-01,3898773,ERS INVOICE125882,480.00,WOODMAN JUNIOR FOOTBALL CLUB,539817,,SPORTS CLUBS & ASSOCIATIONS
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-10-01,3898902,ERS INVOICE125887,400.00,REDACTED PERSONAL DATA,572760,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-10-01,3898903,ERS INVOICE125888,400.00,REDACTED PERSONAL DATA,627197,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-10-01,3898904,ERS INVOICE125889,400.00,REDACTED PERSONAL DATA,619489,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-10-01,3898905,ERS INVOICE125890,400.00,REDACTED PERSONAL DATA,615826,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-10-01,3898906,ERS INVOICE125891,400.00,REDACTED PERSONAL DATA,617072,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39357,SHORT BREAKS FUNDING FOR DISAB,8440,FEE EXPENSES,2015-10-01,3898907,ERS INVOICE125892,400.00,REDACTED PERSONAL DATA,550529,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
