Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-07-08,4044212,191801 20160707 56961,1439.20,REDACTED PERSONAL DATA,492572,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-22,4051708,J1578433 240716,811.00,REDACTED PERSONAL DATA,332448,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,42034,PURCHASING LEARNING DISABILITI,9180,OTHER CLIENT EXPENDITURE,2016-07-29,4055515,J1588122 310716,811.00,REDACTED PERSONAL DATA,332448,,HOME CARE SERVICES
SHEFFIELD CITY COUNCIL,PLACE,24405,COMMERCIAL ESTATE,4390,OTHER RENT INCOME,2016-07-01,4041110,ERS INVOICE140211,2125.00,OUGHTIBRIDGE PRIMARY SCHOOL,506704,,SCHOOLS - LOCAL AUTHORITY
SHEFFIELD CITY COUNCIL,CYPF,33068,ROMA PROJECT,8440,FEE EXPENSES,2016-07-01,4041112,ERS INVOICE140213,260.00,ROMA SUPPORT GROUP,448780,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,COMMUNITIES,49701,SOUTH EAST,8180,GRANTS,2016-07-01,4041113,ERS INVOICE140214,500.00,FRIENDS OF TANNERY PARK,553917,,COMMUNITY NETWORKS
SHEFFIELD CITY COUNCIL,PLACE,97333,MINOR WORK GRANTS,1165,NC&A OTHER,2016-07-01,4041190,ERS INVOICE140216,672.00,REDACTED PERSONAL DATA,631897,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SHEFFIELD CITY COUNCIL,CYPF,39032,ADOPTION SERVICE,9120,OTHER AGENCIES,2016-07-01,4041191,ERS INVOICE140217,400.00,REDACTED PERSONAL DATA,630974,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,PLACE,25078,ECCLESALL WOODS SAWMILL SITE,8260,WOODLAND DEVELOPMENT EXPENSES,2016-07-01,4041227,ERS INVOICE140253,510.00,DAVID JACKSON,559075,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,39512,SEN TRANSPORT,7140,PUBLIC TRANSPORT COSTS,2016-07-01,4023036,2202049158,4750.00,WORCESTERSHIRE COUNTY COUNCIL,319571,,LOCAL GOVERNMENT
