Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,RESOURCES,18032,MOORFOOT LEARNING CENTRE,8490,OTHER PROFESSIONAL FEES,2016-10-03,4086607,ERS INVOICE143621,314.00,STEPHEN JONES,559438,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,PLACE,97551,COUNCIL HSG ACQUISITIONS PROG,1194,OTHER FEES,2016-10-03,4086608,ERS INVOICE143622,75250.00,OXLEY & COWARD SOLICITORS,320707,,SOLICITORS
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086609,ERS INVOICE143623,2576.06,DONCASTER ROTH & DIST (MOTOR TRADES)GTA,204434,,TRAINING CENTRES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086610,ERS INVOICE143624,4759.23,ESG SKILLS LIMITD,594139,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086611,ERS INVOICE143625,8401.99,FLOORTRAIN (GB) LTD,590381,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086612,ERS INVOICE143626,2040.27,FRESH TRAINING SERVICES (UK) LTD,633049,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086613,ERS INVOICE143627,5247.82,GTG SERVICES LTD,590382,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086614,ERS INVOICE143628,11640.90,INTEGRITY IT SOLUTIONS LIMITED,624668,,EDUCATIONAL TRAINING PROVIDERS
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086615,ERS INVOICE143629,1895.92,HIT TRAINING LTD,589036,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086616,ERS INVOICE143630,5275.98,LOGISTICS AND DISTRIBUTION TRAINING LTD,631290,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086617,ERS INVOICE143631,948.65,LINDEN MANAGEMENT (UK) LIMITED,632842,,TRAINING CONSULTANTS
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086618,ERS INVOICE143632,2321.35,PROGRESSIVE CARE LTD,343548,,CHILDREN'S HOMES
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086619,ERS INVOICE143633,4334.72,ROTHERHAM COLLEGE OF ARTS & TECHNOLOGY,301110,,SCHOOLS & COLLEGES - FURTHER E
SHEFFIELD CITY COUNCIL,CYPF,33142,CITY DEAL - FRAMEWORKS,9120,OTHER AGENCIES,2016-10-03,4086620,ERS INVOICE143634,6140.02,TAGADVANCE LTD,622638,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,RESOURCES,17153,MEMBERS ALLOWANCES,8440,FEE EXPENSES,2016-10-03,4086621,ERS INVOICE143635,385.00,INFORMATION COMMISSIONER,347771,,INFORMATION SERVICES
SHEFFIELD CITY COUNCIL,RESOURCES,19347,CLAIMS,8740,EMPLOYERS LIABILITY,2016-10-03,4086775,ERS INVOICE143636,2740.00,THOMPSONS CLIENT ACCOUNT,505870,,SOLICITORS
SHEFFIELD CITY COUNCIL,CYPF,38208,0-4 HEALTHY WEIGHT SERVICE,5750,TRAINING EXPENDITURE,2016-10-03,4086782,ERS INVOICE143643,350.00,JULIE ROBERTS -TRAINING,632115,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,CYPF,38208,0-4 HEALTHY WEIGHT SERVICE,5750,TRAINING EXPENDITURE,2016-10-03,4086783,ERS INVOICE143644,600.00,SUSAN RUSSELL,598744,,TRAINING SERVICES
SHEFFIELD CITY COUNCIL,COMMUNITIES,49648,SAFER COMMUNITIES PARTNERSHIP,9120,OTHER AGENCIES,2016-10-03,4065110,KS0004,2507.01,YOUNG WOMENS HOUSING PROJECT,301584,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,COMMUNITIES,49648,SAFER COMMUNITIES PARTNERSHIP,9120,OTHER AGENCIES,2016-10-03,4065112,KS0005,1904.25,YOUNG WOMENS HOUSING PROJECT,301584,,CHARITIES & VOLUNTARY ORGANISA
SHEFFIELD CITY COUNCIL,PLACE,92828,SAFETY CAMERA DIGITAL UPGRADE,1178,INFR OTHER,2016-10-03,4069148,91057649,39742.60,CUBIC TRANSPORTATION SYSTEMS (ITMS) LTD,621037,,TRANSPORT CONSULTANTS
SHEFFIELD CITY COUNCIL,RESOURCES,12024,REPLACEMENT FINANCE SYSTEM,8460,CONSULTANTS FEES,2016-10-03,4074715,3741,90677.25,MOORE STEPHENS INSIGHT LIMITED,424598,,BUSINESS & MANAGEMENT CONSULTA
SHEFFIELD CITY COUNCIL,PLACE,22255,SHEAF CATCHMENT FLOOD SCHEME,9610,MEDIA SERVICES,2016-10-03,4076119,RRY020052,2599.46,COMMUNICORP UK LTD,427629,,RADIO & TELEVISION STATIONS
SHEFFIELD CITY COUNCIL,PLACE,25094,PARKS OPS SOUTH & SOUTH EAST,8060,MATERIALS AND SUPPLIES GENERAL,2016-10-03,4078385,161230,315.00,BOB WILD GRASS MACHINERY LTD,203417,,LAWNMOWERS & GARDEN MACHINERY
SHEFFIELD CITY COUNCIL,PLACE,25094,PARKS OPS SOUTH & SOUTH EAST,8060,MATERIALS AND SUPPLIES GENERAL,2016-10-03,4080451,SI/03078954,574.00,NOMIX ENVIRO,207128,,CHEMICALS & ALLIED PRODUCTS
