Body Name,Organisational Unit,Business Unit No.,Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992902,100069 20160330 55538,1036.00,REDACTED PERSONAL DATA,333449,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992902,100069 20160330 55538,521.60,REDACTED PERSONAL DATA,333449,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39028,SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2016-04-04,3992903,102670 20160330 55538,391.10,REDACTED PERSONAL DATA,333247,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992904,133205 20160330 55538,467.80,REDACTED PERSONAL DATA,338886,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992905,133315 20160330 55538,618.00,REDACTED PERSONAL DATA,517411,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992908,133705 20160330 55538,642.00,REDACTED PERSONAL DATA,419128,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992909,133942 20160330 55538,618.00,REDACTED PERSONAL DATA,391833,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39030,ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2016-04-04,3992909,133942 20160330 55538,537.10,REDACTED PERSONAL DATA,391833,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39027,RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2016-04-04,3992911,134792 20160330 55538,253.80,REDACTED PERSONAL DATA,338849,,ADOPTION & FOSTERING
SHEFFIELD CITY COUNCIL,CYPF,39302,IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2016-04-04,3992913,135152 20160330 55538,682.00,REDACTED PERSONAL DATA,418759,,ADOPTION & FOSTERING
