Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L description.
Salford City Council,2018-05-01,1600606054,1332.2,0,1332.2,1010 Taxis,Children's Services,Travel Expenses
Salford City Council,2018-05-01,601216919,4764.34,0,4764.34,Barton Moss Primary School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,1600605201,16375.67,0,16375.67,Birtenshaw Hall,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,1600605338,1608,268,1340,Blake Envelopes,Service Reform,Postage
Salford City Council,2018-05-01,1600605365,14084.2,0,14084.2,Bolton Mbc,Children's Services,Uniforms
Salford City Council,2018-05-01,1600606137,686.4,114.4,572,Bradshaw International,Children's Services,Equipment Purchase
Salford City Council,2018-05-01,yxfajbbab,501.62,4.57,497.05,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-05-01,yqwyqyrcz,593.13,1.45,591.68,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-05-01,vuxqoesrs,627.02,10.91,616.11,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-05-01,chafnndev,678.58,3.76,674.82,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-05-01,1600605263,792,132,660,Burgess Security Systems Ltd,Sustainable Regeneration,Security Services
Salford City Council,2018-05-01,1600606132,57000,9500,47500,Capita Business Services Ltd,Children's Services,Computer Maintenance
Salford City Council,2018-05-01,601216914,562.57,0,562.57,Care Chiefs,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,601216969,1387.2,0,1387.2,Carewatch Care Services Ltd,"Community, Health & Social Care",Hire of Facilities
Salford City Council,2018-05-01,1600606090,23451.46,3908.58,19542.88,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2018-05-01,1600606091,23772,3962,19810,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2018-05-01,1600606129,24470.4,4078.4,20392,Carlton Fuels,Environment and Community Safety,Vehicle Running Cost
Salford City Council,2018-05-01,1600605287,5611.51,0,5611.51,Central Manchester University,"Community, Health & Social Care",Payts to Agencies
Salford City Council,2018-05-01,1600605203,594,99,495,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2018-05-01,601216924,1655.06,0,1655.06,Claremont Neighbourhood Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,601216920,8515.65,0,8515.65,Claremont Neighbourhood Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,601216894,3488.12,0,3488.12,Cleggs Chilled Food Service,Environment and Community Safety,Provisions
Salford City Council,2018-05-01,1600604772,1209.54,201.59,1007.95,Commsec Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-05-01,1600605250,5220,870,4350,Connect Software Solutions Ltd,Children's Services,Computer Software
Salford City Council,2018-05-01,1600605284,2233.2,372.2,1861,Door Repair Service  Ltd,Capital Expenditure,External Fees-Other
Salford City Council,2018-05-01,601216364,1320,220,1100,Ee Ltd,"Community, Health & Social Care",Computer Maintenance
Salford City Council,2018-05-01,601216435,1320,220,1100,Ee Ltd,Sustainable Regeneration,Computer Maintenance
Salford City Council,2018-05-01,601216436,1320,220,1100,Ee Ltd,"Community, Health & Social Care",Computer Maintenance
Salford City Council,2018-05-01,1600605109,557.57,92.93,464.64,G Jones Builders Ltd,Children's Services,Dev Servs Day to Day
Salford City Council,2018-05-01,1600605027,2391.35,0,2391.35,Great Places Housing Association,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,1600605026,20618.7,0,20618.7,Great Places Housing Association,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,601216916,596.7,0,596.7,Habonim Nursery,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,1600606064,1200,200,1000,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2018-05-01,1600606063,1260,210,1050,Helping Hands Minor Repairs Service,Capital Expenditure,Other Works
Salford City Council,2018-05-01,1600602567,2016,336,1680,Helping Hands Minor Repairs Service,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2018-05-01,1600605247,583.2,97.2,486,Ijm Electrical Contractors Ltd,Sustainable Regeneration,UV Prog Rep
Salford City Council,2018-05-01,1600605346,648,108,540,Ingenitech Ltd,Service Reform,Lease line rentals
Salford City Council,2018-05-01,601215874,608.24,101.37,506.87,Jacobs,Service Reform,Debt Recoveries Agen
Salford City Council,2018-05-01,1600602689,6580.85,0,6580.85,Leverhulme Academy C Of E & Communi,Children's Services,Pupil Assistance
Salford City Council,2018-05-01,1600605393,42761.41,7105.78,35655.63,Manchester City Council,Service Reform,Legal Fees
Salford City Council,2018-05-01,601216928,682.5,0,682.5,Mojo-Out Of School Club,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,601216929,975,0,975,Mojo-Out Of School Club,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,601216926,1182.19,0,1182.19,Monton Village School Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,601216922,9573.85,0,9573.85,Monton Village School Ltd,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,2204935056,6202650.16,0,6202650.16,NHS CCG,"Community, Health & Social Care",Payments to HA
Salford City Council,2018-05-01,601216884,1872,0,1872,Ofsted,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,601216885,2925,0,2925,Ofsted,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,1600605738,25000,0,25000,Oldham Mbc,Office of the Chief Executive,Vehicle Hire - perm
Salford City Council,2018-05-01,601216923,3571.21,0,3571.21,Oyy Lubavitch Girls School,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,601216581,14466.51,0,14466.51,Paul Crowley Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-05-01,601216964,865,0,865,Paypoint Plc,Sustainable Regeneration,Premises Insurance
Salford City Council,2018-05-01,1600606135,1289119.68,214853.29,1074266.39,Pendleton Together Operating Ltd,Sustainable Regeneration,Unitary Charge
Salford City Council,2018-05-01,601216949,1359.88,0,1359.88,Proddow Mackay Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-05-01,601216947,1896.96,0,1896.96,Proddow Mackay Solicitors,Service Reform,Liability Insurance
Salford City Council,2018-05-01,1600604973,1482.22,247.03,1235.19,Psi (Resources) Limited,Environment and Community Safety,del'd kitchen formul
Salford City Council,2018-05-01,1600605695,16380,0,16380,Raise The Youth Foundation Cic Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-05-01,1600605725,20150,0,20150,Raise The Youth Foundation Cic Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-05-01,1600605176,5754.94,0,5754.94,Ramilllies Hall School,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-05-01,1600605687,12000,2000,10000,Reade Signs Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2018-05-01,601216872,1431,0,1431,Redacted Data,Service Reform,Liability Insurance
Salford City Council,2018-05-01,601216933,1277.28,0,1277.28,Redacted Data,Children's Services,Payt to care clients
Salford City Council,2018-05-01,1600606053,1800,0,1800,Redacted Data,Children's Services,Consult/Contractors
Salford City Council,2018-05-01,601216921,2800.69,0,2800.69,Redacted Data,Children's Services,Pmnts Privt Provider
Salford City Council,2018-05-01,1600598928,34863,0,34863,Salford Royal Nhs Foundation Trust,Environment and Community Safety,Payts to Agencies
Salford City Council,2018-05-01,1600604693,91189,0,91189,Salford Royal Nhs Foundation Trust,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,1600605259,1168.2,194.7,973.5,Spectra Security,Sustainable Regeneration,Equipment Purchase
Salford City Council,2018-05-01,601216091,13230,0,13230,Swinton Travel Ltd,Children's Services,Pupil Assistance
Salford City Council,2018-05-01,1600606062,1050,0,1050,Tameside Mbc,Environment and Community Safety,Equipment Purchase
Salford City Council,2018-05-01,601216877,570.72,95.12,475.6,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-05-01,601216878,570.72,95.12,475.6,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-05-01,601216876,738,123,615,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-05-01,601216880,738,123,615,Teaching Personnel Ltd,Children's Services,Agency Fees
Salford City Council,2018-05-01,1600604667,7943.02,0,7943.02,The Orchards Special Free School,Children's Services,Pupil Assistance
Salford City Council,2018-05-01,601216972,550,0,550,Thornley Groves Estate Agent Ltd,Children's Services,Rents
Salford City Council,2018-05-01,1600605678,2793.36,0,2793.36,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,1600605696,17670,0,17670,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2018-05-01,1600605721,8096.17,1349.36,6746.81,Whistl Uk Ltd,Service Reform,Postage
Salford City Council,2018-05-01,1600605332,6159.66,1026.61,5133.05,Xma Ltd,Capital Expenditure,Purch of Comp Equip
Salford City Council,2018-05-02,601217000,10871.16,0,10871.16,Acorn Care & Education Ltd,Children's Services,Non-Maint Spec Schls
Salford City Council,2018-05-02,1600604717,515.16,85.86,429.3,Ags Tech,Sustainable Regeneration,UV Dec&Flr
Salford City Council,2018-05-02,1600605036,1566,261,1305,Associated Cleaning Contractors Ltd,Sustainable Regeneration,Cleaning Services
Salford City Council,2018-05-02,601217021,1297,0,1297,Aviva,Service Reform,Other Prof Fees
Salford City Council,2018-05-02,601216981,1444.68,240.78,1203.9,Berendsen Uk Ltd,Environment and Community Safety,Laundry
Salford City Council,2018-05-02,ghoxfornq,545.09,9.29,535.8,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-05-02,xyhrnfjbf,772.9,6.67,766.23,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-05-02,tjrxisoky,981.66,71.81,909.85,Brake Bros Ltd,Environment and Community Safety,Food and refreshments
Salford City Council,2018-05-02,1600604307,504,84,420,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2018-05-02,1600604722,510,85,425,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2018-05-02,1600604488,545.22,90.87,454.35,Churches Fire Security Limited,Sustainable Regeneration,UV Light/Fire
Salford City Council,2018-05-02,1600604422,2221.2,370.2,1851,Click Fire & Security Ltd - 24 Acco,Children's Services,Security Sys R & Mnt
Salford City Council,2018-05-02,601216996,1187.86,197.98,989.88,David Phillips Group,Sustainable Regeneration,Furniture
